intake_id,patch_id,region,city,priority_rank,package_count,required_geometry_kind,source_type,geometry_value,geometry_path,crs,provenance_type,provenance_note,source_document,source_document_page,source_document_url_or_path,digitized_by,digitized_at,source_confidence,license_status,review_status,validation_status,blocking_reason,notes
V2AX_PATCH_f498ca4f4b54,REC_00019,Recife,Recife,1,1,patch_boundary_polygon,missing,,,,unknown,,,,,,,,,not_started,BLOCKED_PENDING_MANUAL_GEOMETRY,BLOCKED_PENDING_MANUAL_GEOMETRY,Manual intake row; geometry is never auto-generated.
V2AX_PATCH_110b97864f26,REC_00183,Recife,Recife,1,1,patch_boundary_polygon,missing,,,,unknown,,,,,,,,,not_started,BLOCKED_PENDING_MANUAL_GEOMETRY,BLOCKED_PENDING_MANUAL_GEOMETRY,Manual intake row; geometry is never auto-generated.
V2AX_PATCH_5a69d180c219,REC_00204,Recife,Recife,1,1,patch_boundary_polygon,missing,,,,unknown,,,,,,,,,not_started,BLOCKED_PENDING_MANUAL_GEOMETRY,BLOCKED_PENDING_MANUAL_GEOMETRY,Manual intake row; geometry is never auto-generated.
V2AX_PATCH_6eaab9252e04,REC_00205,Recife,Recife,1,1,patch_boundary_polygon,missing,,,,unknown,,,,,,,,,not_started,BLOCKED_PENDING_MANUAL_GEOMETRY,BLOCKED_PENDING_MANUAL_GEOMETRY,Manual intake row; geometry is never auto-generated.
V2AX_PATCH_d55df44600d5,REC_00227,Recife,Recife,1,1,patch_boundary_polygon,missing,,,,unknown,,,,,,,,,not_started,BLOCKED_PENDING_MANUAL_GEOMETRY,BLOCKED_PENDING_MANUAL_GEOMETRY,Manual intake row; geometry is never auto-generated.
V2AX_PATCH_750ae700d4cc,REC_00260,Recife,Recife,1,1,patch_boundary_polygon,missing,,,,unknown,,,,,,,,,not_started,BLOCKED_PENDING_MANUAL_GEOMETRY,BLOCKED_PENDING_MANUAL_GEOMETRY,Manual intake row; geometry is never auto-generated.
V2AX_PATCH_f6bebf8980ba,REC_00276,Recife,Recife,1,1,patch_boundary_polygon,missing,,,,unknown,,,,,,,,,not_started,BLOCKED_PENDING_MANUAL_GEOMETRY,BLOCKED_PENDING_MANUAL_GEOMETRY,Manual intake row; geometry is never auto-generated.
V2AX_PATCH_4443b9fbf34b,REC_00279,Recife,Recife,1,1,patch_boundary_polygon,missing,,,,unknown,,,,,,,,,not_started,BLOCKED_PENDING_MANUAL_GEOMETRY,BLOCKED_PENDING_MANUAL_GEOMETRY,Manual intake row; geometry is never auto-generated.
V2AX_PATCH_5db868565c7b,REC_00289,Recife,Recife,1,1,patch_boundary_polygon,missing,,,,unknown,,,,,,,,,not_started,BLOCKED_PENDING_MANUAL_GEOMETRY,BLOCKED_PENDING_MANUAL_GEOMETRY,Manual intake row; geometry is never auto-generated.
V2AX_PATCH_8b6a5f76ffd5,REC_00290,Recife,Recife,1,1,patch_boundary_polygon,missing,,,,unknown,,,,,,,,,not_started,BLOCKED_PENDING_MANUAL_GEOMETRY,BLOCKED_PENDING_MANUAL_GEOMETRY,Manual intake row; geometry is never auto-generated.
V2AX_PATCH_6254d763f81a,REC_00291,Recife,Recife,1,1,patch_boundary_polygon,missing,,,,unknown,,,,,,,,,not_started,BLOCKED_PENDING_MANUAL_GEOMETRY,BLOCKED_PENDING_MANUAL_GEOMETRY,Manual intake row; geometry is never auto-generated.
V2AX_PATCH_07bed331e2f5,REC_00292,Recife,Recife,1,1,patch_boundary_polygon,missing,,,,unknown,,,,,,,,,not_started,BLOCKED_PENDING_MANUAL_GEOMETRY,BLOCKED_PENDING_MANUAL_GEOMETRY,Manual intake row; geometry is never auto-generated.
V2AX_PATCH_9c8e4cce33b3,REC_00294,Recife,Recife,1,1,patch_boundary_polygon,missing,,,,unknown,,,,,,,,,not_started,BLOCKED_PENDING_MANUAL_GEOMETRY,BLOCKED_PENDING_MANUAL_GEOMETRY,Manual intake row; geometry is never auto-generated.
V2AX_PATCH_973f1c0fdeb9,REC_00296,Recife,Recife,1,1,patch_boundary_polygon,missing,,,,unknown,,,,,,,,,not_started,BLOCKED_PENDING_MANUAL_GEOMETRY,BLOCKED_PENDING_MANUAL_GEOMETRY,Manual intake row; geometry is never auto-generated.
V2AX_PATCH_fbb788975a31,REC_00299,Recife,Recife,1,1,patch_boundary_polygon,missing,,,,unknown,,,,,,,,,not_started,BLOCKED_PENDING_MANUAL_GEOMETRY,BLOCKED_PENDING_MANUAL_GEOMETRY,Manual intake row; geometry is never auto-generated.
V2AX_PATCH_3b089852c74d,REC_00302,Recife,Recife,1,1,patch_boundary_polygon,missing,,,,unknown,,,,,,,,,not_started,BLOCKED_PENDING_MANUAL_GEOMETRY,BLOCKED_PENDING_MANUAL_GEOMETRY,Manual intake row; geometry is never auto-generated.
V2AX_PATCH_dbffe73aa42c,REC_00313,Recife,Recife,1,1,patch_boundary_polygon,missing,,,,unknown,,,,,,,,,not_started,BLOCKED_PENDING_MANUAL_GEOMETRY,BLOCKED_PENDING_MANUAL_GEOMETRY,Manual intake row; geometry is never auto-generated.
V2AX_PATCH_ce955aced6a7,REC_00314,Recife,Recife,1,1,patch_boundary_polygon,missing,,,,unknown,,,,,,,,,not_started,BLOCKED_PENDING_MANUAL_GEOMETRY,BLOCKED_PENDING_MANUAL_GEOMETRY,Manual intake row; geometry is never auto-generated.
V2AX_PATCH_ec88d2f5d1ea,REC_00354,Recife,Recife,1,1,patch_boundary_polygon,missing,,,,unknown,,,,,,,,,not_started,BLOCKED_PENDING_MANUAL_GEOMETRY,BLOCKED_PENDING_MANUAL_GEOMETRY,Manual intake row; geometry is never auto-generated.
V2AX_PATCH_ed8ee0f11dd4,REC_00355,Recife,Recife,1,1,patch_boundary_polygon,missing,,,,unknown,,,,,,,,,not_started,BLOCKED_PENDING_MANUAL_GEOMETRY,BLOCKED_PENDING_MANUAL_GEOMETRY,Manual intake row; geometry is never auto-generated.
V2AX_PATCH_456c5d0fcec2,REC_00364,Recife,Recife,1,1,patch_boundary_polygon,missing,,,,unknown,,,,,,,,,not_started,BLOCKED_PENDING_MANUAL_GEOMETRY,BLOCKED_PENDING_MANUAL_GEOMETRY,Manual intake row; geometry is never auto-generated.
V2AX_PATCH_9a3ac09cfc13,REC_00388,Recife,Recife,1,1,patch_boundary_polygon,missing,,,,unknown,,,,,,,,,not_started,BLOCKED_PENDING_MANUAL_GEOMETRY,BLOCKED_PENDING_MANUAL_GEOMETRY,Manual intake row; geometry is never auto-generated.
V2AX_PATCH_e5815bfd3632,REC_00458,Recife,Recife,1,1,patch_boundary_polygon,missing,,,,unknown,,,,,,,,,not_started,BLOCKED_PENDING_MANUAL_GEOMETRY,BLOCKED_PENDING_MANUAL_GEOMETRY,Manual intake row; geometry is never auto-generated.
V2AX_PATCH_9ab9651f2695,REC_00460,Recife,Recife,1,1,patch_boundary_polygon,missing,,,,unknown,,,,,,,,,not_started,BLOCKED_PENDING_MANUAL_GEOMETRY,BLOCKED_PENDING_MANUAL_GEOMETRY,Manual intake row; geometry is never auto-generated.
V2AX_PATCH_4fcd5b56afea,REC_00481,Recife,Recife,1,1,patch_boundary_polygon,missing,,,,unknown,,,,,,,,,not_started,BLOCKED_PENDING_MANUAL_GEOMETRY,BLOCKED_PENDING_MANUAL_GEOMETRY,Manual intake row; geometry is never auto-generated.
V2AX_PATCH_02bc74f07545,REC_00482,Recife,Recife,1,1,patch_boundary_polygon,missing,,,,unknown,,,,,,,,,not_started,BLOCKED_PENDING_MANUAL_GEOMETRY,BLOCKED_PENDING_MANUAL_GEOMETRY,Manual intake row; geometry is never auto-generated.
V2AX_PATCH_5c8e15ca473a,REC_00483,Recife,Recife,1,1,patch_boundary_polygon,missing,,,,unknown,,,,,,,,,not_started,BLOCKED_PENDING_MANUAL_GEOMETRY,BLOCKED_PENDING_MANUAL_GEOMETRY,Manual intake row; geometry is never auto-generated.
V2AX_PATCH_ac22957a49a7,REC_00501,Recife,Recife,1,1,patch_boundary_polygon,missing,,,,unknown,,,,,,,,,not_started,BLOCKED_PENDING_MANUAL_GEOMETRY,BLOCKED_PENDING_MANUAL_GEOMETRY,Manual intake row; geometry is never auto-generated.
V2AX_PATCH_1b43fc88b6ca,REC_00502,Recife,Recife,1,1,patch_boundary_polygon,missing,,,,unknown,,,,,,,,,not_started,BLOCKED_PENDING_MANUAL_GEOMETRY,BLOCKED_PENDING_MANUAL_GEOMETRY,Manual intake row; geometry is never auto-generated.
V2AX_PATCH_39c9e2590a9a,REC_00503,Recife,Recife,1,1,patch_boundary_polygon,missing,,,,unknown,,,,,,,,,not_started,BLOCKED_PENDING_MANUAL_GEOMETRY,BLOCKED_PENDING_MANUAL_GEOMETRY,Manual intake row; geometry is never auto-generated.
V2AX_PATCH_86ebd7d5993f,REC_00505,Recife,Recife,1,1,patch_boundary_polygon,missing,,,,unknown,,,,,,,,,not_started,BLOCKED_PENDING_MANUAL_GEOMETRY,BLOCKED_PENDING_MANUAL_GEOMETRY,Manual intake row; geometry is never auto-generated.
V2AX_PATCH_56989b496894,REC_00506,Recife,Recife,1,1,patch_boundary_polygon,missing,,,,unknown,,,,,,,,,not_started,BLOCKED_PENDING_MANUAL_GEOMETRY,BLOCKED_PENDING_MANUAL_GEOMETRY,Manual intake row; geometry is never auto-generated.
V2AX_PATCH_1bbacb300a2d,REC_00525,Recife,Recife,1,1,patch_boundary_polygon,missing,,,,unknown,,,,,,,,,not_started,BLOCKED_PENDING_MANUAL_GEOMETRY,BLOCKED_PENDING_MANUAL_GEOMETRY,Manual intake row; geometry is never auto-generated.
V2AX_PATCH_a9a594bd14aa,REC_00526,Recife,Recife,1,1,patch_boundary_polygon,missing,,,,unknown,,,,,,,,,not_started,BLOCKED_PENDING_MANUAL_GEOMETRY,BLOCKED_PENDING_MANUAL_GEOMETRY,Manual intake row; geometry is never auto-generated.
V2AX_PATCH_9fe7c769d7a6,REC_00529,Recife,Recife,1,1,patch_boundary_polygon,missing,,,,unknown,,,,,,,,,not_started,BLOCKED_PENDING_MANUAL_GEOMETRY,BLOCKED_PENDING_MANUAL_GEOMETRY,Manual intake row; geometry is never auto-generated.
V2AX_PATCH_6b411596039e,REC_00548,Recife,Recife,1,1,patch_boundary_polygon,missing,,,,unknown,,,,,,,,,not_started,BLOCKED_PENDING_MANUAL_GEOMETRY,BLOCKED_PENDING_MANUAL_GEOMETRY,Manual intake row; geometry is never auto-generated.
V2AX_PATCH_c3ff35c57f2b,REC_00550,Recife,Recife,1,1,patch_boundary_polygon,missing,,,,unknown,,,,,,,,,not_started,BLOCKED_PENDING_MANUAL_GEOMETRY,BLOCKED_PENDING_MANUAL_GEOMETRY,Manual intake row; geometry is never auto-generated.
V2AX_PATCH_d2c785f17dd8,REC_01,Recife,Recife,1,1,patch_boundary_polygon,missing,,,,unknown,,,,,,,,,not_started,BLOCKED_PENDING_MANUAL_GEOMETRY,BLOCKED_PENDING_MANUAL_GEOMETRY,Manual intake row; geometry is never auto-generated.
V2AX_PATCH_cdb462f39887,REC_02,Recife,Recife,1,1,patch_boundary_polygon,missing,,,,unknown,,,,,,,,,not_started,BLOCKED_PENDING_MANUAL_GEOMETRY,BLOCKED_PENDING_MANUAL_GEOMETRY,Manual intake row; geometry is never auto-generated.
V2AX_PATCH_50ec74ec1494,REC_03,Recife,Recife,1,1,patch_boundary_polygon,missing,,,,unknown,,,,,,,,,not_started,BLOCKED_PENDING_MANUAL_GEOMETRY,BLOCKED_PENDING_MANUAL_GEOMETRY,Manual intake row; geometry is never auto-generated.
V2AX_PATCH_3240c8ab95fa,REC_04,Recife,Recife,1,1,patch_boundary_polygon,missing,,,,unknown,,,,,,,,,not_started,BLOCKED_PENDING_MANUAL_GEOMETRY,BLOCKED_PENDING_MANUAL_GEOMETRY,Manual intake row; geometry is never auto-generated.
V2AX_PATCH_7c65e344ae72,REC_05,Recife,Recife,1,1,patch_boundary_polygon,missing,,,,unknown,,,,,,,,,not_started,BLOCKED_PENDING_MANUAL_GEOMETRY,BLOCKED_PENDING_MANUAL_GEOMETRY,Manual intake row; geometry is never auto-generated.
V2AX_PATCH_2c44e62608d0,REC_06,Recife,Recife,1,1,patch_boundary_polygon,missing,,,,unknown,,,,,,,,,not_started,BLOCKED_PENDING_MANUAL_GEOMETRY,BLOCKED_PENDING_MANUAL_GEOMETRY,Manual intake row; geometry is never auto-generated.
V2AX_PATCH_b2c090fa2658,REC_07,Recife,Recife,1,1,patch_boundary_polygon,missing,,,,unknown,,,,,,,,,not_started,BLOCKED_PENDING_MANUAL_GEOMETRY,BLOCKED_PENDING_MANUAL_GEOMETRY,Manual intake row; geometry is never auto-generated.
V2AX_PATCH_09e8e3f073de,REC_08,Recife,Recife,1,1,patch_boundary_polygon,missing,,,,unknown,,,,,,,,,not_started,BLOCKED_PENDING_MANUAL_GEOMETRY,BLOCKED_PENDING_MANUAL_GEOMETRY,Manual intake row; geometry is never auto-generated.
V2AX_PATCH_9c65c701e2e0,REC_09,Recife,Recife,1,1,patch_boundary_polygon,missing,,,,unknown,,,,,,,,,not_started,BLOCKED_PENDING_MANUAL_GEOMETRY,BLOCKED_PENDING_MANUAL_GEOMETRY,Manual intake row; geometry is never auto-generated.
V2AX_PATCH_e3d67b4be720,REC_10,Recife,Recife,1,1,patch_boundary_polygon,missing,,,,unknown,,,,,,,,,not_started,BLOCKED_PENDING_MANUAL_GEOMETRY,BLOCKED_PENDING_MANUAL_GEOMETRY,Manual intake row; geometry is never auto-generated.
V2AX_PATCH_749d35831bed,REC_11,Recife,Recife,1,1,patch_boundary_polygon,missing,,,,unknown,,,,,,,,,not_started,BLOCKED_PENDING_MANUAL_GEOMETRY,BLOCKED_PENDING_MANUAL_GEOMETRY,Manual intake row; geometry is never auto-generated.
V2AX_PATCH_3838121dc323,REC_12,Recife,Recife,1,1,patch_boundary_polygon,missing,,,,unknown,,,,,,,,,not_started,BLOCKED_PENDING_MANUAL_GEOMETRY,BLOCKED_PENDING_MANUAL_GEOMETRY,Manual intake row; geometry is never auto-generated.
V2AX_PATCH_261091d81686,REC_13,Recife,Recife,1,1,patch_boundary_polygon,missing,,,,unknown,,,,,,,,,not_started,BLOCKED_PENDING_MANUAL_GEOMETRY,BLOCKED_PENDING_MANUAL_GEOMETRY,Manual intake row; geometry is never auto-generated.
V2AX_PATCH_ce8537e3e4f3,REC_14,Recife,Recife,1,1,patch_boundary_polygon,missing,,,,unknown,,,,,,,,,not_started,BLOCKED_PENDING_MANUAL_GEOMETRY,BLOCKED_PENDING_MANUAL_GEOMETRY,Manual intake row; geometry is never auto-generated.
V2AX_PATCH_b032a972d461,REC_15,Recife,Recife,1,1,patch_boundary_polygon,missing,,,,unknown,,,,,,,,,not_started,BLOCKED_PENDING_MANUAL_GEOMETRY,BLOCKED_PENDING_MANUAL_GEOMETRY,Manual intake row; geometry is never auto-generated.
V2AX_PATCH_e3e97ea9e7ec,REC_16,Recife,Recife,1,1,patch_boundary_polygon,missing,,,,unknown,,,,,,,,,not_started,BLOCKED_PENDING_MANUAL_GEOMETRY,BLOCKED_PENDING_MANUAL_GEOMETRY,Manual intake row; geometry is never auto-generated.
V2AX_PATCH_e57671e87920,REC_17,Recife,Recife,1,1,patch_boundary_polygon,missing,,,,unknown,,,,,,,,,not_started,BLOCKED_PENDING_MANUAL_GEOMETRY,BLOCKED_PENDING_MANUAL_GEOMETRY,Manual intake row; geometry is never auto-generated.
V2AX_PATCH_1017242836b6,REC_18,Recife,Recife,1,1,patch_boundary_polygon,missing,,,,unknown,,,,,,,,,not_started,BLOCKED_PENDING_MANUAL_GEOMETRY,BLOCKED_PENDING_MANUAL_GEOMETRY,Manual intake row; geometry is never auto-generated.
