cod_estacao,rio,municipio,tipo_usado,n_dias_com_dado,data_inicio,data_fim,cobre_evento_2022_01_15,p95_serie_completa,valor_evento,evento_acima_p95,erro
65021770,RIO CACHOEIRINHA,ALMIRANTE TAMANDARÉ,cota,56457,1985-01-19,2025-12-31,True,147.0,"{""2022-01-15"": 108.0, ""2022-01-16"": 112.0}",False,
65020995,RIO PASSAÚNA,ALMIRANTE TAMANDARÉ,cota,54661,1985-01-18,2025-12-31,True,88.0,"{""2022-01-15"": 62.0, ""2022-01-16"": 60.0}",False,
65017006,RIO IGUAÇU,SÃO JOSÉ DOS PINHAIS,cota,33660,1976-07-01,2025-12-31,False,,,,
65019700,RIO BARIGUI,ARAUCÁRIA,cota,54594,1974-10-08,2025-12-31,True,80.0,"{""2022-01-15"": 32.0, ""2022-01-16"": 70.0}",False,
65004995,RIO PIRAQUARA,PIRAQUARA,cota,51132,1984-03-23,2025-12-31,True,214.0,"{""2022-01-15"": 144.0, ""2022-01-16"": 182.0}",False,
65010000,RIO PEQUENO,SÃO JOSÉ DOS PINHAIS,cota,95920,1955-01-28,2025-12-31,True,203.0,"{""2022-01-15"": 167.0, ""2022-01-16"": 205.0}",True,
65015400,RIO MIRINGUAVA,SÃO JOSÉ DOS PINHAIS,cota,65526,1976-04-07,2025-12-31,True,211.0,"{""2022-01-15"": 200.0, ""2022-01-16"": 220.0}",True,
65021800,RIO PASSAÚNA,CAMPO LARGO,cota,35545,1985-01-19,2025-06-30,True,166.0,"{""2022-01-15"": 54.0, ""2022-01-16"": 78.0}",False,
65019675,RIO BARIGUI,CURITIBA,cota,19150,2003-11-26,2024-12-31,True,140.0,"{""2022-01-15"": 28.0, ""2022-01-16"": 105.0}",False,
65006040,RIO PALMITAL,COLOMBO,cota,18350,2003-12-02,2024-12-31,False,,,,
65019980,RIO IGUAÇU,ARAUCÁRIA,cota,19839,1999-08-24,2023-12-31,True,285.0,"{""2022-01-15"": 164.0, ""2022-01-16"": 250.0}",False,
65021000,RIO PASSAÚNA,ALMIRANTE TAMANDARÉ,cota,55781,1976-04-22,2020-10-31,False,,,,
65023000,RIO PASSAÚNA,ARAUCÁRIA,cota,39739,1985-01-19,2018-06-20,False,,,,
65006055,RIO PALMITAL,PINHAIS,cota,31606,1984-03-19,2018-03-31,False,,,,
65017035,RIO DESPIQUE,SÃO JOSÉ DOS PINHAIS,cota,44831,1976-11-03,2017-12-31,False,,,,
65003950,RIO IRAÍ,PIRAQUARA,cota,33006,1984-04-17,2016-02-29,False,,,,
65011450,RIO BELÉM,CURITIBA,cota,1651,2013-09-08,2015-08-19,False,,,,
65009000,RIO IGUAÇU,SÃO JOSÉ DOS PINHAIS,cota,49979,1976-12-11,2015-03-18,False,,,,
65024000,RIO PASSAÚNA,ARAUCÁRIA,cota,55312,1971-09-29,2014-12-31,False,,,,
65006075,RIO IRAÍ,PINHAIS,cota,30038,1984-03-20,2012-09-06,False,,,,
65013005,RIO IGUAÇU,CURITIBA,cota,28773,1984-05-15,2012-06-04,False,,,,
65007046,RIO ATUBA,PINHAIS,cota,10641,1999-08-11,2012-02-29,False,,,,
65011030,RIO BELÉM,CURITIBA,cota,52,2007-04-01,2007-05-22,False,,,,
65013006,RIO IGUAÇU,SÃO JOSÉ DOS PINHAIS,cota,145,2002-03-01,2005-02-21,False,,,,
65019682,RIO BARIGUI,CURITIBA,cota,1420,1998-08-03,2002-12-20,False,,,,
65019680,RIO IGUAÇU,CURITIBA,cota,2859,2000-04-14,2002-12-12,False,,,,
65019640,RIO BARIGUI,CURITIBA,cota,1801,1998-05-21,2002-04-30,False,,,,
65007045,RIO ATUBA,PINHAIS,cota,16325,1984-03-22,1999-03-31,False,,,,
65011500,RIO BELÉM,CURITIBA,cota,14686,1976-12-14,1999-02-22,False,,,,
65022900,RIO PASSAÚNA,ARAUCÁRIA,cota,1320,1993-08-18,1994-10-31,False,,,,
65019670,RIO BARIGUI,CURITIBA,cota,4640,1986-04-01,1990-09-26,False,,,,
65017020,RIO COTIA,SÃO JOSÉ DOS PINHAIS,cota,6029,1976-11-03,1982-05-06,False,,,,
65019650,RIO BARIGUI,CURITIBA,cota,192,1965-04-23,1965-12-31,False,,,,
65007020,RIO BACACHERI,CURITIBA,,0,,,False,,,,
65011430,RIO FANY,CURITIBA,,0,,,False,,,,
65022150,RIO FERRARIA,CAMPO LARGO,,0,,,False,,,,
65007010,RIO ATUBA,CURITIBA,,0,,,False,,,,
65007022,RIO BACACHERI,CURITIBA,,0,,,False,,,,
65011000,RIO BELÉM,CURITIBA,,0,,,False,,,,
65011350,RIO ÁGUA VERDE,CURITIBA,,0,,,False,,,,
65006010,RIO IRAÍ,PIRAQUARA,,0,,,False,,,,
65014000,RIO PADILHA,CURITIBA,,0,,,False,,,,
65020990,RIO PASSAÚNA,ALMIRANTE TAMANDARÉ,,0,,,False,,,,
65011420,RIO PAROLIN,CURITIBA,,0,,,False,,,,
65014980,RIO MIRINGUAVA MIRIM,SÃO JOSÉ DOS PINHAIS,,0,,,False,,,,
81019360,RIO AÇUNGUI,CAMPO LARGO,,0,,,False,,,,
65000910,RIO CURRALINHO,PIRAQUARA,,0,,,False,,,,
65001150,RIO CANGUIRI,QUATRO BARRAS,,0,,,False,,,,
65006030,RIO CACHOEIRA,COLOMBO,,0,,,False,,,,
65006080,RIO ITAQUI,PIRAQUARA,,0,,,False,,,,
65007030,RIO BACACHERI,CURITIBA,,0,,,False,,,,
65000900,RIO CURRALINHO,PIRAQUARA,,0,,,False,,,,
65006000,RIO DO MEIO II,PINHAIS,,0,,,False,,,,
65006047,RIO PALMITAL,PINHAIS,,0,,,False,,,,
