step_order,step_name,status,outputs,output_hashes,notes
1,priority_candidate,OK,datasets/protocolo_c/v2aq_priority_candidates.csv|docs/protocolo_c/v2aq_event_geometry_patch_link/v2aq_priority_candidates.md,cbd5b8bd51919076|085a94f8f2977b16,Completed.
2,spatial_anchor_strength,OK,datasets/protocolo_c/v2aq_spatial_anchor_strength.csv|docs/protocolo_c/v2aq_event_geometry_patch_link/v2aq_spatial_anchor_strength.md,52435762c256cb17|cb53513b190a52bd,Completed.
3,event_geometry_candidate,OK,datasets/protocolo_c/v2aq_event_geometry_candidates.csv|docs/protocolo_c/v2aq_event_geometry_patch_link/v2aq_event_geometry_candidates.md,3b9e51af0a7c2570|4d0d4edf6ee6944c,Completed.
4,geojson_candidate_exporter,OK,datasets/protocolo_c/v2aq_geojson_candidate_index.csv|docs/protocolo_c/v2aq_event_geometry_patch_link/v2aq_geojson_candidate_index.md,7f1eabdbd4893c06|cba32d11e219f21d,Completed.
5,patch_geometry_match,OK,datasets/protocolo_c/v2aq_patch_geometry_match_candidates.csv|docs/protocolo_c/v2aq_event_geometry_patch_link/v2aq_patch_geometry_match_candidates.md,349870d66f258c45|d846b789fe4a0f5c,Completed.
6,crosswalk_geometry_join,OK,datasets/protocolo_c/v2aq_crosswalk_geometry_join_candidates.csv|docs/protocolo_c/v2aq_event_geometry_patch_link/v2aq_crosswalk_geometry_join_candidates.md,26e20ccc93039cfb|b3242b3263b38f1a,Completed.
7,patch_link_review_packet,OK,datasets/protocolo_c/v2aq_patch_link_review_packet.csv|docs/protocolo_c/v2aq_event_geometry_patch_link/v2aq_patch_link_review_packet.md,d70f3c2f5cdb664f|bd5f1cd6096d2cfe,Completed.
8,patch_reference_candidate_scorer,OK,datasets/protocolo_c/v2aq_patch_reference_candidate_scores.csv|docs/protocolo_c/v2aq_event_geometry_patch_link/v2aq_patch_reference_candidate_scores.md,7d5d4d89314d7740|2de30b0564f1dde6,Completed.
9,manual_digitization_tasks,OK,datasets/protocolo_c/v2aq_manual_digitization_tasks.csv|docs/protocolo_c/v2aq_event_geometry_patch_link/v2aq_manual_digitization_tasks.md,e29dcc16efe8ef2e|25f6891af88311d7,Completed.
10,ground_truth_boundary_audit,OK,datasets/protocolo_c/v2aq_ground_truth_boundary_audit.csv|docs/protocolo_c/v2aq_event_geometry_patch_link/v2aq_ground_truth_boundary_audit.md,c2be59519475dbff|c12953713331999c,Completed.
11,guardrail_regression,OK,datasets/protocolo_c/v2aq_guardrail_regression.csv,2c705ad1c21aca08,Completed.
12,next_action_ranker,OK,datasets/protocolo_c/v2aq_next_actions_registry.csv,492c045c52bd4282,Completed.
13,completion_report,OK,datasets/protocolo_c/v2aq_completion_report.csv|docs/protocolo_c/v2aq_event_geometry_patch_link/v2aq_completion_report.md,8dec910152880e4b|ce80ff8983b06957,Completed.
