step_order,step_name,status,outputs,output_hashes,notes
1,artifact_inventory,OK,datasets/protocolo_c/v2am_appendix_artifact_index.csv|docs/tcc_exports/v2am_appendix_evidence_atlas/v2am_appendix_artifact_index.md,8993c9343bc983ed|c63cc84757e97048,Completed.
2,evidence_atlas,OK,datasets/protocolo_c/v2am_evidence_atlas_registry.csv|docs/tcc_exports/v2am_appendix_evidence_atlas/v2am_protocol_c_evidence_atlas.md,cfb9555fd16d1263|e061dc8f3b67d3cc,Completed.
3,traceability_dag,OK,datasets/protocolo_c/v2am_traceability_dag_nodes.csv|datasets/protocolo_c/v2am_traceability_dag_edges.csv|docs/tcc_exports/v2am_appendix_evidence_atlas/v2am_traceability_dag.md|docs/tcc_exports/v2am_appendix_evidence_atlas/v2am_traceability_dag.mmd,4ca95e0345c62eb2|309d6994a82c6ae7|5dd6836d078ce629|6fc74fae4ddc3142,Completed.
4,tables_figures_catalog,OK,datasets/protocolo_c/v2am_tables_figures_catalog.csv|docs/tcc_exports/v2am_appendix_evidence_atlas/v2am_tables_and_figures_catalog.md,7f4e88868496cfe9|aa467f2afe28924b,Completed.
5,claims_guardrails_appendix,OK,datasets/protocolo_c/v2am_claims_guardrails_registry.csv|docs/tcc_exports/v2am_appendix_evidence_atlas/v2am_claims_and_guardrails_appendix.md,4eeb38f81b92f279|f74427c23b0bd64b,Completed.
6,review_queue_appendix,OK,datasets/protocolo_c/v2am_review_queue_appendix_registry.csv|docs/tcc_exports/v2am_appendix_evidence_atlas/v2am_review_queue_appendix.md,ef4db3806cd45429|5495eca5c0c7207f,Completed.
7,limitations_appendix,OK,datasets/protocolo_c/v2am_limitations_appendix_registry.csv|docs/tcc_exports/v2am_appendix_evidence_atlas/v2am_limitations_appendix.md,81caffe7d5a06ee3|5cac9fff78f56258,Completed.
8,defense_question_bank,OK,datasets/protocolo_c/v2am_defense_question_bank.csv|docs/tcc_exports/v2am_appendix_evidence_atlas/v2am_defense_question_bank.md,6e2080e9432dbb12|cfbe804f1195b338,Completed.
9,final_claim_consistency_audit,OK,datasets/protocolo_c/v2am_final_claim_consistency_audit.csv|docs/tcc_exports/v2am_appendix_evidence_atlas/v2am_final_claim_consistency_audit.md,f28d5e3e4fb18bd8|583f5e4bffb32423,Completed.
10,appendix_index,OK,datasets/protocolo_c/v2am_appendix_index_registry.csv|docs/tcc_exports/v2am_appendix_evidence_atlas/v2am_appendix_index.md,982baa2e259782fe|b2e861727446ff32,Completed.
11,next_action_ranker,OK,datasets/protocolo_c/v2am_next_actions_registry.csv,2f8a7cf59cb61595,Completed.
12,completion_report,OK,datasets/protocolo_c/v2am_completion_report.csv|docs/tcc_exports/v2am_appendix_evidence_atlas/v2am_completion_report.md,e9f4e0417b7df63d|792d66056cf99593,Completed.
