inventory_id,source_tag,event_id,container_type,internal_path,asset_type,extension,file_size_bytes,sha256,has_geometry,geometry_type,crs,feature_count,has_prj,columns_detected,date_term_detected,hazard_term_detected,locality_term_detected,susceptibility_term_detected,classification,inventory_status,notes
FINV_v1uj_0010,ckan,REC_2022_05_24_30,standalone,REC_2022_05_24_30__ckan__3362394d-0b60-4607-8f35-06421f7ce15b__43457e4a4ded__atendimentos-2021.csv,tabular,.csv,10836516,ff5f7da5f71169f8f6f1306e8e4c4145852b4315de168c6046561bdecf1505af,false,,,,,"Regional;""Ano"";""Mês"";""Data"";""Ocorrencia"";""Solicitacao"";""Endereco"";""Bairro"";""Localidade"";""Grau_de_Risco"";""Data_da_Acao"";""Tipo_da_Acao"";""Quantidade"";""Altura"";""Largura"";""Area_m""",true,true,false,true,DOCUMENTED_OCCURRENCE_TABLE_NO_GEOMETRY,INVENTORIED,
FINV_v1uj_0011,ckan,REC_2022_05_24_30,standalone,REC_2022_05_24_30__ckan__35566d21-a428-4595-89dc-eb405380b33e__ba003e269ccb__abrigos-temporario.csv,tabular,.csv,2891,f939d334fdca71daece2487dff3e3797b0a3901c05f18aa84ee379207f76f79f,false,,,,,"equipamento_publico_disponivel;""tipo"";""municipal_estadual"";""endereco"";""bairro"";""latitude"";""longitude""",true,false,false,false,CONTEXTUAL_OFFICIAL_LAYER,INVENTORIED,
FINV_v1uj_0012,ckan,REC_2022_05_24_30,standalone,REC_2022_05_24_30__ckan__40e0558f-dc49-4ec7-b5e6-5a791703ae34__ee3130157c6d__atendimentos-2017.csv,tabular,.csv,14569883,2de665e3d7dc6e66a1fad13e3bedb7c746ce5e280d93d30a788c0d356707a4e5,false,,,,,"Regional;""Ano"";""Mês"";""Data"";""Ocorrencia"";""Solicitacao"";""Endereco"";""Bairro"";""Localidade"";""Grau_de_Risco"";""Data_da_Acao"";""Tipo_da_Acao"";""Quantidade"";""Altura"";""Largura"";""Area_m""",true,true,false,true,DOCUMENTED_OCCURRENCE_TABLE_NO_GEOMETRY,INVENTORIED,
FINV_v1uj_0013,ckan,REC_2022_05_24_30,standalone,REC_2022_05_24_30__ckan__42b2d034-37fb-46ea-8996-e4e26e52de0c__3c46311ea9ae__rotas-cicloviarias-operacionais.geojson,geospatial_vector,.geojson,40110,11caa7c01faae3314b5edcd071c78a8f16045abc92626a4309d2929e0db0e07d,true,MultiLineString,urn:ogc:def:crs:OGC:1.3:CRS84,7,,,true,false,false,false,CONTEXTUAL_OFFICIAL_LAYER,INVENTORIED,
FINV_v1uj_0014,ckan,REC_2022_05_24_30,standalone,REC_2022_05_24_30__ckan__45d0acc9-6fe0-4c4f-bce4-568a571beb0f__d9b2ca16b7c4__rotas-de-coletas.csv,tabular,.csv,94638,bc9d5650b1e2b9621a57e2ff8abe2f4734cbda668e995ca83f0ef6826a060f5c,false,,,,,"PERCUSSO_I;""ROTA_ID"";""EMP_ID"";""LOCAL_ID"";""ROTA_DESC"";""TPCIRCUITO_DESC"";""LOCAL_NOME""",true,false,false,false,CONTEXTUAL_OFFICIAL_LAYER,INVENTORIED,
FINV_v1uj_0015,ckan,REC_2022_05_24_30,standalone,REC_2022_05_24_30__ckan__4998c7fd-3c17-409a-9757-de7903379c9c__28f93a9d7a19__cipid.csv,tabular,.csv,760,a6ad1350e65d2dc523bce7745281e46ef1be035c8ac80be4a72493b2378a858c,false,,,,,"SECRETARIA;""REPRESENTANTE"";""EMAIL""",true,false,false,false,CONTEXTUAL_OFFICIAL_LAYER,INVENTORIED,
FINV_v1uj_0016,ckan,REC_2022_05_24_30,standalone,REC_2022_05_24_30__ckan__4df5a2d2-507c-4ccf-8bdf-c7dc1f73fe59__c1d1af6dd718__atendimentos-2022.csv,tabular,.csv,14894862,2b6738c5e2f97f691eacc3ec564816c29a61c14f6d56f3c6f3dd3d8c732d222f,false,,,,,"Regional;""Ano"";""Mês"";""Data"";""Ocorrencia"";""Solicitacao"";""Endereco"";""Bairro"";""Localidade"";""Grau_de_Risco"";""Data_da_Acao"";""Tipo_da_Acao"";""Quantidade"";""Altura"";""Largura"";""Area_m""",true,true,false,true,DOCUMENTED_OCCURRENCE_TABLE_NO_GEOMETRY,INVENTORIED,
FINV_v1uj_0017,ckan,REC_2022_05_24_30,standalone,REC_2022_05_24_30__ckan__529e344f-85bf-4e66-9006-11812c45f65b__2cdf59d0d04e__parque-e-pracas-programa-ta-aprumado-pracas.csv,tabular,.csv,82426,c20e38e09075ba0eb1c0fb3e350dcf4780b067b740af3478fd7d905fe4369ce9,false,,,,,"Seq;""Nome_Praca"";""endereco"";""latitude"";""longitude"";""origem"";""nome_bairro""",true,false,false,false,CONTEXTUAL_OFFICIAL_LAYER,INVENTORIED,
FINV_v1uj_0018,ckan,REC_2022_05_24_30,standalone,REC_2022_05_24_30__ckan__559ce500-deab-467d-862e-cf50332a9c26__a196675fb4db__atendimentos-2020.csv,tabular,.csv,11454141,db105a62b09671ac180d946edb15965b3be5d4e409379efca4f6d6bdbc8217f6,false,,,,,"Regional;""Ano"";""Mês"";""Data"";""Ocorrencia"";""Solicitacao"";""Endereco"";""Bairro"";""Localidade"";""Grau_de_Risco"";""Data_da_Acao"";""Tipo_da_Acao"";""Quantidade"";""Altura"";""Largura"";""Area_m""",true,true,false,true,DOCUMENTED_OCCURRENCE_TABLE_NO_GEOMETRY,INVENTORIED,
FINV_v1uj_0019,ckan,REC_2022_05_24_30,standalone,REC_2022_05_24_30__ckan__6084cef1-52ea-42c6-b535-5add65d82ae2__6ed851b19371__efetivo-da-defesa-civil-2023.csv,tabular,.csv,284874,b12e899895bad3cbf7ae431f539bc5b9e0db0c78503df982d2a8e4ae28fc9f89,false,,,,,"numero;""nome"";""cargo"";""tipo_vinculo"";""turno"";""situacao"";""orgao_origem"";""lotacao""",true,false,false,false,CONTEXTUAL_OFFICIAL_LAYER,INVENTORIED,
