qa_id,event_patch_candidate_id,check_group,check_name,expected,observed,status,severity,notes
QA_readiness_consistency_00039,EPC_v1us_00009,readiness_consistency,temporal_not_strong_when_unlinkable,not_STRONG,date=BLOCKED|linkage=BLOCKED,PASS,high,
QA_readiness_consistency_00040,EPC_v1us_00010,readiness_consistency,overlay_blocked_when_geometry_absent,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00041,EPC_v1us_00010,readiness_consistency,ground_reference_blocked,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00042,EPC_v1us_00010,readiness_consistency,training_blocked,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00043,EPC_v1us_00010,readiness_consistency,temporal_not_strong_when_unlinkable,not_STRONG,date=BLOCKED|linkage=BLOCKED,PASS,high,
QA_readiness_consistency_00044,EPC_v1us_00011,readiness_consistency,overlay_blocked_when_geometry_absent,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00045,EPC_v1us_00011,readiness_consistency,ground_reference_blocked,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00046,EPC_v1us_00011,readiness_consistency,training_blocked,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00047,EPC_v1us_00011,readiness_consistency,temporal_not_strong_when_unlinkable,not_STRONG,date=BLOCKED|linkage=BLOCKED,PASS,high,
QA_readiness_consistency_00048,EPC_v1us_00012,readiness_consistency,overlay_blocked_when_geometry_absent,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00049,EPC_v1us_00012,readiness_consistency,ground_reference_blocked,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00050,EPC_v1us_00012,readiness_consistency,training_blocked,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00051,EPC_v1us_00012,readiness_consistency,temporal_not_strong_when_unlinkable,not_STRONG,date=BLOCKED|linkage=BLOCKED,PASS,high,
QA_readiness_consistency_00052,EPC_v1us_00013,readiness_consistency,overlay_blocked_when_geometry_absent,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00053,EPC_v1us_00013,readiness_consistency,ground_reference_blocked,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00054,EPC_v1us_00013,readiness_consistency,training_blocked,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00055,EPC_v1us_00013,readiness_consistency,temporal_not_strong_when_unlinkable,not_STRONG,date=BLOCKED|linkage=BLOCKED,PASS,high,
QA_readiness_consistency_00056,EPC_v1us_00014,readiness_consistency,overlay_blocked_when_geometry_absent,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00057,EPC_v1us_00014,readiness_consistency,ground_reference_blocked,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00058,EPC_v1us_00014,readiness_consistency,training_blocked,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00059,EPC_v1us_00014,readiness_consistency,temporal_not_strong_when_unlinkable,not_STRONG,date=BLOCKED|linkage=BLOCKED,PASS,high,
QA_readiness_consistency_00060,EPC_v1us_00015,readiness_consistency,overlay_blocked_when_geometry_absent,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00061,EPC_v1us_00015,readiness_consistency,ground_reference_blocked,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00062,EPC_v1us_00015,readiness_consistency,training_blocked,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00063,EPC_v1us_00015,readiness_consistency,temporal_not_strong_when_unlinkable,not_STRONG,date=BLOCKED|linkage=BLOCKED,PASS,high,
QA_readiness_consistency_00064,EPC_v1us_00016,readiness_consistency,overlay_blocked_when_geometry_absent,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00065,EPC_v1us_00016,readiness_consistency,ground_reference_blocked,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00066,EPC_v1us_00016,readiness_consistency,training_blocked,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00067,EPC_v1us_00016,readiness_consistency,temporal_not_strong_when_unlinkable,not_STRONG,date=BLOCKED|linkage=BLOCKED,PASS,high,
QA_readiness_consistency_00068,EPC_v1us_00017,readiness_consistency,overlay_blocked_when_geometry_absent,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00069,EPC_v1us_00017,readiness_consistency,ground_reference_blocked,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00070,EPC_v1us_00017,readiness_consistency,training_blocked,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00071,EPC_v1us_00017,readiness_consistency,temporal_not_strong_when_unlinkable,not_STRONG,date=BLOCKED|linkage=BLOCKED,PASS,high,
QA_readiness_consistency_00072,EPC_v1us_00018,readiness_consistency,overlay_blocked_when_geometry_absent,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00073,EPC_v1us_00018,readiness_consistency,ground_reference_blocked,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00074,EPC_v1us_00018,readiness_consistency,training_blocked,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00075,EPC_v1us_00018,readiness_consistency,temporal_not_strong_when_unlinkable,not_STRONG,date=BLOCKED|linkage=BLOCKED,PASS,high,
QA_readiness_consistency_00076,EPC_v1us_00019,readiness_consistency,overlay_blocked_when_geometry_absent,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00077,EPC_v1us_00019,readiness_consistency,ground_reference_blocked,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00078,EPC_v1us_00019,readiness_consistency,training_blocked,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00079,EPC_v1us_00019,readiness_consistency,temporal_not_strong_when_unlinkable,not_STRONG,date=BLOCKED|linkage=BLOCKED,PASS,high,
QA_readiness_consistency_00080,EPC_v1us_00020,readiness_consistency,overlay_blocked_when_geometry_absent,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00081,EPC_v1us_00020,readiness_consistency,ground_reference_blocked,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00082,EPC_v1us_00020,readiness_consistency,training_blocked,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00083,EPC_v1us_00020,readiness_consistency,temporal_not_strong_when_unlinkable,not_STRONG,date=BLOCKED|linkage=BLOCKED,PASS,high,
QA_readiness_consistency_00084,EPC_v1us_00021,readiness_consistency,overlay_blocked_when_geometry_absent,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00085,EPC_v1us_00021,readiness_consistency,ground_reference_blocked,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00086,EPC_v1us_00021,readiness_consistency,training_blocked,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00087,EPC_v1us_00021,readiness_consistency,temporal_not_strong_when_unlinkable,not_STRONG,date=BLOCKED|linkage=BLOCKED,PASS,high,
QA_readiness_consistency_00088,EPC_v1us_00022,readiness_consistency,overlay_blocked_when_geometry_absent,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00089,EPC_v1us_00022,readiness_consistency,ground_reference_blocked,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00090,EPC_v1us_00022,readiness_consistency,training_blocked,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00091,EPC_v1us_00022,readiness_consistency,temporal_not_strong_when_unlinkable,not_STRONG,date=BLOCKED|linkage=BLOCKED,PASS,high,
QA_readiness_consistency_00092,EPC_v1us_00023,readiness_consistency,overlay_blocked_when_geometry_absent,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00093,EPC_v1us_00023,readiness_consistency,ground_reference_blocked,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00094,EPC_v1us_00023,readiness_consistency,training_blocked,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00095,EPC_v1us_00023,readiness_consistency,temporal_not_strong_when_unlinkable,not_STRONG,date=BLOCKED|linkage=BLOCKED,PASS,high,
QA_readiness_consistency_00096,EPC_v1us_00024,readiness_consistency,overlay_blocked_when_geometry_absent,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00097,EPC_v1us_00024,readiness_consistency,ground_reference_blocked,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00098,EPC_v1us_00024,readiness_consistency,training_blocked,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00099,EPC_v1us_00024,readiness_consistency,temporal_not_strong_when_unlinkable,not_STRONG,date=BLOCKED|linkage=BLOCKED,PASS,high,
QA_readiness_consistency_00100,EPC_v1us_00025,readiness_consistency,overlay_blocked_when_geometry_absent,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00101,EPC_v1us_00025,readiness_consistency,ground_reference_blocked,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00102,EPC_v1us_00025,readiness_consistency,training_blocked,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00103,EPC_v1us_00025,readiness_consistency,temporal_not_strong_when_unlinkable,not_STRONG,date=BLOCKED|linkage=BLOCKED,PASS,high,
QA_readiness_consistency_00104,EPC_v1us_00026,readiness_consistency,overlay_blocked_when_geometry_absent,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00105,EPC_v1us_00026,readiness_consistency,ground_reference_blocked,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00106,EPC_v1us_00026,readiness_consistency,training_blocked,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00107,EPC_v1us_00026,readiness_consistency,temporal_not_strong_when_unlinkable,not_STRONG,date=BLOCKED|linkage=BLOCKED,PASS,high,
QA_readiness_consistency_00108,EPC_v1us_00027,readiness_consistency,overlay_blocked_when_geometry_absent,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00109,EPC_v1us_00027,readiness_consistency,ground_reference_blocked,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00110,EPC_v1us_00027,readiness_consistency,training_blocked,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00111,EPC_v1us_00027,readiness_consistency,temporal_not_strong_when_unlinkable,not_STRONG,date=BLOCKED|linkage=BLOCKED,PASS,high,
QA_readiness_consistency_00112,EPC_v1us_00028,readiness_consistency,overlay_blocked_when_geometry_absent,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00113,EPC_v1us_00028,readiness_consistency,ground_reference_blocked,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00114,EPC_v1us_00028,readiness_consistency,training_blocked,BLOCKED,BLOCKED,PASS,critical,
