step_order,step_name,status,outputs,output_hashes,notes
1,candidate_inventory_normalizer,OK,datasets/protocolo_c/v2an_observed_candidate_inventory_normalized.csv|docs/protocolo_c/v2an_ground_reference_validation_sprint/v2an_observed_candidate_inventory_normalized.md,d4ca8497ed2b40b7|8f4da61f8982a73d,Completed.
2,source_access_probe,OK,datasets/protocolo_c/v2an_source_access_probe.csv|docs/protocolo_c/v2an_ground_reference_validation_sprint/v2an_source_access_probe.md,af63af4a857d9fb4|c6f43cad907e37af,Completed.
3,document_metadata_extractor,OK,datasets/protocolo_c/v2an_document_metadata_registry.csv|docs/protocolo_c/v2an_ground_reference_validation_sprint/v2an_document_metadata_registry.md,0bcb5cb3dd691200|5ff5638fff066a7f,Completed.
4,spatial_anchor_extractor,OK,datasets/protocolo_c/v2an_spatial_anchor_registry.csv|docs/protocolo_c/v2an_ground_reference_validation_sprint/v2an_spatial_anchor_registry.md,9627a0879b26a7a1|269fa239ecbf36de,Completed.
5,temporal_sentinel_crosswalk_audit,OK,datasets/protocolo_c/v2an_temporal_sentinel_crosswalk_audit.csv|docs/protocolo_c/v2an_ground_reference_validation_sprint/v2an_temporal_sentinel_crosswalk_audit.md,86e23b2959429df4|c94980e4057fc234,Completed.
6,patch_link_readiness_audit,OK,datasets/protocolo_c/v2an_patch_link_readiness_audit.csv|docs/protocolo_c/v2an_ground_reference_validation_sprint/v2an_patch_link_readiness_audit.md,e0d7547962e68826|afc6331432395a15,Completed.
7,gate_closure_matrix,OK,datasets/protocolo_c/v2an_gate_closure_matrix.csv|docs/protocolo_c/v2an_ground_reference_validation_sprint/v2an_gate_closure_matrix.md,c12f6c6a2b4bf074|ad83cdc0c7ed8d20,Completed.
8,readiness_scorer,OK,datasets/protocolo_c/v2an_ground_reference_readiness_scores.csv|docs/protocolo_c/v2an_ground_reference_validation_sprint/v2an_ground_reference_readiness_scores.md,4d32e59bff3c49eb|312012c34d7f1c9b,Completed.
9,candidate_dossier_builder,OK,datasets/protocolo_c/v2an_candidate_dossier_index.csv,eb29cbfa779d2a01,Completed.
10,human_review_package,OK,datasets/protocolo_c/v2an_human_ground_reference_review_package.csv|docs/protocolo_c/v2an_ground_reference_validation_sprint/v2an_human_ground_reference_review_package.md,16351596340543a3|751416e76ebc9912,Completed.
11,validation_decision_registry,OK,datasets/protocolo_c/v2an_validation_decision_registry.csv|docs/protocolo_c/v2an_ground_reference_validation_sprint/v2an_validation_decision_registry.md,e73158f5a84089af|a65fb4732f98571a,Completed.
12,ground_truth_blocker_audit,OK,datasets/protocolo_c/v2an_ground_truth_blocker_audit.csv|docs/protocolo_c/v2an_ground_reference_validation_sprint/v2an_ground_truth_blocker_audit.md,87adb11a5a8f70c7|f24135499ea65fe3,Completed.
13,guardrail_regression,OK,datasets/protocolo_c/v2an_guardrail_regression.csv,37ccd65a2a93cc95,Completed.
14,next_action_ranker,OK,datasets/protocolo_c/v2an_next_actions_registry.csv,11d5d26f8344c3d2,Completed.
15,completion_report,OK,datasets/protocolo_c/v2an_completion_report.csv|docs/protocolo_c/v2an_ground_reference_validation_sprint/v2an_completion_report.md,46ff17c5fe0f3eae|d4340d5933a8fbd8,Completed.
