step_order,step_name,status,outputs,output_hashes,notes
1,candidate_selection,OK,datasets/protocolo_c/v2ap_candidate_selection.csv|docs/protocolo_c/v2ap_patch_geometry_sentinel_crosswalk/v2ap_candidate_selection.md,2945fee4109093ca|a7465eeebf777287,Completed.
2,sentinel_asset_inventory,OK,datasets/protocolo_c/v2ap_sentinel_asset_inventory.csv|docs/protocolo_c/v2ap_patch_geometry_sentinel_crosswalk/v2ap_sentinel_asset_inventory.md,e7470a22efc7e404|5e071420050feb34,Completed.
3,patch_registry_inventory,OK,datasets/protocolo_c/v2ap_patch_registry_inventory.csv|docs/protocolo_c/v2ap_patch_geometry_sentinel_crosswalk/v2ap_patch_registry_inventory.md,129e6ddafb75752e|c9c1d5d5ae252013,Completed.
4,spatial_geometry_readiness,OK,datasets/protocolo_c/v2ap_spatial_geometry_readiness.csv|docs/protocolo_c/v2ap_patch_geometry_sentinel_crosswalk/v2ap_spatial_geometry_readiness.md,78fd1202d19829ab|2b6d95449b78e3aa,Completed.
5,temporal_window,OK,datasets/protocolo_c/v2ap_event_sentinel_temporal_window.csv|docs/protocolo_c/v2ap_patch_geometry_sentinel_crosswalk/v2ap_event_sentinel_temporal_window.md,72037f515b44a7d0|8706a75685fe1bfd,Completed.
6,sentinel_crosswalk_candidates,OK,datasets/protocolo_c/v2ap_sentinel_crosswalk_candidates.csv|docs/protocolo_c/v2ap_patch_geometry_sentinel_crosswalk/v2ap_sentinel_crosswalk_candidates.md,4740d5a48cae04fe|baecf5a6d4043cbc,Completed.
7,patch_event_link_readiness,OK,datasets/protocolo_c/v2ap_patch_event_link_readiness.csv|docs/protocolo_c/v2ap_patch_geometry_sentinel_crosswalk/v2ap_patch_event_link_readiness.md,b590ba7c53bc71dd|14ad6dad5e612dec,Completed.
8,geometry_collection_packet,OK,datasets/protocolo_c/v2ap_geometry_collection_packet.csv|docs/protocolo_c/v2ap_patch_geometry_sentinel_crosswalk/v2ap_geometry_collection_packet.md,f668a8fd6afef0b5|670720e33f5c1502,Completed.
9,crosswalk_collection_packet,OK,datasets/protocolo_c/v2ap_crosswalk_collection_packet.csv|docs/protocolo_c/v2ap_patch_geometry_sentinel_crosswalk/v2ap_crosswalk_collection_packet.md,07f8b94cd0c584f0|95b9b0590af67cb0,Completed.
10,patch_reference_readiness_scorer,OK,datasets/protocolo_c/v2ap_patch_reference_readiness_scores.csv|docs/protocolo_c/v2ap_patch_geometry_sentinel_crosswalk/v2ap_patch_reference_readiness_scores.md,80d35e993686d3af|783ae1f3886401fe,Completed.
11,patch_truth_boundary_update,OK,datasets/protocolo_c/v2ap_patch_truth_boundary_update.csv|docs/protocolo_c/v2ap_patch_geometry_sentinel_crosswalk/v2ap_patch_truth_boundary_update.md,9f0cde850a25d4a0|73f4f3daf4c785ef,Completed.
12,guardrail_regression,OK,datasets/protocolo_c/v2ap_guardrail_regression.csv,1ab2e0e76a1bbd6d,Completed.
13,next_action_ranker,OK,datasets/protocolo_c/v2ap_next_actions_registry.csv,266133bbea6215d3,Completed.
14,completion_report,OK,datasets/protocolo_c/v2ap_completion_report.csv|docs/protocolo_c/v2ap_patch_geometry_sentinel_crosswalk/v2ap_completion_report.md,9408afbbe136f8a5|aa3de3b9319f06dc,Completed.
