coordinate_audit_id,event_id,asset_id,asset_type,coordinate_fields,rows_checked,rows_with_coordinates,rows_in_recife_range,crs_status,geometry_status,coordinate_classification,can_create_ground_reference,can_create_training_label,notes
COORD_v1uk_0047,REC_2022_05_24_30,c394160a-ea01-4ea4-a6f5-afae75ca2246,tabular,latitude|longitude,103,24,24,not_applicable,not_applicable,OCCURRENCE_COORDINATES_CANDIDATE,false,false,
COORD_v1uk_0048,REC_2022_05_24_30,c61585b5-4e1d-40d8-86e9-c5808a2716a0,tabular,latitude|longitude,1,1,1,not_applicable,not_applicable,INFRASTRUCTURE_CONTEXT,false,false,
COORD_v1uk_0049,REC_2022_05_24_30,c67fa150-8c69-4f6d-8fca-8204fdd61e35,geospatial_vector,,79,79,79,CRS_PRESENT,GEOMETRY_PRESENT,INFRASTRUCTURE_CONTEXT,false,false,
COORD_v1uk_0050,REC_2022_05_24_30,c81ded9f-aeb1-4aca-9b68-0a1f72241b37,tabular,,136211,0,0,not_applicable,not_applicable,NO_COORDINATES,false,false,
COORD_v1uk_0051,REC_2022_05_24_30,c9654429-a71f-4f10-aed7-a61cb532aa3d,tabular,,1,0,0,not_applicable,not_applicable,NO_COORDINATES,false,false,
COORD_v1uk_0052,REC_2022_05_24_30,c99492cc-ee53-4fd0-a254-c6573aaa2cd7,tabular,latitude|longitude,10,10,10,not_applicable,not_applicable,INFRASTRUCTURE_CONTEXT,false,false,
COORD_v1uk_0053,REC_2022_05_24_30,d2199b6f-1d24-4553-980b-e11dafc90e06,tabular,latitude|longitude,505,505,505,not_applicable,not_applicable,INFRASTRUCTURE_CONTEXT,false,false,
COORD_v1uk_0054,REC_2022_05_24_30,d7c98300-5043-4d6c-92d7-20a519b25366,tabular,,1,0,0,not_applicable,not_applicable,NO_COORDINATES,false,false,
COORD_v1uk_0055,REC_2022_05_24_30,e8beeaec-5d53-4e3a-9196-89edf2127089,tabular,,89,0,0,not_applicable,not_applicable,NO_COORDINATES,false,false,
COORD_v1uk_0056,REC_2022_05_24_30,ec18759d-fac2-445e-ae72-af9d9210b831,geospatial_vector,,400,400,400,CRS_MISSING,GEOMETRY_PRESENT,REGIONAL_CONTEXT_POINTS,false,false,
COORD_v1uk_0057,REC_2022_05_24_30,ef03b0e3-0c83-4eb8-a2fb-97867d195204,tabular,,1,0,0,not_applicable,not_applicable,NO_COORDINATES,false,false,
COORD_v1uk_0058,REC_2022_05_24_30,f2f8d284-3f9e-4172-906a-a40df53f1743,tabular,latitude|longitude,1,1,1,not_applicable,not_applicable,INFRASTRUCTURE_CONTEXT,false,false,
COORD_v1uk_0059,REC_2022_05_24_30,f3b3a0ab-ac8f-4fe8-a1cc-c3afdd20081a,tabular,latitude|longitude,103,24,24,not_applicable,not_applicable,OCCURRENCE_COORDINATES_CANDIDATE,false,false,
COORD_v1uk_0060,REC_2022_05_24_30,f7b0ae2a-f275-4596-81aa-eacc08c54019,tabular,latitude|longitude,3,3,3,not_applicable,not_applicable,INFRASTRUCTURE_CONTEXT,false,false,
COORD_v1uk_0061,REC_2022_05_24_30,f907decb-0fb6-491b-8b6c-0f53f277f413,tabular,,1,0,0,not_applicable,not_applicable,NO_COORDINATES,false,false,
COORD_v1uk_0062,REC_2022_05_24_30,fa135ecc-101d-40d7-88df-f38aa709a7d1,tabular,,173,0,0,not_applicable,not_applicable,NO_COORDINATES,false,false,
COORD_v1uk_0063,REC_2022_05_24_30,fed15150-ff77-41c6-9c1d-5055ae109903,tabular,,1,0,0,not_applicable,not_applicable,NO_COORDINATES,false,false,
