step_order,step_name,status,outputs,output_hashes,notes
1,deep_probe_priority,OK,datasets/protocolo_c/v2as_deep_probe_priority.csv|docs/protocolo_c/v2as_official_geometry_deep_probe/v2as_deep_probe_priority.md,4b1b0095dd4602ce|5b035fd28f8d3bc7,Completed.
2,source_deep_probe,OK,datasets/protocolo_c/v2as_source_deep_probe.csv|docs/protocolo_c/v2as_official_geometry_deep_probe/v2as_source_deep_probe.md,bd02e403c4e5cfd6|41515f7db537d837,Completed.
3,geometry_payload_detector,OK,datasets/protocolo_c/v2as_geometry_payload_detection.csv|docs/protocolo_c/v2as_official_geometry_deep_probe/v2as_geometry_payload_detection.md,fd700f711a6b3c3a|1ba2e40b687ea9f9,Completed.
4,coordinate_sanity_validator,OK,datasets/protocolo_c/v2as_coordinate_sanity_validation.csv|docs/protocolo_c/v2as_official_geometry_deep_probe/v2as_coordinate_sanity_validation.md,732fff58e30a95c5|802f09e9e2dbd3e3,Completed.
5,geometry_candidate_classifier,OK,datasets/protocolo_c/v2as_geometry_candidate_classification.csv|docs/protocolo_c/v2as_official_geometry_deep_probe/v2as_geometry_candidate_classification.md,af212d2322665db9|848c944bf65c2a8c,Completed.
6,geojson_candidate_exporter,OK,datasets/protocolo_c/v2as_geojson_candidate_index.csv|docs/protocolo_c/v2as_official_geometry_deep_probe/v2as_geojson_candidate_index.md,5b12548724726b97|4b586a3920f3c20c,Completed.
7,geojson_validation,OK,datasets/protocolo_c/v2as_geojson_validation.csv|docs/protocolo_c/v2as_official_geometry_deep_probe/v2as_geojson_validation.md,98c009249d8388e7|b12e6f68e8f48c4a,Completed.
8,patch_link_readiness_update,OK,datasets/protocolo_c/v2as_patch_link_readiness_update.csv|docs/protocolo_c/v2as_official_geometry_deep_probe/v2as_patch_link_readiness_update.md,5c7ca67b0feba032|cdd545598b74fecc,Completed.
9,digitization_gap_report,OK,datasets/protocolo_c/v2as_digitization_gap_report.csv|docs/protocolo_c/v2as_official_geometry_deep_probe/v2as_digitization_gap_report.md,e82252147d87f142|c166e9a4c3e8246c,Completed.
10,patch_truth_boundary_audit,OK,datasets/protocolo_c/v2as_patch_truth_boundary_audit.csv|docs/protocolo_c/v2as_official_geometry_deep_probe/v2as_patch_truth_boundary_audit.md,59dabfae0dcba09b|86015f69323376d6,Completed.
11,guardrail_regression,OK,datasets/protocolo_c/v2as_guardrail_regression.csv,d9618e763a3adc79,Completed.
12,next_action_ranker,OK,datasets/protocolo_c/v2as_next_actions_registry.csv,d7b580b7f3fc64f3,Completed.
13,completion_report,OK,datasets/protocolo_c/v2as_completion_report.csv|docs/protocolo_c/v2as_official_geometry_deep_probe/v2as_completion_report.md,b7fe9384b2c54445|becb8cabcc76297b,Completed.
