extraction_id,manifest_id,source_id,event_id,url,acquisition_status,local_raw_path,sha256,file_size_bytes,mime_type,content_type_header,acquisition_timestamp,download_duration_ms,http_status,error_detail,can_create_training_label,ground_truth_operational,notes
EXT_v1ud_0000,MAN_v1ud_0000,INMET_BDMEP,PET_2022_02_15,https://portal.inmet.gov.br/dadoshistoricos,DOWNLOADED,local_only\protocolo_c\evidence_raw\v1ud\INMET_BDMEP\PET_2022_02_15\portal_inmet_gov_br.html,e79692d89f9fe6071cdb958e5974b7debc518d6f4233de06028d50d4cd735d3d,61658,text/html,text/html; charset=UTF-8,2026-06-03T08:56:01.095960,1983,200,,false,false,
EXT_v1ud_0001,MAN_v1ud_0001,INMET_BDMEP,PET_2024_03_21_28,https://portal.inmet.gov.br/dadoshistoricos,DOWNLOADED,local_only\protocolo_c\evidence_raw\v1ud\INMET_BDMEP\PET_2024_03_21_28\portal_inmet_gov_br.html,e79692d89f9fe6071cdb958e5974b7debc518d6f4233de06028d50d4cd735d3d,61658,text/html,text/html; charset=UTF-8,2026-06-03T08:56:04.840899,2140,200,,false,false,
EXT_v1ud_0002,MAN_v1ud_0002,INMET_BDMEP,REC_2022_05_24_30,https://portal.inmet.gov.br/dadoshistoricos,DOWNLOADED,local_only\protocolo_c\evidence_raw\v1ud\INMET_BDMEP\REC_2022_05_24_30\portal_inmet_gov_br.html,e79692d89f9fe6071cdb958e5974b7debc518d6f4233de06028d50d4cd735d3d,61658,text/html,text/html; charset=UTF-8,2026-06-03T08:56:08.429962,1937,200,,false,false,
EXT_v1ud_0003,MAN_v1ud_0003,ANA_HIDROWEB,PET_2022_02_15,https://www.snirh.gov.br/hidroweb/apresentacao,DOWNLOADED,local_only\protocolo_c\evidence_raw\v1ud\ANA_HIDROWEB\PET_2022_02_15\www_snirh_gov_br.html,ec9a2510a3b238295ac5d86bbec9341405602c5224163a3301813ed1f9d54a56,3122,text/html,text/html,2026-06-03T08:56:11.397620,1390,200,,false,false,
EXT_v1ud_0004,MAN_v1ud_0004,ANA_HIDROWEB,PET_2022_02_15,https://www.snirh.gov.br/hidroweb/serieshistoricas,DOWNLOADED,local_only\protocolo_c\evidence_raw\v1ud\ANA_HIDROWEB\PET_2022_02_15\www_snirh_gov_br.html,ec9a2510a3b238295ac5d86bbec9341405602c5224163a3301813ed1f9d54a56,3122,text/html,text/html,2026-06-03T08:56:14.179999,1280,200,,false,false,
EXT_v1ud_0005,MAN_v1ud_0005,ANA_HIDROWEB,REC_2022_05_24_30,https://www.snirh.gov.br/hidroweb/apresentacao,DOWNLOADED,local_only\protocolo_c\evidence_raw\v1ud\ANA_HIDROWEB\REC_2022_05_24_30\www_snirh_gov_br.html,ec9a2510a3b238295ac5d86bbec9341405602c5224163a3301813ed1f9d54a56,3122,text/html,text/html,2026-06-03T08:56:17.241322,1562,200,,false,false,
EXT_v1ud_0006,MAN_v1ud_0006,ANA_HIDROWEB,REC_2022_05_24_30,https://www.snirh.gov.br/hidroweb/serieshistoricas,DOWNLOADED,local_only\protocolo_c\evidence_raw\v1ud\ANA_HIDROWEB\REC_2022_05_24_30\www_snirh_gov_br.html,ec9a2510a3b238295ac5d86bbec9341405602c5224163a3301813ed1f9d54a56,3122,text/html,text/html,2026-06-03T08:56:20.027489,1281,200,,false,false,
EXT_v1ud_0007,MAN_v1ud_0007,CEMADEN_PLUVIOMETROS,PET_2022_02_15,http://www2.cemaden.gov.br/mapainterativo/,SKIPPED,,,0,,,,0,,Domain approved for metadata only,false,false,
EXT_v1ud_0008,MAN_v1ud_0008,CEMADEN_PLUVIOMETROS,PET_2022_02_15,http://www.cemaden.gov.br/pluviometros-automaticos/,SKIPPED,,,0,,,,0,,HTTP 404,false,false,
EXT_v1ud_0009,MAN_v1ud_0009,CEMADEN_PLUVIOMETROS,REC_2022_05_24_30,http://www2.cemaden.gov.br/mapainterativo/,SKIPPED,,,0,,,,0,,Domain approved for metadata only,false,false,
