guardrail_check_id,artifact_path,check_type,violation_count,status,severity,notes
GR_v2ai_00034,datasets/protocolo_c/v2ah_reopen_conditions_registry.csv,non_versionable_path_marker,0,PASS,none,Fail-closed scan over v2ai and v2ah outputs.
GR_v2ai_00035,datasets/protocolo_c/v2ah_safe_tcc_export_registry.csv,forbidden_true_flag,0,PASS,none,Fail-closed scan over v2ai and v2ah outputs.
GR_v2ai_00036,datasets/protocolo_c/v2ah_safe_tcc_export_registry.csv,forbidden_promotion_status,0,PASS,none,Fail-closed scan over v2ai and v2ah outputs.
GR_v2ai_00037,datasets/protocolo_c/v2ah_safe_tcc_export_registry.csv,fake_human_review_timestamp,0,PASS,none,Fail-closed scan over v2ai and v2ah outputs.
GR_v2ai_00038,datasets/protocolo_c/v2ah_safe_tcc_export_registry.csv,absolute_path,0,PASS,none,Fail-closed scan over v2ai and v2ah outputs.
GR_v2ai_00039,datasets/protocolo_c/v2ah_safe_tcc_export_registry.csv,non_versionable_path_marker,0,PASS,none,Fail-closed scan over v2ai and v2ah outputs.
GR_v2ai_00040,datasets/protocolo_c/v2ah_stratified_review_sampling.csv,forbidden_true_flag,0,PASS,none,Fail-closed scan over v2ai and v2ah outputs.
GR_v2ai_00041,datasets/protocolo_c/v2ah_stratified_review_sampling.csv,forbidden_promotion_status,0,PASS,none,Fail-closed scan over v2ai and v2ah outputs.
GR_v2ai_00042,datasets/protocolo_c/v2ah_stratified_review_sampling.csv,fake_human_review_timestamp,0,PASS,none,Fail-closed scan over v2ai and v2ah outputs.
GR_v2ai_00043,datasets/protocolo_c/v2ah_stratified_review_sampling.csv,absolute_path,0,PASS,none,Fail-closed scan over v2ai and v2ah outputs.
GR_v2ai_00044,datasets/protocolo_c/v2ah_stratified_review_sampling.csv,non_versionable_path_marker,0,PASS,none,Fail-closed scan over v2ai and v2ah outputs.
GR_v2ai_00045,datasets/protocolo_c/v2ai_adjudication_queue.csv,forbidden_true_flag,0,PASS,none,Fail-closed scan over v2ai and v2ah outputs.
GR_v2ai_00046,datasets/protocolo_c/v2ai_adjudication_queue.csv,forbidden_promotion_status,0,PASS,none,Fail-closed scan over v2ai and v2ah outputs.
GR_v2ai_00047,datasets/protocolo_c/v2ai_adjudication_queue.csv,fake_human_review_timestamp,0,PASS,none,Fail-closed scan over v2ai and v2ah outputs.
GR_v2ai_00048,datasets/protocolo_c/v2ai_adjudication_queue.csv,absolute_path,0,PASS,none,Fail-closed scan over v2ai and v2ah outputs.
GR_v2ai_00049,datasets/protocolo_c/v2ai_adjudication_queue.csv,non_versionable_path_marker,0,PASS,none,Fail-closed scan over v2ai and v2ah outputs.
GR_v2ai_00050,datasets/protocolo_c/v2ai_review_assignment_registry.csv,forbidden_true_flag,0,PASS,none,Fail-closed scan over v2ai and v2ah outputs.
GR_v2ai_00051,datasets/protocolo_c/v2ai_review_assignment_registry.csv,forbidden_promotion_status,0,PASS,none,Fail-closed scan over v2ai and v2ah outputs.
GR_v2ai_00052,datasets/protocolo_c/v2ai_review_assignment_registry.csv,fake_human_review_timestamp,0,PASS,none,Fail-closed scan over v2ai and v2ah outputs.
GR_v2ai_00053,datasets/protocolo_c/v2ai_review_assignment_registry.csv,absolute_path,0,PASS,none,Fail-closed scan over v2ai and v2ah outputs.
GR_v2ai_00054,datasets/protocolo_c/v2ai_review_assignment_registry.csv,non_versionable_path_marker,0,PASS,none,Fail-closed scan over v2ai and v2ah outputs.
GR_v2ai_00055,datasets/protocolo_c/v2ai_review_outcome_registry.csv,forbidden_true_flag,0,PASS,none,Fail-closed scan over v2ai and v2ah outputs.
GR_v2ai_00056,datasets/protocolo_c/v2ai_review_outcome_registry.csv,forbidden_promotion_status,0,PASS,none,Fail-closed scan over v2ai and v2ah outputs.
GR_v2ai_00057,datasets/protocolo_c/v2ai_review_outcome_registry.csv,fake_human_review_timestamp,0,PASS,none,Fail-closed scan over v2ai and v2ah outputs.
GR_v2ai_00058,datasets/protocolo_c/v2ai_review_outcome_registry.csv,absolute_path,0,PASS,none,Fail-closed scan over v2ai and v2ah outputs.
GR_v2ai_00059,datasets/protocolo_c/v2ai_review_outcome_registry.csv,non_versionable_path_marker,0,PASS,none,Fail-closed scan over v2ai and v2ah outputs.
GR_v2ai_00060,datasets/protocolo_c/v2ai_reviewer_decision_template.csv,forbidden_true_flag,0,PASS,none,Fail-closed scan over v2ai and v2ah outputs.
GR_v2ai_00061,datasets/protocolo_c/v2ai_reviewer_decision_template.csv,forbidden_promotion_status,0,PASS,none,Fail-closed scan over v2ai and v2ah outputs.
GR_v2ai_00062,datasets/protocolo_c/v2ai_reviewer_decision_template.csv,fake_human_review_timestamp,0,PASS,none,Fail-closed scan over v2ai and v2ah outputs.
GR_v2ai_00063,datasets/protocolo_c/v2ai_reviewer_decision_template.csv,absolute_path,0,PASS,none,Fail-closed scan over v2ai and v2ah outputs.
GR_v2ai_00064,datasets/protocolo_c/v2ai_reviewer_decision_template.csv,non_versionable_path_marker,0,PASS,none,Fail-closed scan over v2ai and v2ah outputs.
GR_v2ai_00065,datasets/protocolo_c/v2ai_safe_promotion_blockers.csv,forbidden_true_flag,0,PASS,none,Fail-closed scan over v2ai and v2ah outputs.
GR_v2ai_00066,datasets/protocolo_c/v2ai_safe_promotion_blockers.csv,forbidden_promotion_status,0,PASS,none,Fail-closed scan over v2ai and v2ah outputs.
GR_v2ai_00067,datasets/protocolo_c/v2ai_safe_promotion_blockers.csv,fake_human_review_timestamp,0,PASS,none,Fail-closed scan over v2ai and v2ah outputs.
GR_v2ai_00068,datasets/protocolo_c/v2ai_safe_promotion_blockers.csv,absolute_path,0,PASS,none,Fail-closed scan over v2ai and v2ah outputs.
GR_v2ai_00069,datasets/protocolo_c/v2ai_safe_promotion_blockers.csv,non_versionable_path_marker,0,PASS,none,Fail-closed scan over v2ai and v2ah outputs.
GR_v2ai_00070,datasets/protocolo_c/v2ai_uncertainty_registry.csv,forbidden_true_flag,0,PASS,none,Fail-closed scan over v2ai and v2ah outputs.
GR_v2ai_00071,datasets/protocolo_c/v2ai_uncertainty_registry.csv,forbidden_promotion_status,0,PASS,none,Fail-closed scan over v2ai and v2ah outputs.
GR_v2ai_00072,datasets/protocolo_c/v2ai_uncertainty_registry.csv,fake_human_review_timestamp,0,PASS,none,Fail-closed scan over v2ai and v2ah outputs.
GR_v2ai_00073,datasets/protocolo_c/v2ai_uncertainty_registry.csv,absolute_path,0,PASS,none,Fail-closed scan over v2ai and v2ah outputs.
GR_v2ai_00074,datasets/protocolo_c/v2ai_uncertainty_registry.csv,non_versionable_path_marker,0,PASS,none,Fail-closed scan over v2ai and v2ah outputs.
