"Regional";"Ano";"Mês";"Data";"Ocorrencia";"Solicitacao";"Endereco";"Bairro";"Localidade";"Grau_de_Risco";"Data_da_Acao";"Tipo_da_Acao";"Quantidade";"Altura";"Largura";"Area_m"
"2022";"Maio";"2022-05-25";"Deslizamentos de Barreiras";"Vistoria";"""Rua Sacambu";" `=-[""";"Nova Descoberta";"Alto do Refugio";"R4";"2022-05-25";"Atendimento Social";"";"";"";"0"
"2022";"Maio";"2022-05-25";"Deslizamentos de Barreiras";"Vistoria";"""Rua Sacambu";" #$[""";"Nova Descoberta";"Alto do Refugio";"R4";"2022-05-25";"Atendimento Social";"";"";"";"0"
"2022";"Maio";"2022-05-25";"Deslizamentos de Barreiras";"Vistoria";"""Rua Sacambu";" .[?""";"Nova Descoberta";"Alto do Refugio";"R4";"2022-05-25";"Atendimento Social";"";"";"";"0"
"2022";"Maio";"2022-05-25";"Deslizamentos de Barreiras";"Vistoria";"""Rua Sacambu";" #_|/""";"Nova Descoberta";"Alto do Refugio";"R4";"2022-05-25";"Atendimento Social";"";"";"";"0"
"2022";"Maio";"2022-05-25";"Desabamento Parcial Imveis";"Vistoria";"""Rua Santa Clara";" @}>""";"Passarinho";"Corrego Santa Tereza";"R2";"2022-05-25";"Atendimento Social";"";"";"";"0"
"2022";"Maio";"2022-05-25";"Desabamento Parcial Imveis";"Vistoria";"""Rua Santa Clara";" 9<-%""";"Passarinho";"Corrego Santa Tereza";"R3";"2022-05-25";"Atendimento Social";"";"";"";"0"
"2022";"Maio";"2022-05-25";"Desabamento Parcial Imveis";"Vistoria";"""Rua Santa Clara";" %$<!""";"Passarinho";"Corrego Santa Tereza";"R4";"2022-05-25";"Atendimento Social";"";"";"";"0"
"2022";"Maio";"2022-05-25";"Deslizamentos de Barreiras";"Vistoria";"""Rua Santa Clara";" .<^&""";"Passarinho";"Corrego Santa Tereza";"R3";"2022-05-25";"Atendimento Social";"";"";"";"0"
"2022";"Maio";"2022-05-25";"Deslizamentos de Barreiras";"Vistoria";"""Rua Santa Clara";" ^[{""";"Passarinho";"Corrego Santa Tereza";"R3";"2022-05-25";"Atendimento Social";"";"";"";"0"
"2022";"Maio";"2022-05-25";"Deslizamentos de Barreiras";"Vistoria";"""Rua Santa Clara";" {})!""";"Passarinho";"Corrego Santa Tereza";"R2";"2022-05-25";"Atendimento Social";"";"";"";"0"
"2022";"Maio";"2022-05-25";"Deslizamentos de Barreiras";"Vistoria";"""Rua Corrego Santa Tereza";" #^>""";"Passarinho";"Corrego Santa Tereza";"R4";"2022-05-25";"Atendimento Social";"";"";"";"0"
"2022";"Maio";"2022-05-25";"Deslizamentos de Barreiras";"Vistoria";"""Rua Sacambu";" +?""""]""";"Nova Descoberta";"Alto do Refugio";"R4";"2022-05-25";"Atendimento Social";"";"";"";"0"
"2022";"Maio";"2022-05-25";"Deslizamentos de Barreiras";"Vistoria";"""Rua Sacambu";" """"#*9""";"Nova Descoberta";"Alto do Refugio";"R4";"2022-05-25";"Atendimento Social";"";"";"";"0"
"2022";"Maio";"2022-05-24";"";"Monitoramento";"""Rua Bom Repouso";" #_|/""";"Varzea";"Barreiras";"R3";"2022-05-24";"Mapeamento de Area de Risco";"";"";"";"0"
"2022";"Maio";"2022-05-24";"";"Monitoramento";"""Rua Bom Repouso";" .[?""";"Varzea";"Barreiras";"R3";"2022-05-24";"Mapeamento de Area de Risco";"";"";"";"0"
"2022";"Maio";"2022-05-24";"";"Monitoramento";"""Rua Bom Repouso";" #$[""";"Varzea";"Barreiras";"R3";"2022-05-24";"Mapeamento de Area de Risco";"";"";"";"0"
"2022";"Maio";"2022-05-24";"";"Monitoramento";"""Rua Bom Repouso";" `=-[""";"Varzea";"Barreiras";"R3";"2022-05-24";"Mapeamento de Area de Risco";"";"";"";"0"
"2022";"Maio";"2022-05-24";"";"Monitoramento";"""Rua Bom Repouso";" ?_$.""";"Varzea";"Barreiras";"R3";"2022-05-24";"Mapeamento de Area de Risco";"";"";"";"0"
"2022";"Maio";"2022-05-24";"";"Monitoramento";"""Rua Bom Repouso";" >#'\""";"Varzea";"Barreiras";"R3";"2022-05-24";"Mapeamento de Area de Risco";"";"";"";"0"
"2022";"Maio";"2022-05-24";"";"Monitoramento";"""Rua Bom Repouso";" $!>=""";"Varzea";"Barreiras";"R3";"2022-05-24";"Mapeamento de Area de Risco";"";"";"";"0"
"2022";"Maio";"2022-05-24";"";"Monitoramento";"""Rua Bom Repouso";" @}>""";"Varzea";"Barreiras";"R3";"2022-05-24";"Mapeamento de Area de Risco";"";"";"";"0"
"2022";"Maio";"2022-05-24";"";"Monitoramento";"""Rua Bom Repouso";" 9<-%""";"Varzea";"Barreiras";"R3";"2022-05-24";"Mapeamento de Area de Risco";"";"";"";"0"
"2022";"Maio";"2022-05-24";"";"Monitoramento";"""Rua Bom Repouso";" %$<!""";"Varzea";"Barreiras";"R3";"2022-05-24";"Mapeamento de Area de Risco";"";"";"";"0"
"2022";"Maio";"2022-05-24";"";"Monitoramento";"""Rua Bom Repouso";" .<^&""";"Varzea";"Barreiras";"R2";"2022-05-24";"Mapeamento de Area de Risco";"";"";"";"0"
"2022";"Maio";"2022-05-24";"";"Monitoramento";"""Rua Bom Repouso";" ^[{""";"Varzea";"Barreiras";"R2";"2022-05-24";"Mapeamento de Area de Risco";"";"";"";"0"
"2022";"Maio";"2022-05-24";"";"Monitoramento";"""Rua Bom Repouso";" {})!""";"Varzea";"Barreiras";"R2";"2022-05-24";"Mapeamento de Area de Risco";"";"";"";"0"
"2022";"Maio";"2022-05-24";"";"Monitoramento";"""Rua Bom Repouso";" #^>""";"Varzea";"Barreiras";"R2";"2022-05-24";"Mapeamento de Area de Risco";"";"";"";"0"
"2022";"Maio";"2022-05-24";"";"Monitoramento";"""Rua Feliz Deserto";" ~|}[""";"Varzea";"Barreiras";"R3";"2022-05-24";"Mapeamento de Area de Risco";"";"";"";"0"
"2022";"Maio";"2022-05-24";"";"Monitoramento";"""Rua Feliz Deserto";" /@9=""";"Varzea";"Barreiras";"R3";"2022-05-24";"Mapeamento de Area de Risco";"";"";"";"0"
"2022";"Maio";"2022-05-24";"";"Monitoramento";"""Rua Feliz Deserto";" #""""#~""";"Varzea";"Barreiras";"R3";"2022-05-24";"Mapeamento de Area de Risco";"";"";"";"0"
"2022";"Maio";"2022-05-24";"";"Monitoramento";"""Rua Feliz Deserto";" +?""""]""";"Varzea";"Barreiras";"R3";"2022-05-24";"Mapeamento de Area de Risco";"";"";"";"0"
"2022";"Maio";"2022-05-24";"";"Monitoramento";"""Rua Feliz Deserto";" """"#*9""";"Varzea";"Barreiras";"R3";"2022-05-24";"Mapeamento de Area de Risco";"";"";"";"0"
"2022";"Maio";"2022-05-24";"";"Monitoramento";"""Rua Feliz Deserto";" #_|/""";"Varzea";"Barreiras";"R2";"2022-05-24";"Mapeamento de Area de Risco";"";"";"";"0"
"2022";"Maio";"2022-05-24";"";"Monitoramento";"""Rua Feliz Deserto";" .[?""";"Varzea";"Barreiras";"R2";"2022-05-24";"Mapeamento de Area de Risco";"";"";"";"0"
"2022";"Maio";"2022-05-24";"";"Monitoramento";"""Rua Feliz Deserto";" #$[""";"Varzea";"Barreiras";"R2";"2022-05-24";"Mapeamento de Area de Risco";"";"";"";"0"
"2022";"Maio";"2022-05-24";"";"Monitoramento";"""Rua Feliz Deserto";" `=-[""";"Varzea";"Barreiras";"R2";"2022-05-24";"Mapeamento de Area de Risco";"";"";"";"0"
"2022";"Maio";"2022-05-24";"";"Monitoramento";"""Rua Feliz Deserto";" ?_$.""";"Varzea";"Barreiras";"R2";"2022-05-24";"Mapeamento de Area de Risco";"";"";"";"0"
"2022";"Maio";"2022-05-24";"";"Monitoramento";"""Rua Feliz Deserto";" >#'\""";"Varzea";"Barreiras";"R2";"2022-05-24";"Mapeamento de Area de Risco";"";"";"";"0"
"2022";"Maio";"2022-05-24";"";"Monitoramento";"""Rua Bom Repouso";" """"#*9""";"Varzea";"Barreiras";"R3";"2022-05-24";"Mapeamento de Area de Risco";"";"";"";"0"
"2022";"Maio";"2022-05-24";"";"Monitoramento";"""Rua Bom Repouso";" +?""""]""";"Varzea";"Barreiras";"R2";"2022-05-24";"Mapeamento de Area de Risco";"";"";"";"0"
"2022";"Maio";"2022-05-24";"";"Monitoramento";"""Rua Bom Repouso";" #""""#~""";"Varzea";"Barreiras";"R2";"2022-05-24";"Mapeamento de Area de Risco";"";"";"";"0"
"2022";"Maio";"2022-05-24";"";"Monitoramento";"""Rua Bom Repouso";" /@9=""";"Varzea";"Barreiras";"R2";"2022-05-24";"Mapeamento de Area de Risco";"";"";"";"0"
"2022";"Maio";"2022-05-24";"";"Monitoramento";"""Rua Feliz Deserto";" $!>=""";"Varzea";"Barreiras";"R3";"2022-05-24";"Mapeamento de Area de Risco";"";"";"";"0"
"2022";"Maio";"2022-05-24";"";"Monitoramento";"""Rua Bom Repouso";" %$<!""";"Varzea";"Barreiras";"R2";"2022-05-24";"Mapeamento de Area de Risco";"";"";"";"0"
"2022";"Maio";"2022-05-24";"";"Monitoramento";"""Rua Bom Repouso";" .<^&""";"Varzea";"Barreiras";"R2";"2022-05-24";"Mapeamento de Area de Risco";"";"";"";"0"
"2022";"Maio";"2022-05-24";"";"Monitoramento";"""Rua Bom Repouso";" ^[{""";"Varzea";"Barreiras";"R2";"2022-05-24";"Mapeamento de Area de Risco";"";"";"";"0"
"2022";"Maio";"2022-05-24";"";"Monitoramento";"""Rua Bom Repouso";" {})!""";"Varzea";"Barreiras";"R2";"2022-05-24";"Mapeamento de Area de Risco";"";"";"";"0"
"2022";"Maio";"2022-05-24";"";"Monitoramento";"""Rua Bom Repouso";" #^>""";"Varzea";"Barreiras";"R2";"2022-05-24";"Mapeamento de Area de Risco";"";"";"";"0"
"2022";"Maio";"2022-05-24";"";"Monitoramento";"""Rua Bom Repouso";" ~|}[""";"Varzea";"Barreiras";"R2";"2022-05-24";"Mapeamento de Area de Risco";"";"";"";"0"
"2022";"Maio";"2022-05-24";"";"Monitoramento";"""Rua Feliz Deserto";" @}>""";"Varzea";"Barreiras";"R3";"2022-05-24";"Mapeamento de Area de Risco";"";"";"";"0"
"2022";"Maio";"2022-05-24";"";"Monitoramento";"""Rua Feliz Deserto";" 9<-%""";"Varzea";"Barreiras";"R2";"2022-05-24";"Mapeamento de Area de Risco";"";"";"";"0"
"2022";"Maio";"2022-05-24";"";"Monitoramento";"""Rua Feliz Deserto";" %$<!""";"Varzea";"Barreiras";"R2";"2022-05-24";"Mapeamento de Area de Risco";"";"";"";"0"
"2022";"Maio";"2022-05-24";"Desabamento Parcial Imveis";"Vistoria";"""Rua Apinages";" +?""""]""";"Agua Fria";"Corrego do Deodato";"R3";"2022-05-24";"Orientado a Sair do Imovel em Caso de Chuva";"";"";"";"0"
"2022";"Maio";"2022-05-24";"";"Vistoria";"""Rua das Barreiras";" """"#*9""";"Agua Fria";"Alto do Pascoal";"R3";"2022-05-24";"Orientado a Sair do Imovel em Caso de Chuva";"";"";"";"0"
"2022";"Maio";"2022-05-24";"";"";"""Rua Pacote de Mel";" .[?""";"Varzea";"Barreiras";"";"2022-05-24";"Rocagem";"1.0";"10.0";"8.0";"80"
"2022";"Maio";"2022-05-24";"";"";"""Rua Bom Repouso";" #""""#~""";"Varzea";"Barreiras";"";"2022-05-24";"Acoes de Porta-Porta";"";"";"";"0"
"2022";"Maio";"2022-05-24";"";"";"""Rua Bom Repouso";" +?""""]""";"Varzea";"Barreiras";"";"2022-05-24";"Acoes de Porta-Porta";"";"";"";"0"
"2022";"Maio";"2022-05-24";"";"";"""Rua Bom Repouso";" """"#*9""";"Varzea";"Barreiras";"";"2022-05-24";"Acoes de Porta-Porta";"";"";"";"0"
"2022";"Maio";"2022-05-24";"";"";"""Rua Bom Repouso";" #_|/""";"Varzea";"Barreiras";"";"2022-05-24";"Acoes de Porta-Porta";"";"";"";"0"
"2022";"Maio";"2022-05-24";"";"";"""Rua Bom Repouso";" .[?""";"Varzea";"Barreiras";"";"2022-05-24";"Acoes de Porta-Porta";"";"";"";"0"
"2022";"Maio";"2022-05-24";"";"";"""Rua Bom Repouso";" #$[""";"Varzea";"Barreiras";"";"2022-05-24";"Acoes de Porta-Porta";"";"";"";"0"
"2022";"Maio";"2022-05-24";"";"";"""Rua Feliz Deserto";" `=-[""";"Varzea";"Barreiras";"";"2022-05-24";"Acoes de Porta-Porta";"";"";"";"0"
"2022";"Maio";"2022-05-24";"";"";"""Rua Feliz Deserto";" ?_$.""";"Varzea";"Barreiras";"";"2022-05-24";"Acoes de Porta-Porta";"";"";"";"0"
"2022";"Maio";"2022-05-24";"";"";"""Rua Feliz Deserto";" >#'\""";"Varzea";"Barreiras";"";"2022-05-24";"Acoes de Porta-Porta";"";"";"";"0"
"2022";"Maio";"2022-05-24";"";"";"""Rua Feliz Deserto";" $!>=""";"Varzea";"Barreiras";"";"2022-05-24";"Acoes de Porta-Porta";"";"";"";"0"
"2022";"Maio";"2022-05-24";"";"";"""Rua Feliz Deserto";" @}>""";"Varzea";"Barreiras";"";"2022-05-24";"Acoes de Porta-Porta";"";"";"";"0"
"2022";"Maio";"2022-05-24";"";"";"""Rua Feliz Deserto";" 9<-%""";"Varzea";"Barreiras";"";"2022-05-24";"Acoes de Porta-Porta";"";"";"";"0"
"2022";"Maio";"2022-05-24";"";"";"""Rua Bom Repouso";" /@9=""";"Varzea";"Barreiras";"";"2022-05-24";"Acoes de Porta-Porta";"";"";"";"0"
"2022";"Maio";"2022-05-24";"";"";"""Rua Feliz Deserto";" %$<!""";"Varzea";"Barreiras";"";"2022-05-24";"Acoes de Porta-Porta";"";"";"";"0"
"2022";"Maio";"2022-05-24";"";"";"""Rua Feliz Deserto";" ^[{""";"Varzea";"Barreiras";"";"2022-05-24";"Acoes de Porta-Porta";"";"";"";"0"
"2022";"Maio";"2022-05-24";"";"";"""Rua Feliz Deserto";" {})!""";"Varzea";"Barreiras";"";"2022-05-24";"Acoes de Porta-Porta";"";"";"";"0"
"2022";"Maio";"2022-05-24";"";"";"""Rua Feliz Deserto";" #^>""";"Varzea";"Barreiras";"";"2022-05-24";"Acoes de Porta-Porta";"";"";"";"0"
"2022";"Maio";"2022-05-24";"";"";"""Rua Feliz Deserto";" ~|}[""";"Varzea";"Barreiras";"";"2022-05-24";"Acoes de Porta-Porta";"";"";"";"0"
"2022";"Maio";"2022-05-24";"";"";"""Rua Feliz Deserto";" /@9=""";"Varzea";"Barreiras";"";"2022-05-24";"Acoes de Porta-Porta";"";"";"";"0"
"2022";"Maio";"2022-05-24";"";"";"""Rua Feliz Deserto";" #""""#~""";"Varzea";"Barreiras";"";"2022-05-24";"Acoes de Porta-Porta";"";"";"";"0"
"2022";"Maio";"2022-05-24";"";"";"""Rua Feliz Deserto";" +?""""]""";"Varzea";"Barreiras";"";"2022-05-24";"Acoes de Porta-Porta";"";"";"";"0"
"2022";"Maio";"2022-05-24";"";"Colocao de Lonas Plsticas";"""Rua Pacote de Mel";" #_|/""";"Varzea";"Barreiras";"";"2022-05-24";"";"4.0";"20.0";"8.0";"640"
"2022";"Maio";"2022-05-24";"";"Colocao de Lonas Plsticas";"""Rua Satuba";" .[?""";"Varzea";"Barreiras";"";"2022-05-24";"";"1.0";"20.0";"8.0";"160"
"2022";"Maio";"2022-05-24";"";"";"""Rua Feliz Deserto";" .<^&""";"Varzea";"Barreiras";"";"2022-05-24";"Acoes de Porta-Porta";"";"";"";"0"
"2022";"Maio";"2022-05-24";"";"";"""Rua Bom Repouso";" ~|}[""";"Varzea";"Barreiras";"";"2022-05-24";"Acoes de Porta-Porta";"";"";"";"0"
"2022";"Maio";"2022-05-24";"";"";"""Rua Bom Repouso";" {})!""";"Varzea";"Barreiras";"";"2022-05-24";"Acoes de Porta-Porta";"";"";"";"0"
"2022";"Maio";"2022-05-24";"";"";"""Rua Bom Repouso";" #^>""";"Varzea";"Barreiras";"";"2022-05-24";"Acoes de Porta-Porta";"";"";"";"0"
"2022";"Maio";"2022-05-24";"";"";"""Rua Bom Repouso";" +?""""]""";"Varzea";"Barreiras";"";"2022-05-24";"Acoes de Porta-Porta";"";"";"";"0"
"2022";"Maio";"2022-05-24";"";"";"""Rua Bom Repouso";" #_|/""";"Varzea";"Barreiras";"";"2022-05-24";"Acoes de Porta-Porta";"";"";"";"0"
"2022";"Maio";"2022-05-24";"";"";"""Rua Bom Repouso";" .[?""";"Varzea";"Barreiras";"";"2022-05-24";"Acoes de Porta-Porta";"";"";"";"0"
"2022";"Maio";"2022-05-24";"";"";"""Rua Bom Repouso";" #$[""";"Varzea";"Barreiras";"";"2022-05-24";"Acoes de Porta-Porta";"";"";"";"0"
"2022";"Maio";"2022-05-24";"";"";"""Rua Bom Repouso";" `=-[""";"Varzea";"Barreiras";"";"2022-05-24";"Acoes de Porta-Porta";"";"";"";"0"
"2022";"Maio";"2022-05-24";"";"";"""Rua Bom Repouso";" ?_$.""";"Varzea";"Barreiras";"";"2022-05-24";"Acoes de Porta-Porta";"";"";"";"0"
"2022";"Maio";"2022-05-24";"";"";"""Rua Bom Repouso";" >#'\""";"Varzea";"Barreiras";"";"2022-05-24";"Acoes de Porta-Porta";"";"";"";"0"
"2022";"Maio";"2022-05-24";"";"";"""Rua Bom Repouso";" $!>=""";"Varzea";"Barreiras";"";"2022-05-24";"Acoes de Porta-Porta";"";"";"";"0"
"2022";"Maio";"2022-05-24";"";"";"""Rua Bom Repouso";" @}>""";"Varzea";"Barreiras";"";"2022-05-24";"Acoes de Porta-Porta";"";"";"";"0"
"2022";"Maio";"2022-05-24";"";"";"""Rua Bom Repouso";" 9<-%""";"Varzea";"Barreiras";"";"2022-05-24";"Acoes de Porta-Porta";"";"";"";"0"
"2022";"Maio";"2022-05-24";"";"";"""Rua Bom Repouso";" %$<!""";"Varzea";"Barreiras";"";"2022-05-24";"Acoes de Porta-Porta";"";"";"";"0"
"2022";"Maio";"2022-05-24";"";"";"""Rua Bom Repouso";" .<^&""";"Varzea";"Barreiras";"";"2022-05-24";"Acoes de Porta-Porta";"";"";"";"0"
"2022";"Maio";"2022-05-24";"";"";"""Rua Bom Repouso";" ^[{""";"Varzea";"Barreiras";"";"2022-05-24";"Acoes de Porta-Porta";"";"";"";"0"
"2022";"Maio";"2022-05-24";"";"";"""Rua Bom Repouso";" """"#*9""";"Varzea";"Barreiras";"";"2022-05-24";"Acoes de Porta-Porta";"";"";"";"0"
"2022";"Maio";"2022-05-25";"Imveis Alagados";"Monitoramento Alagado";"""Vila Vintem";" $!>=""";"Linha do Tiro";"Sem Localidade";"";"2022-05-25";"Mapeamento de Area de Risco";"";"";"";"0"
"2022";"Maio";"2022-05-25";"Imveis Alagados";"Monitoramento Alagado";"""Rua Pe Henrique";" 9<-%""";"Varzea";"Sem Localidade";"";"2022-05-25";"Mapeamento de Area de Risco";"";"";"";"0"
"2022";"Maio";"2022-05-25";"Deslizamentos de Barreiras";"";"""Rua Porto Nacional";" /@9=""";"Cohab";"Ur 01";"";"2022-05-25";"Mapeamento de Area de Risco";"";"";"";"0"
"2022";"Maio";"2022-05-25";"Deslizamentos de Barreiras";"Monitoramento";"""Travessa Padre Henrique";" .[?""";"Barro";"Parque dos Milagres";"R3";"2022-05-25";"Analise Visual Estrutural";"";"";"";"0"
"2022";"Maio";"2022-05-25";"Deslizamentos de Barreiras";"Vistoria";"""Rua Pelopidas Arrouxelas Galvao";" `=-[""";"Varzea";"Jardim Teresopolis";"R3";"2022-05-25";"Encaminhar para Rocagem";"";"";"";"0"
"2022";"Maio";"2022-05-25";"Deslizamentos de Barreiras";"Monitoramento";"""Rua Elexenadre de Souza Neves";" ?_$.""";"Barro";"Parque dos Milagres";"R3";"2022-05-25";"Analise Visual Estrutural";"";"";"";"0"
"2022";"Maio";"2022-05-25";"Imveis Alagados";"Monitoramento Alagado";"""Rua Cantora Clara Nunes";" """"#*9""";"Cajueiro";"Nao Cadastrada";"";"2022-05-25";"Mapeamento de Area de Risco";"";"";"";"0"
"2022";"Maio";"2022-05-25";"Imveis Alagados";"Monitoramento Alagado";"""Rua Nadia";" #_|/""";"Campina do Barreto";"Nao Cadastrada";"";"2022-05-25";"Mapeamento de Area de Risco";"";"";"";"0"
"2022";"Maio";"2022-05-25";"Imveis Alagados";"Monitoramento Alagado";"""Rua Torres Homem";" .[?""";"Varzea";"Nao Cadastrada";"";"2022-05-25";"Mapeamento de Area de Risco";"";"";"";"0"
"2022";"Maio";"2022-05-25";"Imveis Alagados";"Monitoramento Alagado";"""Rua Guarani";" #$[""";"Caxanga";"Nao Cadastrada";"";"2022-05-25";"Mapeamento de Area de Risco";"";"";"";"0"
"2022";"Maio";"2022-05-25";"Imveis Alagados";"Monitoramento Alagado";"""Comunidade Cortico Coripos";" `=-[""";"Coqueiral";"Nao Cadastrada";"";"2022-05-25";"Mapeamento de Area de Risco";"";"";"";"0"
"2022";"Maio";"2022-05-25";"Imveis Alagados";"Monitoramento Alagado";"""Comunidade Rio Morno";" ?_$.""";"Beberibe";"Nao Cadastrada";"";"2022-05-25";"Mapeamento de Area de Risco";"";"";"";"0"
"2022";"Maio";"2022-05-25";"Imveis Alagados";"Monitoramento Alagado";"""Beco do Oleo Vila Arraes";" >#'\""";"Varzea";"Nao Cadastrada";"";"2022-05-25";"Mapeamento de Area de Risco";"";"";"";"0"
"2022";"Maio";"2022-05-23";"Imveis Alagados";"Vistoria em Imveis";"""Avenida Republica do Libano";" @}>""";"Pina";"Sem Localidade";"";"2022-05-25";"Analise Visual Estrutural";"";"";"";"0"
"2022";"Maio";"2022-05-25";"Deslizamentos de Barreiras";"Vistoria";"""1 Travessa da Rua Engenho Titara N158";" 9<-%""";"Barro";"Vila dos Milagres";"R3";"2022-05-25";"Analise Visual Estrutural";"";"";"";"0"
"2022";"Maio";"2022-05-25";"Deslizamentos de Barreiras";"Monitoramento";"""1 Travessa da Rua Engenho Titara";" ^[{""";"Barro";"Vila dos Milagres";"R3";"2022-05-25";"Analise Visual Estrutural";"";"";"";"0"
"2022";"Maio";"2022-05-25";"Deslizamentos de Barreiras";"";"""Rua Monte Pascoal";" #^>""";"Cohab";"Jardim Monte Verde";"";"2022-05-25";"Encaminhamento de Corte de Arvores";"";"";"";"0"
"2022";"Maio";"2022-05-25";"Deslizamentos de Barreiras";"";"""Rua Patrocinador";" .[?""";"Cohab";"Ur 02";"";"2022-05-25";"Encaminhamentos aos Parceiros";"";"";"";"0"
"2022";"Maio";"2022-05-25";"Deslizamentos de Barreiras";"Vistoria";"""1 Travessa da Rua Engenho Titara";" .<^&""";"Barro";"Vila dos Milagres";"R3";"2022-05-25";"Orientado a Sair do Imovel em Caso de Chuva";"";"";"";"0"
"2022";"Maio";"2022-05-25";"Deslizamentos de Barreiras";"Vistoria";"""Rua Monte Pascoal";" /@9=""";"Cohab";"Jardim Monte Verde";"R3";"2022-05-25";"Analise Visual Estrutural";"";"";"";"0"
"2022";"Maio";"2022-05-25";"Imveis com Danos / Risco";"Vistoria Setor Alagado";"""Rua Torres Homem";" .<^&""";"Varzea";"Sem Localidade";"";"2022-05-25";"Analise Visual Estrutural";"";"";"";"0"
"2022";"Maio";"2022-05-25";"Imveis com Danos / Risco";"Vistoria Setor Alagado";"""Rua Torres Homem";" ^[{""";"Varzea";"Sem Localidade";"";"2022-05-25";"Analise Visual Estrutural";"";"";"";"0"
"2022";"Maio";"2022-05-25";"Imveis com Danos / Risco";"Vistoria Setor Alagado";"""Rua Torres Homem";" {})!""";"Varzea";"Sem Localidade";"";"2022-05-25";"Analise Visual Estrutural";"";"";"";"0"
"2022";"Maio";"2022-05-25";"Imveis com Danos / Risco";"Vistoria Setor Alagado";"""Rua Torres Homem";" #^>""";"Varzea";"Sem Localidade";"";"2022-05-25";"Analise Visual Estrutural";"";"";"";"0"
"2022";"Maio";"2022-05-25";"Imveis com Danos / Risco";"Vistoria Setor Alagado";"""Rua Pe Henrique";" ~|}[""";"Varzea";"Sem Localidade";"";"2022-05-25";"Analise Visual Estrutural";"";"";"";"0"
"2022";"Maio";"2022-05-25";"Imveis com Danos / Risco";"Vistoria Setor Alagado";"""Rua Pe Henrique";" /@9=""";"Varzea";"Sem Localidade";"";"2022-05-25";"Analise Visual Estrutural";"";"";"";"0"
"2022";"Maio";"2022-05-25";"Deslizamentos de Barreiras";"Vistoria";"""Rua Sao Domingos Savio";" #$[""";"Alto Jose Bonifacio ";"Corrego Sao Domingos Savio";"R3";"2022-05-25";"Notificacao de Situacao de Risco";"";"";"";"0"
"2022";"Maio";"2022-05-25";"Deslizamentos de Barreiras";"Vistoria";"""Rua da Tapa";" >#'\""";"Alto Jose Bonifacio ";"Alto Jose Bonifacio";"R3";"2022-05-25";"Orientado a Sair do Imovel em Caso de Chuva";"";"";"";"0"
"2022";"Maio";"2022-05-25";"Deslizamentos de Barreiras";"Vistoria";"""Alto Jardim Progresso";" .[?""";"Nova Descoberta";"Alto Jardim Progresso";"R3";"2022-05-25";"Orientado a Sair do Imovel em Caso de Chuva";"";"";"";"0"
"2022";"Maio";"2022-05-25";"Desabamento Parcial Imveis";"Vistoria";"""Rua Corrego do Sargento";" {})!""";"Linha do Tiro";"Corrego do Sargento";"R4";"2022-05-25";"";"";"";"";"0"
"2022";"Maio";"2022-05-25";"Deslizamentos de Barreiras";"Vistoria";"""Rua Tapuiara";" @}>""";"Cajueiro";"Alto do Miramar";"R3";"2022-05-25";"";"";"";"";"0"
"2022";"Maio";"2022-05-25";"Deslizamentos de Barreiras";"Vistoria";"""Rua Engenheiro Celi de Carli";" 9<-%""";"Dois Unidos";"Alto do Rosario";"R3";"2022-05-25";"";"";"";"";"0"
"2022";"Maio";"2022-05-25";"Deslizamentos de Barreiras";"Vistoria";"""Rua Engenheiro Celi de Carli";" %$<!""";"Dois Unidos";"Alto do Rosario";"R3";"2022-05-25";"Orientado a Sair do Imovel em Caso de Chuva";"";"";"";"0"
"2022";"Maio";"2022-05-25";"Deslizamentos de Barreiras";"Vistoria";"""Rua dos Anjos";" .<^&""";"Agua Fria";"Corrego Sao Sebastiao";"R3";"2022-05-25";"";"";"";"";"0"
"2022";"Maio";"2022-05-25";"Desabamento Parcial de Obras de Conteno / Drenagem";"Vistoria";"""Rua Ananias";" ^[{""";"Agua Fria";"Corrego Sao Sebastiao";"R3";"2022-05-25";"Orientado a Sair do Imovel em Caso de Chuva";"";"";"";"0"
"2022";"Maio";"2022-05-25";"Deslizamentos de Barreiras";"Vistoria";"""Rua Doutor Pereira da Silva";" {})!""";"Agua Fria";"Alto do Pereirinha";"R3";"2022-05-25";"Orientado a Sair do Imovel em Caso de Chuva";"";"";"";"0"
"2022";"Maio";"2022-05-25";"Desabamento Parcial Imveis";"Vistoria";"""Rua Geroncio Falcao";" #^>""";"Fundao";"Fundao";"R3";"2022-05-25";"";"";"";"";"0"
"2022";"Maio";"2022-05-25";"Deslizamentos de Barreiras";"Vistoria";"""Rua Tapuiara";" ~|}[""";"Cajueiro";"Alto do Miramar";"R3";"2022-05-25";"Encaminhar para Colocacao de Lonas";"";"";"";"0"
"2022";"Maio";"2022-05-25";"Deslizamentos de Barreiras";"Vistoria";"""Rua Tapuiara";" /@9=""";"Cajueiro";"Alto do Miramar";"R3";"2022-05-25";"Encaminhar para Colocacao de Lonas";"";"";"";"0"
"2022";"Maio";"2022-05-25";"Deslizamentos de Barreiras";"Vistoria";"""Rua Doutor Alberto Wanderley";" #""""#~""";"Fundao";"Fundao";"R3";"2022-05-25";"Encaminhar para Colocacao de Lonas";"";"";"";"0"
