path,marco,tipo,existe,versionavel_git,tamanho_bytes,sha256,descricao,incluir_no_commit
outputs_public/data/susc_18g_recuperacao_compactacao_vetorial_sar_curitiba,SUSC-18G,diretorio,true,true,34837,not_available,pasta de saidas do SUSC-18G,true
outputs_public/data/susc_18h_consolidacao_mestre_cadeia_observacional/inventario_marcos_susc_17c_18g.csv,SUSC-18H,csv,true,true,8075,92cd5773811a0edf90ec634a33e38c9d70d0df8a12377fb64bcdc5b5877c7fd0,inventario mestre dos marcos 17C a 18G,true
outputs_public/data/susc_18h_consolidacao_mestre_cadeia_observacional/linhagem_mestre_evidencia_observacional.csv,SUSC-18H,csv,true,true,7812,aede5298c996e08bf089e7de1b8dd66c138ea28caa8033af75c68ab5431d755b,linhagem mestre da evidencia observacional,true
outputs_public/data/susc_18h_consolidacao_mestre_cadeia_observacional/matriz_qualidade_evidencia.csv,SUSC-18H,csv,true,true,2539,8bd067608a6c7fcc0c02651f8f6f4da0e9468123b44abd6f1b9289e1bea35bbb,matriz de qualidade da evidencia por tier,true
outputs_public/data/susc_18h_consolidacao_mestre_cadeia_observacional/matriz_regional_recife_curitiba_petropolis.csv,SUSC-18H,csv,true,true,850,05888b6e543bc58a97fad4f51e99ac21f2fbe98b3169885dc8f9ffdfe6114ec7,"matriz regional Recife, Curitiba e Petropolis",true
outputs_public/data/susc_18h_consolidacao_mestre_cadeia_observacional/diagnostico_prontidao_17b_mestre.csv,SUSC-18H,csv,true,true,1887,630ad27b91ffddbdd4d4c0d87febc02c712eaf2a1b74ee259179197546de0801,diagnostico mestre do 17B por cenario,true
outputs_public/data/susc_18h_consolidacao_mestre_cadeia_observacional/matriz_pendencias_priorizadas.csv,SUSC-18H,csv,true,true,3489,bef4f1166fd8ec77f07f0f1f086b041219c61607eb9a9a2f61a063e2afb3923f,matriz de pendencias priorizadas,true
outputs_public/data/susc_18h_consolidacao_mestre_cadeia_observacional/plano_proximos_marcos_pos_18g.csv,SUSC-18H,csv,true,true,1406,54193dd3b47cf6db9d9235ff742e99fb9605d04a9c5801eaaecd32158c9025e6,plano dos proximos marcos pos-18G,true
outputs_public/data/susc_18h_consolidacao_mestre_cadeia_observacional/resumo_por_regiao.csv,SUSC-18H,csv,true,true,492,bf21dc7573532218246c9822a0c69b639420fdc028414f35b961486276be6a3c,resumo por regiao,true
outputs_public/data/susc_18h_consolidacao_mestre_cadeia_observacional/resumo_por_status.csv,SUSC-18H,csv,true,true,129,7982124cf52d52bf5a4ae48a93ed9560db1d45d732e4d883006ef248f12c1e56,resumo por familia de status,true
outputs_public/data/susc_18h_consolidacao_mestre_cadeia_observacional/summary.json,SUSC-18H,json,true,true,1574,46b58129e94eab3e3066aa4ef732ec63de981baeaf6bfd82c27c7d8fb36eaf15,resumo consolidado da etapa,true
outputs_public/data/susc_18h_consolidacao_mestre_cadeia_observacional/preflight.json,SUSC-18H,json,true,true,2358,06f380b3d5811ea2268a38445998df50d0ab6d51a24522aea762b797ca1ec658,estado de preflight do repositorio,true
outputs_public/data/susc_18h_consolidacao_mestre_cadeia_observacional/resumo_tecnico_para_artigo.md,SUSC-18H,md,true,true,2487,e42402cd8ac2b5214d9b599f810e2cebb04cd799f324adb7faf528faa152a401,sintese tecnica para artigo,true
outputs_public/data/susc_18h_consolidacao_mestre_cadeia_observacional/resumo_visual_para_slides.md,SUSC-18H,md,true,true,1455,32bfaef2f0d5ef242be37f7ade9ffeaebba2fe47ac4ddd3a0c392e852c64ecf3,sintese visual para apresentacao,true
outputs_public/data/susc_18h_consolidacao_mestre_cadeia_observacional/plano_commit_seletivo_pos_18g.md,SUSC-18H,md,true,true,5252,f6767d546ab3544cc99b0ceaaab4351d2fb387ecff00f2aa8ba7442978f8b1cf,plano de commit seletivo,true
outputs_public/reports/SUSC_18H_CONSOLIDACAO_MESTRE_CADEIA_OBSERVACIONAL.md,SUSC-18H,md,true,true,5066,926dc046bf779e591db7c37703c283072c9e3fe14b01adbdcb5c86ca749d6454,relatorio publico do 18H,true
schemas/suscetibilidade/susc_18h_consolidacao_mestre_schema_v1.json,SUSC-18H,json,true,true,1682,ed16500cd03083f097d4110ecfbf94c4471decaaee9259352a7d35bd3110209c,schema do 18H,true
