artifact_path,artifact_type,source_commit,row_count,schema,source_sha256,destination_sha256,expected_name_ok,schema_ok,row_count_ok,source_traceable,sha256_match,no_final_labels,no_formal_negatives,no_human_decisions_filled,ground_truth_operational_status_absent,validation_status,notes
outputs_public/tables/revp_observed_event_registry_v2dz.csv,table,cf642b9b833e09fa8bbd6390ba676f8b754ac7c4,53,observed_event_id;region;event_name;event_start_date;event_end_date;event_date_precision;source_family;source_id;source_url_or_reference;documentary_evidence_available;observed_geometry_available;observed_geometry_uri;crs;crs_known;provenance_available;hash_available;license_status;manual_review_required;registry_status;blocking_reason;allowed_claim;forbidden_claim,55cbd3758cb4b1b29f1a52eabdc4a29fe9ac911d6aaa05896205dc40b75f1adc,55cbd3758cb4b1b29f1a52eabdc4a29fe9ac911d6aaa05896205dc40b75f1adc,True,True,True,True,True,True,True,True,True,PASS,
outputs_public/tables/revp_evidence_packet_registry_v2ea.csv,table,cf642b9b833e09fa8bbd6390ba676f8b754ac7c4,53,evidence_packet_id;observed_event_id;canonical_patch_id;region;source_family;documentary_source_id;geometry_source_id;observed_geometry_uri;patch_boundary_uri;event_date_available;patch_acquisition_date_available;temporal_alignment_auditable;spatial_alignment_auditable;provenance_complete;hash_complete;license_review_complete;circularity_risk;human_review_required;packet_status;blocking_reason;allowed_claim;forbidden_claim,ccbe238f0e23d80245a40bb7d351d17fa8bd8605a49f816cbf3beef497cadbc8,ccbe238f0e23d80245a40bb7d351d17fa8bd8605a49f816cbf3beef497cadbc8,True,True,True,True,True,True,True,True,True,PASS,
outputs_public/tables/revp_patch_event_temporal_alignment_v2eb.csv,table,cf642b9b833e09fa8bbd6390ba676f8b754ac7c4,53,temporal_alignment_id;evidence_packet_id;observed_event_id;canonical_patch_id;region;event_start_date;event_end_date;patch_acquisition_date;days_from_event_start;days_from_event_end;temporal_window_class;temporal_alignment_status;requires_human_review;blocking_reason;allowed_claim;forbidden_claim,00b8d73ff945cebf5737f24cad4d41bb2ca734df8e829f3d2044320be7d8b9ff,00b8d73ff945cebf5737f24cad4d41bb2ca734df8e829f3d2044320be7d8b9ff,True,True,True,True,True,True,True,True,True,PASS,
outputs_public/tables/revp_patch_event_spatial_binding_v2ec.csv,table,cf642b9b833e09fa8bbd6390ba676f8b754ac7c4,53,spatial_binding_id;evidence_packet_id;observed_event_id;canonical_patch_id;region;observed_geometry_available;patch_boundary_available;observed_crs;patch_crs;crs_compatible;intersection_computed;candidate_intersection_area_m2;candidate_overlap_ratio;spatial_binding_status;requires_human_review;blocking_reason;allowed_claim;forbidden_claim,750f7bfa8243c87575ee07ad97fe641423bacc5d87a98b3b8d4539ae55c55dbc,750f7bfa8243c87575ee07ad97fe641423bacc5d87a98b3b8d4539ae55c55dbc,True,True,True,True,True,True,True,True,True,PASS,
outputs_public/tables/revp_human_review_queue_v2ed.csv,table,cf642b9b833e09fa8bbd6390ba676f8b754ac7c4,53,review_item_id;evidence_packet_id;observed_event_id;canonical_patch_id;region;temporal_alignment_status;spatial_binding_status;circularity_risk;review_priority;review_state;primary_reviewer_decision;secondary_reviewer_decision;adjudication_required;adjudicated_decision;decision_locked;blocking_reason;allowed_claim;forbidden_claim,d10d3db1df2d6e0fc17e556f1642e5033cf59434052f6bc9b15bdc33b93ea42c,d10d3db1df2d6e0fc17e556f1642e5033cf59434052f6bc9b15bdc33b93ea42c,True,True,True,True,True,True,True,True,True,PASS,human_decision_cells_filled=0;decision_locked_true=0
outputs_public/tables/revp_formal_label_gate_evaluator_v2ee.csv,table,cf642b9b833e09fa8bbd6390ba676f8b754ac7c4,53,label_gate_id;evidence_packet_id;observed_event_id;canonical_patch_id;region;positive_gate_closed;negative_gate_closed;unknown_gate_required;excluded_gate_required;formal_label_allowed;formal_negative_allowed;ground_truth_closure_allowed;primary_blocking_gate;all_blocking_gates;label_gate_status;allowed_claim;forbidden_claim,0edb5c1d6aefb23248d7be629dd456086dcd899900f1f124c05a4a8a7cde94b5,0edb5c1d6aefb23248d7be629dd456086dcd899900f1f124c05a4a8a7cde94b5,True,True,True,True,True,True,True,True,True,PASS,positive_gate_closed_true=0;negative_gate_closed_true=0;formal_label_allowed_true=0;formal_negative_allowed_true=0;ground_truth_closure_allowed_true=0
outputs_public/tables/revp_ground_truth_closure_dashboard_v2ef.csv,table,cf642b9b833e09fa8bbd6390ba676f8b754ac7c4,53,region;observed_event_id;canonical_patch_id;evidence_packet_status;temporal_alignment_status;spatial_binding_status;human_review_status;positive_gate_status;negative_gate_status;ground_truth_operational_status;mv1_training_impact;main_blocker;next_action;allowed_scientific_claim;forbidden_scientific_claim,29efcce578bb5f311ff7ee84d8684245fde75fc8c8be5d8cef0f9c030edfab7a,29efcce578bb5f311ff7ee84d8684245fde75fc8c8be5d8cef0f9c030edfab7a,True,True,True,True,True,True,True,True,True,PASS,ground_truth_operational_status_values=ABSENT
scripts/ground_truth/revp_v2dz_to_v2ef_common.py,script,cf642b9b833e09fa8bbd6390ba676f8b754ac7c4,,,69cefcebfd0c79774b919a08876ecb44acb443bca98828bbaad8f2ec5f0d5f77,69cefcebfd0c79774b919a08876ecb44acb443bca98828bbaad8f2ec5f0d5f77,True,True,True,True,True,True,True,True,True,PASS,
scripts/ground_truth/revp_v2dz_to_v2ef_orchestrator.py,script,cf642b9b833e09fa8bbd6390ba676f8b754ac7c4,,,b015164f7d3b54e9c6fc3a2c7a445e8567e0595caf386d6c1e247f20c3ed7c76,b015164f7d3b54e9c6fc3a2c7a445e8567e0595caf386d6c1e247f20c3ed7c76,True,True,True,True,True,True,True,True,True,PASS,
tests/test_revp_v2dz_to_v2ef_orchestrator.py,test,cf642b9b833e09fa8bbd6390ba676f8b754ac7c4,,,f5f3038d59fa712135db27549ad9a164853a9ebdebfa4331ac747c4ea2276888,f5f3038d59fa712135db27549ad9a164853a9ebdebfa4331ac747c4ea2276888,True,True,True,True,True,True,True,True,True,PASS,
