metric,value,review_only
event_patch_count,65,true
control_patch_count,38,true
unique_event_patches,62,true
unique_control_patches,38,true
mean_score_event,0.457698,true
median_score_event,0.430251,true
mean_score_control,0.608525,true
median_score_control,0.600548,true
score_diff_event_minus_control,-0.150827,true
event_score_class_distribution,"{""high"": 8, ""low"": 31, ""medium"": 26}",true
control_score_class_distribution,"{""high"": 18, ""low"": 2, ""medium"": 18}",true
hit_rate_top_10,0.0,true
hit_rate_top_20,0.0,true
hit_rate_top_30,0.0,true
event_enrichment_top_10,0.0,true
event_enrichment_top_20,0.0,true
event_enrichment_top_30,0.0,true
low_score_event_patch_count,31,true
medium_score_event_patch_count,26,true
high_score_event_patch_count,8,true
interpretation_flags,"[""score_v6_underestimation_possible"", ""score_v6_direction_conflict""]",true
score_v7_created,False,true
can_be_ground_truth,False,true
allowed_for_training,False,true
review_only,True,true
