contrastive_similarity_id,query_patch_id,neighbor_patch_id,rank,distance,similarity_score,same_region,same_patch_family,query_is_canary,neighbor_is_canary,review_only
S18C_CON_00056,S18A_PATCH_0006,S18A_PATCH_0084,6,0.611546,0.620522,true,true,false,false,true
S18C_CON_00057,S18A_PATCH_0006,S18A_PATCH_0030,7,0.63765,0.610631,true,true,false,false,true
S18C_CON_00058,S18A_PATCH_0006,S18A_PATCH_0025,8,0.6392,0.610054,true,true,false,false,true
S18C_CON_00059,S18A_PATCH_0006,S18A_PATCH_0031,9,0.646406,0.607383,true,true,false,false,true
S18C_CON_00060,S18A_PATCH_0006,S18A_PATCH_0094,10,0.648859,0.60648,true,true,false,false,true
S18C_CON_00061,S18A_PATCH_0007,S18A_PATCH_0029,1,0.464658,0.682753,true,true,false,false,true
S18C_CON_00062,S18A_PATCH_0007,S18A_PATCH_0008,2,0.504549,0.664651,true,true,false,false,true
S18C_CON_00063,S18A_PATCH_0007,S18A_PATCH_0067,3,0.522052,0.657008,true,true,false,false,true
S18C_CON_00064,S18A_PATCH_0007,S18A_PATCH_0063,4,0.573775,0.635415,true,true,false,false,true
S18C_CON_00065,S18A_PATCH_0007,S18A_PATCH_0097,5,0.639654,0.609885,true,true,false,false,true
S18C_CON_00066,S18A_PATCH_0007,S18A_PATCH_0016,6,0.677356,0.596176,true,true,false,false,true
S18C_CON_00067,S18A_PATCH_0007,S18A_PATCH_0009,7,0.68623,0.593039,true,true,false,false,true
S18C_CON_00068,S18A_PATCH_0007,S18A_PATCH_0087,8,0.753938,0.570146,true,true,false,false,true
S18C_CON_00069,S18A_PATCH_0007,S18A_PATCH_0028,9,0.778849,0.562161,true,true,false,false,true
S18C_CON_00070,S18A_PATCH_0007,S18A_PATCH_0081,10,0.785695,0.560006,true,true,false,false,true
S18C_CON_00071,S18A_PATCH_0008,S18A_PATCH_0007,1,0.504549,0.664651,true,true,false,false,true
S18C_CON_00072,S18A_PATCH_0008,S18A_PATCH_0087,2,0.583214,0.631626,true,true,false,false,true
S18C_CON_00073,S18A_PATCH_0008,S18A_PATCH_0067,3,0.652952,0.604978,true,true,false,false,true
S18C_CON_00074,S18A_PATCH_0008,S18A_PATCH_0028,4,0.723764,0.580126,true,true,false,false,true
S18C_CON_00075,S18A_PATCH_0008,S18A_PATCH_0015,5,0.794159,0.557364,true,true,false,false,true
S18C_CON_00076,S18A_PATCH_0008,S18A_PATCH_0029,6,0.810082,0.552461,true,true,false,false,true
S18C_CON_00077,S18A_PATCH_0008,S18A_PATCH_0063,7,0.819632,0.549562,true,true,false,false,true
S18C_CON_00078,S18A_PATCH_0008,S18A_PATCH_0016,8,0.826869,0.547385,true,true,false,false,true
S18C_CON_00079,S18A_PATCH_0008,S18A_PATCH_0053,9,0.844389,0.542185,true,true,false,false,true
S18C_CON_00080,S18A_PATCH_0008,S18A_PATCH_0097,10,0.893385,0.528155,true,true,false,false,true
S18C_CON_00081,S18A_PATCH_0009,S18A_PATCH_0063,1,0.246976,0.80194,true,true,false,false,true
S18C_CON_00082,S18A_PATCH_0009,S18A_PATCH_0022,2,0.409264,0.70959,true,true,false,false,true
S18C_CON_00083,S18A_PATCH_0009,S18A_PATCH_0067,3,0.519702,0.658024,true,true,false,false,true
S18C_CON_00084,S18A_PATCH_0009,S18A_PATCH_0061,4,0.535225,0.65137,true,true,false,false,true
S18C_CON_00085,S18A_PATCH_0009,S18A_PATCH_0081,5,0.550319,0.645028,true,true,false,false,true
S18C_CON_00086,S18A_PATCH_0009,S18A_PATCH_0026,6,0.591897,0.628181,true,true,false,false,true
S18C_CON_00087,S18A_PATCH_0009,S18A_PATCH_0053,7,0.637948,0.61052,true,true,false,false,true
S18C_CON_00088,S18A_PATCH_0009,S18A_PATCH_0005,8,0.679091,0.59556,true,true,false,false,true
S18C_CON_00089,S18A_PATCH_0009,S18A_PATCH_0024,9,0.679183,0.595528,true,true,false,false,true
S18C_CON_00090,S18A_PATCH_0009,S18A_PATCH_0007,10,0.68623,0.593039,true,true,false,false,true
S18C_CON_00091,S18A_PATCH_0010,S18A_PATCH_0099,1,0.781143,0.561437,true,true,false,false,true
S18C_CON_00092,S18A_PATCH_0010,S18A_PATCH_0043,2,0.803562,0.554458,true,true,false,false,true
S18C_CON_00093,S18A_PATCH_0010,S18A_PATCH_0054,3,0.830487,0.546303,true,true,false,false,true
S18C_CON_00094,S18A_PATCH_0010,S18A_PATCH_0080,4,0.835233,0.54489,true,true,false,false,true
S18C_CON_00095,S18A_PATCH_0010,S18A_PATCH_0065,5,0.908096,0.524083,true,true,false,false,true
S18C_CON_00096,S18A_PATCH_0010,S18A_PATCH_0071,6,0.977402,0.505714,true,true,false,false,true
S18C_CON_00097,S18A_PATCH_0010,S18A_PATCH_0062,7,1.021832,0.494601,true,true,false,false,true
S18C_CON_00098,S18A_PATCH_0010,S18A_PATCH_0002,8,1.043484,0.48936,true,true,false,false,true
S18C_CON_00099,S18A_PATCH_0010,S18A_PATCH_0005,9,1.057479,0.486032,true,true,false,false,true
S18C_CON_00100,S18A_PATCH_0010,S18A_PATCH_0040,10,1.069037,0.483317,true,true,false,false,true
S18C_CON_00101,S18A_PATCH_0011,S18A_PATCH_0097,1,0.375007,0.727269,true,true,false,false,true
S18C_CON_00102,S18A_PATCH_0011,S18A_PATCH_0029,2,0.403361,0.712575,true,true,false,false,true
S18C_CON_00103,S18A_PATCH_0011,S18A_PATCH_0023,3,0.683265,0.594083,true,true,false,false,true
S18C_CON_00104,S18A_PATCH_0011,S18A_PATCH_0064,4,0.748313,0.57198,true,true,false,false,true
S18C_CON_00105,S18A_PATCH_0011,S18A_PATCH_0028,5,0.780222,0.561728,true,true,false,false,true
S18C_CON_00106,S18A_PATCH_0011,S18A_PATCH_0069,6,0.83978,0.543543,true,true,false,false,true
S18C_CON_00107,S18A_PATCH_0011,S18A_PATCH_0007,7,0.854034,0.539364,true,true,false,false,true
S18C_CON_00108,S18A_PATCH_0011,S18A_PATCH_0009,8,1.01407,0.496507,true,true,false,false,true
S18C_CON_00109,S18A_PATCH_0011,S18A_PATCH_0016,9,1.06394,0.48451,true,true,false,false,true
S18C_CON_00110,S18A_PATCH_0011,S18A_PATCH_0063,10,1.076988,0.481466,true,true,false,false,true
S18C_CON_00111,S18A_PATCH_0012,S18A_PATCH_0073,1,0.467248,0.681548,true,true,false,false,true
S18C_CON_00112,S18A_PATCH_0012,S18A_PATCH_0090,2,0.6861,0.593085,true,true,false,false,true
S18C_CON_00113,S18A_PATCH_0012,S18A_PATCH_0072,3,0.713241,0.583689,true,true,false,false,true
S18C_CON_00114,S18A_PATCH_0012,S18A_PATCH_0077,4,0.724287,0.57995,true,true,false,false,true
S18C_CON_00115,S18A_PATCH_0012,S18A_PATCH_0074,5,0.750598,0.571233,true,true,false,false,true
S18C_CON_00116,S18A_PATCH_0012,S18A_PATCH_0058,6,0.789266,0.558888,true,true,false,false,true
S18C_CON_00117,S18A_PATCH_0012,S18A_PATCH_0060,7,0.790087,0.558632,true,true,false,false,true
S18C_CON_00118,S18A_PATCH_0012,S18A_PATCH_0083,8,0.895605,0.527536,true,true,false,false,true
S18C_CON_00119,S18A_PATCH_0012,S18A_PATCH_0075,9,0.916844,0.521691,true,true,false,false,true
S18C_CON_00120,S18A_PATCH_0012,S18A_PATCH_0076,10,0.953404,0.511927,true,true,false,false,true
S18C_CON_00121,S18A_PATCH_0013,S18A_PATCH_0037,1,0.260879,0.793098,true,true,false,false,true
S18C_CON_00122,S18A_PATCH_0013,S18A_PATCH_0018,2,0.264435,0.790867,true,true,false,false,true
S18C_CON_00123,S18A_PATCH_0013,S18A_PATCH_0092,3,0.669342,0.599038,true,true,false,false,true
S18C_CON_00124,S18A_PATCH_0013,S18A_PATCH_0030,4,0.66985,0.598856,true,true,false,false,true
S18C_CON_00125,S18A_PATCH_0013,S18A_PATCH_0031,5,0.686266,0.593026,true,true,false,false,true
S18C_CON_00126,S18A_PATCH_0013,S18A_PATCH_0025,6,0.690163,0.591659,true,true,false,false,true
S18C_CON_00127,S18A_PATCH_0013,S18A_PATCH_0084,7,0.70355,0.58701,true,true,false,false,true
S18C_CON_00128,S18A_PATCH_0013,S18A_PATCH_0034,8,0.706878,0.585865,true,true,false,false,true
S18C_CON_00129,S18A_PATCH_0013,S18A_PATCH_0032,9,0.880221,0.531852,true,true,false,false,true
S18C_CON_00130,S18A_PATCH_0013,S18A_PATCH_0006,10,0.895606,0.527536,true,true,false,false,true
S18C_CON_00131,S18A_PATCH_0014,S18A_PATCH_0019,1,0.249623,0.800241,true,true,false,false,true
S18C_CON_00132,S18A_PATCH_0014,S18A_PATCH_0032,2,0.375736,0.726884,true,true,false,false,true
S18C_CON_00133,S18A_PATCH_0014,S18A_PATCH_0025,3,0.441861,0.693548,true,true,false,false,true
S18C_CON_00134,S18A_PATCH_0014,S18A_PATCH_0024,4,0.50695,0.663592,true,true,false,false,true
S18C_CON_00135,S18A_PATCH_0014,S18A_PATCH_0006,5,0.551545,0.644519,true,true,false,false,true
S18C_CON_00136,S18A_PATCH_0014,S18A_PATCH_0096,6,0.577654,0.633853,true,true,false,false,true
S18C_CON_00137,S18A_PATCH_0014,S18A_PATCH_0094,7,0.580234,0.632818,true,true,false,false,true
S18C_CON_00138,S18A_PATCH_0014,S18A_PATCH_0031,8,0.582818,0.631784,true,true,false,false,true
S18C_CON_00139,S18A_PATCH_0014,S18A_PATCH_0059,9,0.601415,0.624448,true,true,false,false,true
S18C_CON_00140,S18A_PATCH_0014,S18A_PATCH_0092,10,0.62436,0.615627,true,true,false,false,true
S18C_CON_00141,S18A_PATCH_0015,S18A_PATCH_0021,1,0.558942,0.641461,true,true,false,false,true
S18C_CON_00142,S18A_PATCH_0015,S18A_PATCH_0028,2,0.702413,0.587402,true,true,false,false,true
S18C_CON_00143,S18A_PATCH_0015,S18A_PATCH_0067,3,0.723965,0.580058,true,true,false,false,true
S18C_CON_00144,S18A_PATCH_0015,S18A_PATCH_0053,4,0.736947,0.575723,true,true,false,false,true
S18C_CON_00145,S18A_PATCH_0015,S18A_PATCH_0027,5,0.739971,0.574722,true,true,false,false,true
S18C_CON_00146,S18A_PATCH_0015,S18A_PATCH_0034,6,0.745755,0.572818,true,true,false,false,true
S18C_CON_00147,S18A_PATCH_0015,S18A_PATCH_0087,7,0.776652,0.562857,true,true,false,false,true
S18C_CON_00148,S18A_PATCH_0015,S18A_PATCH_0008,8,0.794159,0.557364,true,true,false,false,true
S18C_CON_00149,S18A_PATCH_0015,S18A_PATCH_0024,9,0.798053,0.556157,true,true,false,false,true
S18C_CON_00150,S18A_PATCH_0015,S18A_PATCH_0009,10,0.805425,0.553886,true,true,false,false,true
S18C_CON_00151,S18A_PATCH_0016,S18A_PATCH_0087,1,0.539377,0.649614,true,true,false,false,true
S18C_CON_00152,S18A_PATCH_0016,S18A_PATCH_0007,2,0.677356,0.596176,true,true,false,false,true
S18C_CON_00153,S18A_PATCH_0016,S18A_PATCH_0063,3,0.684337,0.593705,true,true,false,false,true
S18C_CON_00154,S18A_PATCH_0016,S18A_PATCH_0009,4,0.694628,0.5901,true,true,false,false,true
S18C_CON_00155,S18A_PATCH_0016,S18A_PATCH_0024,5,0.704178,0.586793,true,true,false,false,true
S18C_CON_00156,S18A_PATCH_0016,S18A_PATCH_0032,6,0.737673,0.575482,true,true,false,false,true
S18C_CON_00157,S18A_PATCH_0016,S18A_PATCH_0067,7,0.747389,0.572282,true,true,false,false,true
S18C_CON_00158,S18A_PATCH_0016,S18A_PATCH_0025,8,0.748847,0.571805,true,true,false,false,true
S18C_CON_00159,S18A_PATCH_0016,S18A_PATCH_0029,9,0.81877,0.549822,true,true,false,false,true
S18C_CON_00160,S18A_PATCH_0016,S18A_PATCH_0008,10,0.826869,0.547385,true,true,false,false,true
S18C_CON_00161,S18A_PATCH_0017,S18A_PATCH_0036,1,0.260376,0.793414,true,true,false,false,true
S18C_CON_00162,S18A_PATCH_0017,S18A_PATCH_0079,2,0.412186,0.708122,true,true,false,false,true
S18C_CON_00163,S18A_PATCH_0017,S18A_PATCH_0074,3,0.591704,0.628257,true,true,false,false,true
S18C_CON_00164,S18A_PATCH_0017,S18A_PATCH_0051,4,0.596457,0.626387,true,true,false,false,true
S18C_CON_00165,S18A_PATCH_0017,S18A_PATCH_0058,5,0.612703,0.620077,true,true,false,false,true
S18C_CON_00166,S18A_PATCH_0017,S18A_PATCH_0033,6,0.641989,0.609018,true,true,false,false,true
S18C_CON_00167,S18A_PATCH_0017,S18A_PATCH_0003,7,0.650437,0.6059,true,true,false,false,true
S18C_CON_00168,S18A_PATCH_0017,S18A_PATCH_0047,8,0.650948,0.605713,true,true,false,false,true
S18C_CON_00169,S18A_PATCH_0017,S18A_PATCH_0046,9,0.696774,0.589354,true,true,false,false,true
S18C_CON_00170,S18A_PATCH_0017,S18A_PATCH_0075,10,0.705426,0.586364,true,true,false,false,true
S18C_CON_00171,S18A_PATCH_0018,S18A_PATCH_0013,1,0.264435,0.790867,true,true,false,false,true
S18C_CON_00172,S18A_PATCH_0018,S18A_PATCH_0037,2,0.277687,0.782665,true,true,false,false,true
S18C_CON_00173,S18A_PATCH_0018,S18A_PATCH_0031,3,0.468236,0.681089,true,true,false,false,true
S18C_CON_00174,S18A_PATCH_0018,S18A_PATCH_0034,4,0.497926,0.66759,true,true,false,false,true
S18C_CON_00175,S18A_PATCH_0018,S18A_PATCH_0030,5,0.501934,0.665808,true,true,false,false,true
S18C_CON_00176,S18A_PATCH_0018,S18A_PATCH_0025,6,0.531124,0.653115,true,true,false,false,true
S18C_CON_00177,S18A_PATCH_0018,S18A_PATCH_0092,7,0.586372,0.630369,true,true,false,false,true
S18C_CON_00178,S18A_PATCH_0018,S18A_PATCH_0084,8,0.590746,0.628636,true,true,false,false,true
S18C_CON_00179,S18A_PATCH_0018,S18A_PATCH_0006,9,0.667006,0.599878,true,true,false,false,true
S18C_CON_00180,S18A_PATCH_0018,S18A_PATCH_0019,10,0.680263,0.595145,true,true,false,false,true
S18C_CON_00181,S18A_PATCH_0019,S18A_PATCH_0014,1,0.249623,0.800241,true,true,false,false,true
S18C_CON_00182,S18A_PATCH_0019,S18A_PATCH_0006,2,0.318109,0.758663,true,true,false,false,true
S18C_CON_00183,S18A_PATCH_0019,S18A_PATCH_0096,3,0.403499,0.712505,true,true,false,false,true
S18C_CON_00184,S18A_PATCH_0019,S18A_PATCH_0025,4,0.42444,0.70203,true,true,false,false,true
S18C_CON_00185,S18A_PATCH_0019,S18A_PATCH_0032,5,0.431977,0.698335,true,true,false,false,true
S18C_CON_00186,S18A_PATCH_0019,S18A_PATCH_0024,6,0.436054,0.696353,true,true,false,false,true
S18C_CON_00187,S18A_PATCH_0019,S18A_PATCH_0034,7,0.48898,0.6716,true,true,false,false,true
S18C_CON_00188,S18A_PATCH_0019,S18A_PATCH_0031,8,0.544379,0.64751,true,true,false,false,true
S18C_CON_00189,S18A_PATCH_0019,S18A_PATCH_0094,9,0.566198,0.638489,true,true,false,false,true
S18C_CON_00190,S18A_PATCH_0019,S18A_PATCH_0030,10,0.586979,0.630128,true,true,false,false,true
S18C_CON_00191,S18A_PATCH_0020,S18A_PATCH_0040,1,0.974823,0.506374,true,true,false,false,true
S18C_CON_00192,S18A_PATCH_0020,S18A_PATCH_0078,2,1.181332,0.458436,true,true,false,false,true
S18C_CON_00193,S18A_PATCH_0020,S18A_PATCH_0289,3,1.181764,0.458345,false,true,false,false,true
S18C_CON_00194,S18A_PATCH_0020,S18A_PATCH_0010,4,1.189505,0.456724,true,true,false,false,true
S18C_CON_00195,S18A_PATCH_0020,S18A_PATCH_0054,5,1.195927,0.455388,true,true,false,false,true
S18C_CON_00196,S18A_PATCH_0020,S18A_PATCH_0099,6,1.335668,0.428143,true,true,false,false,true
S18C_CON_00197,S18A_PATCH_0020,S18A_PATCH_0071,7,1.395122,0.417515,true,true,false,false,true
S18C_CON_00198,S18A_PATCH_0020,S18A_PATCH_0098,8,1.407731,0.415329,true,true,false,false,true
S18C_CON_00199,S18A_PATCH_0020,S18A_PATCH_0049,9,1.443739,0.409209,true,true,false,false,true
S18C_CON_00200,S18A_PATCH_0020,S18A_PATCH_0103,10,1.443788,0.409201,false,true,false,false,true
S18C_CON_00201,S18A_PATCH_0021,S18A_PATCH_0034,1,0.543757,0.64777,true,true,false,false,true
S18C_CON_00202,S18A_PATCH_0021,S18A_PATCH_0015,2,0.558942,0.641461,true,true,false,false,true
S18C_CON_00203,S18A_PATCH_0021,S18A_PATCH_0031,3,0.663171,0.601261,true,true,false,false,true
S18C_CON_00204,S18A_PATCH_0021,S18A_PATCH_0006,4,0.760623,0.567981,true,true,false,false,true
S18C_CON_00205,S18A_PATCH_0021,S18A_PATCH_0096,5,0.84763,0.541234,true,true,false,false,true
S18C_CON_00206,S18A_PATCH_0021,S18A_PATCH_0024,6,0.851715,0.54004,true,true,false,false,true
S18C_CON_00207,S18A_PATCH_0021,S18A_PATCH_0019,7,0.859955,0.537647,true,true,false,false,true
S18C_CON_00208,S18A_PATCH_0021,S18A_PATCH_0030,8,0.874846,0.533377,true,true,false,false,true
S18C_CON_00209,S18A_PATCH_0021,S18A_PATCH_0018,9,0.889719,0.529179,true,true,false,false,true
S18C_CON_00210,S18A_PATCH_0021,S18A_PATCH_0025,10,0.923743,0.51982,true,true,false,false,true
S18C_CON_00211,S18A_PATCH_0022,S18A_PATCH_0063,1,0.338914,0.746874,true,true,false,false,true
S18C_CON_00212,S18A_PATCH_0022,S18A_PATCH_0081,2,0.361481,0.734494,true,true,false,false,true
S18C_CON_00213,S18A_PATCH_0022,S18A_PATCH_0009,3,0.409264,0.70959,true,true,false,false,true
S18C_CON_00214,S18A_PATCH_0022,S18A_PATCH_0053,4,0.484785,0.673498,true,true,false,false,true
S18C_CON_00215,S18A_PATCH_0022,S18A_PATCH_0067,5,0.503622,0.665061,true,true,false,false,true
S18C_CON_00216,S18A_PATCH_0022,S18A_PATCH_0061,6,0.530932,0.653197,true,true,false,false,true
S18C_CON_00217,S18A_PATCH_0022,S18A_PATCH_0024,7,0.553601,0.643666,true,true,false,false,true
S18C_CON_00218,S18A_PATCH_0022,S18A_PATCH_0026,8,0.733751,0.576784,true,true,false,false,true
S18C_CON_00219,S18A_PATCH_0022,S18A_PATCH_0035,9,0.752285,0.570684,true,true,false,false,true
S18C_CON_00220,S18A_PATCH_0022,S18A_PATCH_0052,10,0.775778,0.563134,true,true,false,false,true
S18C_CON_00221,S18A_PATCH_0023,S18A_PATCH_0097,1,0.493899,0.669389,true,true,false,false,true
S18C_CON_00222,S18A_PATCH_0023,S18A_PATCH_0028,2,0.526297,0.655181,true,true,false,false,true
S18C_CON_00223,S18A_PATCH_0023,S18A_PATCH_0011,3,0.683265,0.594083,true,true,false,false,true
S18C_CON_00224,S18A_PATCH_0023,S18A_PATCH_0027,4,0.698103,0.588892,true,true,false,false,true
S18C_CON_00225,S18A_PATCH_0023,S18A_PATCH_0029,5,0.726338,0.579261,true,true,false,false,true
S18C_CON_00226,S18A_PATCH_0023,S18A_PATCH_0015,6,0.884166,0.530739,true,true,false,false,true
S18C_CON_00227,S18A_PATCH_0023,S18A_PATCH_0055,7,0.900409,0.526203,true,true,false,false,true
S18C_CON_00228,S18A_PATCH_0023,S18A_PATCH_0009,8,0.948123,0.513315,true,true,false,false,true
S18C_CON_00229,S18A_PATCH_0023,S18A_PATCH_0007,9,1.040682,0.490032,true,true,false,false,true
S18C_CON_00230,S18A_PATCH_0023,S18A_PATCH_0016,10,1.047594,0.488378,true,true,false,false,true
S18C_CON_00231,S18A_PATCH_0024,S18A_PATCH_0019,1,0.436054,0.696353,true,true,false,false,true
S18C_CON_00232,S18A_PATCH_0024,S18A_PATCH_0014,2,0.50695,0.663592,true,true,false,false,true
S18C_CON_00233,S18A_PATCH_0024,S18A_PATCH_0022,3,0.553601,0.643666,true,true,false,false,true
S18C_CON_00234,S18A_PATCH_0024,S18A_PATCH_0059,4,0.571323,0.636406,true,true,false,false,true
S18C_CON_00235,S18A_PATCH_0024,S18A_PATCH_0006,5,0.576018,0.634511,true,true,false,false,true
S18C_CON_00236,S18A_PATCH_0024,S18A_PATCH_0094,6,0.599399,0.625235,true,true,false,false,true
S18C_CON_00237,S18A_PATCH_0024,S18A_PATCH_0034,7,0.647747,0.606889,true,true,false,false,true
S18C_CON_00238,S18A_PATCH_0024,S18A_PATCH_0032,8,0.669199,0.59909,true,true,false,false,true
S18C_CON_00239,S18A_PATCH_0024,S18A_PATCH_0009,9,0.679183,0.595528,true,true,false,false,true
S18C_CON_00240,S18A_PATCH_0024,S18A_PATCH_0025,10,0.684272,0.593728,true,true,false,false,true
S18C_CON_00241,S18A_PATCH_0025,S18A_PATCH_0032,1,0.365224,0.732481,true,true,false,false,true
S18C_CON_00242,S18A_PATCH_0025,S18A_PATCH_0092,2,0.390599,0.719114,true,true,false,false,true
S18C_CON_00243,S18A_PATCH_0025,S18A_PATCH_0031,3,0.421397,0.703533,true,true,false,false,true
S18C_CON_00244,S18A_PATCH_0025,S18A_PATCH_0019,4,0.42444,0.70203,true,true,false,false,true
S18C_CON_00245,S18A_PATCH_0025,S18A_PATCH_0014,5,0.441861,0.693548,true,true,false,false,true
S18C_CON_00246,S18A_PATCH_0025,S18A_PATCH_0034,6,0.467385,0.681485,true,true,false,false,true
S18C_CON_00247,S18A_PATCH_0025,S18A_PATCH_0030,7,0.53026,0.653484,true,true,false,false,true
