pairing_id,sentinel1_target_id,target_id,pre_candidate_count,post_candidate_count,pairing_status,selected_pre_scene_id,selected_post_scene_id,same_orbit_pair,requires_pre_and_post,requires_aoi_intersection,required_product,required_mode,required_polarization,pairing_blocking_reason,metadata_only,no_download_in_this_milestone,review_only
PR_0547,S1_0547,TGT_0547,2,1,par_completo_pre_pos,S1A_IW_GRDH_1SDV_20220516T075410_20220516T075435_043233_0529C8_8330,S1A_IW_GRDH_1SDV_20220528T075411_20220528T075436_043408_052EF7_33C5,true,true,true,GRD,IW,"VV,VH",,true,true,true
PR_0548,S1_0548,TGT_0548,2,1,par_completo_pre_pos,S1A_IW_GRDH_1SDV_20220516T075410_20220516T075435_043233_0529C8_8330,S1A_IW_GRDH_1SDV_20220528T075411_20220528T075436_043408_052EF7_33C5,true,true,true,GRD,IW,"VV,VH",,true,true,true
PR_0549,S1_0549,TGT_0549,2,1,par_completo_pre_pos,S1A_IW_GRDH_1SDV_20220516T075410_20220516T075435_043233_0529C8_8330,S1A_IW_GRDH_1SDV_20220528T075411_20220528T075436_043408_052EF7_33C5,true,true,true,GRD,IW,"VV,VH",,true,true,true
PR_0550,S1_0550,TGT_0550,2,1,par_completo_pre_pos,S1A_IW_GRDH_1SDV_20220516T075410_20220516T075435_043233_0529C8_8330,S1A_IW_GRDH_1SDV_20220528T075411_20220528T075436_043408_052EF7_33C5,true,true,true,GRD,IW,"VV,VH",,true,true,true
PR_0551,S1_0551,TGT_0551,2,1,par_completo_pre_pos,S1A_IW_GRDH_1SDV_20220516T075410_20220516T075435_043233_0529C8_8330,S1A_IW_GRDH_1SDV_20220528T075411_20220528T075436_043408_052EF7_33C5,true,true,true,GRD,IW,"VV,VH",,true,true,true
