metric,value,review_only
strong_events_count,0,true
moderate_events_count,2,true
events_with_date_count,1,true
events_with_geometry_count,2,true
strong_patch_links_count,0,true
moderate_patch_links_count,0,true
regions_covered,petropolis|recife,true
score_v6_mean_event_links,0.0,true
hit_rate_top_10,0.0,true
hit_rate_top_20,0.0,true
hit_rate_top_30,0.0,true
ready_for_12a_temporal,false,true
ready_for_12b_feature_contrast,false,true
ready_for_12c_proxy_calibration,false,true
ready_for_score_v7,false,true
