metric,value,review_only
eligible_footprints_count,12,true
eligible_patch_links_count,65,true
unique_observational_patches,62,true
mean_score_footprint_patches,0.457698,true
median_score_footprint_patches,0.430251,true
score_class_distribution,"{""medium"": 26, ""low"": 31, ""high"": 8}",true
hit_rate_top_10,0.0,true
hit_rate_top_20,0.0,true
hit_rate_top_30,0.0,true
low_score_footprint_cases,5,true
high_score_footprint_cases,1,true
ready_for_16B_score_evaluation,True,true
ready_for_score_v7_discussion,False,true
score_v7_created,False,true
can_be_ground_truth,False,true
allowed_for_training,False,true
review_only,True,true
