outlier_score_id,experiment_id,unified_patch_id,outlier_score,outlier_rank,outlier_reason,review_only
S18B_OUT_00183,EXP05_outlier_distance_to_centroid,S18A_PATCH_0183,3.013021,152,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00184,EXP05_outlier_distance_to_centroid,S18A_PATCH_0184,3.059867,147,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00185,EXP05_outlier_distance_to_centroid,S18A_PATCH_0185,5.084521,55,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00186,EXP05_outlier_distance_to_centroid,S18A_PATCH_0186,7.446962,23,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00187,EXP05_outlier_distance_to_centroid,S18A_PATCH_0187,4.624536,62,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00188,EXP05_outlier_distance_to_centroid,S18A_PATCH_0188,5.21675,52,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00189,EXP05_outlier_distance_to_centroid,S18A_PATCH_0189,4.346948,76,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00190,EXP05_outlier_distance_to_centroid,S18A_PATCH_0190,3.028341,151,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00191,EXP05_outlier_distance_to_centroid,S18A_PATCH_0191,7.372677,24,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00192,EXP05_outlier_distance_to_centroid,S18A_PATCH_0192,3.508086,109,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00193,EXP05_outlier_distance_to_centroid,S18A_PATCH_0193,3.895325,90,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00194,EXP05_outlier_distance_to_centroid,S18A_PATCH_0194,3.173484,131,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00195,EXP05_outlier_distance_to_centroid,S18A_PATCH_0195,4.292804,78,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00196,EXP05_outlier_distance_to_centroid,S18A_PATCH_0196,6.854064,32,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00197,EXP05_outlier_distance_to_centroid,S18A_PATCH_0197,5.958714,44,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00198,EXP05_outlier_distance_to_centroid,S18A_PATCH_0198,3.326101,120,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00199,EXP05_outlier_distance_to_centroid,S18A_PATCH_0199,2.915676,165,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00200,EXP05_outlier_distance_to_centroid,S18A_PATCH_0200,4.537217,66,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00201,EXP05_outlier_distance_to_centroid,S18A_PATCH_0201,2.078213,263,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00202,EXP05_outlier_distance_to_centroid,S18A_PATCH_0202,2.664937,192,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00203,EXP05_outlier_distance_to_centroid,S18A_PATCH_0203,2.92338,164,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00204,EXP05_outlier_distance_to_centroid,S18A_PATCH_0204,1.798807,301,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00205,EXP05_outlier_distance_to_centroid,S18A_PATCH_0205,3.714512,97,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00206,EXP05_outlier_distance_to_centroid,S18A_PATCH_0206,2.106804,259,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00207,EXP05_outlier_distance_to_centroid,S18A_PATCH_0207,2.656008,193,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00208,EXP05_outlier_distance_to_centroid,S18A_PATCH_0208,2.23051,240,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00209,EXP05_outlier_distance_to_centroid,S18A_PATCH_0209,2.523374,210,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00210,EXP05_outlier_distance_to_centroid,S18A_PATCH_0210,2.200972,243,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00211,EXP05_outlier_distance_to_centroid,S18A_PATCH_0211,2.206892,241,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00212,EXP05_outlier_distance_to_centroid,S18A_PATCH_0212,5.137796,53,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00213,EXP05_outlier_distance_to_centroid,S18A_PATCH_0213,2.649437,196,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00214,EXP05_outlier_distance_to_centroid,S18A_PATCH_0214,2.942762,159,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00215,EXP05_outlier_distance_to_centroid,S18A_PATCH_0215,11.929834,4,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00216,EXP05_outlier_distance_to_centroid,S18A_PATCH_0216,2.444014,216,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00217,EXP05_outlier_distance_to_centroid,S18A_PATCH_0217,2.346766,226,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00218,EXP05_outlier_distance_to_centroid,S18A_PATCH_0218,5.297637,51,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00219,EXP05_outlier_distance_to_centroid,S18A_PATCH_0219,3.3802,116,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00220,EXP05_outlier_distance_to_centroid,S18A_PATCH_0220,2.744605,184,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00221,EXP05_outlier_distance_to_centroid,S18A_PATCH_0221,1.779551,302,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00222,EXP05_outlier_distance_to_centroid,S18A_PATCH_0222,2.150282,253,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00223,EXP05_outlier_distance_to_centroid,S18A_PATCH_0223,1.988617,277,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00224,EXP05_outlier_distance_to_centroid,S18A_PATCH_0224,1.899886,287,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
