scene_index_stat_id,candidate_patch_id,scene_or_item_id,scene_date,index_name,stat_name,stat_value,cloud_cover,source_artifact_manifest_id,feature_value_real,pre_event_only,review_only,trainable,ground_truth
S17C24_SINDEX_0022,S17C6_CANARY_REC_00001,S2A_MSIL1C_20220507T124321_N0510_R009_T25MBM_20240616T215545.SAFE,2022-05-07,NDBI,mean,-0.147669,75.0099,S17C24_MANIFEST_0002_A,true,true,true,false,false
S17C24_SINDEX_0023,S17C6_CANARY_REC_00001,S2A_MSIL1C_20220507T124321_N0510_R009_T25MBM_20240616T215545.SAFE,2022-05-07,NDBI,min,-0.390720,75.0099,S17C24_MANIFEST_0002_A,true,true,true,false,false
S17C24_SINDEX_0024,S17C6_CANARY_REC_00001,S2A_MSIL1C_20220507T124321_N0510_R009_T25MBM_20240616T215545.SAFE,2022-05-07,NDBI,max,0.094356,75.0099,S17C24_MANIFEST_0002_A,true,true,true,false,false
S17C24_SINDEX_0025,S17C6_CANARY_REC_00001,S2B_MSIL1C_20220512T124319_N0510_R009_T25MBM_20240619T112653.SAFE,2022-05-12,NDVI,mean,0.358248,79.7725,S17C24_MANIFEST_0003_A,true,true,true,false,false
S17C24_SINDEX_0026,S17C6_CANARY_REC_00001,S2B_MSIL1C_20220512T124319_N0510_R009_T25MBM_20240619T112653.SAFE,2022-05-12,NDVI,min,-0.191517,79.7725,S17C24_MANIFEST_0003_A,true,true,true,false,false
S17C24_SINDEX_0027,S17C6_CANARY_REC_00001,S2B_MSIL1C_20220512T124319_N0510_R009_T25MBM_20240619T112653.SAFE,2022-05-12,NDVI,max,0.881252,79.7725,S17C24_MANIFEST_0003_A,true,true,true,false,false
S17C24_SINDEX_0028,S17C6_CANARY_REC_00001,S2B_MSIL1C_20220512T124319_N0510_R009_T25MBM_20240619T112653.SAFE,2022-05-12,NDWI,mean,-0.294246,79.7725,S17C24_MANIFEST_0003_A,true,true,true,false,false
S17C24_SINDEX_0029,S17C6_CANARY_REC_00001,S2B_MSIL1C_20220512T124319_N0510_R009_T25MBM_20240619T112653.SAFE,2022-05-12,NDWI,min,-0.781117,79.7725,S17C24_MANIFEST_0003_A,true,true,true,false,false
S17C24_SINDEX_0030,S17C6_CANARY_REC_00001,S2B_MSIL1C_20220512T124319_N0510_R009_T25MBM_20240619T112653.SAFE,2022-05-12,NDWI,max,0.072441,79.7725,S17C24_MANIFEST_0003_A,true,true,true,false,false
S17C24_SINDEX_0031,S17C6_CANARY_REC_00001,S2B_MSIL1C_20220512T124319_N0510_R009_T25MBM_20240619T112653.SAFE,2022-05-12,MNDWI,mean,-0.131378,79.7725,S17C24_MANIFEST_0003_A,true,true,true,false,false
S17C24_SINDEX_0032,S17C6_CANARY_REC_00001,S2B_MSIL1C_20220512T124319_N0510_R009_T25MBM_20240619T112653.SAFE,2022-05-12,MNDWI,min,-0.621141,79.7725,S17C24_MANIFEST_0003_A,true,true,true,false,false
S17C24_SINDEX_0033,S17C6_CANARY_REC_00001,S2B_MSIL1C_20220512T124319_N0510_R009_T25MBM_20240619T112653.SAFE,2022-05-12,MNDWI,max,0.397380,79.7725,S17C24_MANIFEST_0003_A,true,true,true,false,false
S17C24_SINDEX_0034,S17C6_CANARY_REC_00001,S2B_MSIL1C_20220512T124319_N0510_R009_T25MBM_20240619T112653.SAFE,2022-05-12,NDBI,mean,-0.190232,79.7725,S17C24_MANIFEST_0003_A,true,true,true,false,false
S17C24_SINDEX_0035,S17C6_CANARY_REC_00001,S2B_MSIL1C_20220512T124319_N0510_R009_T25MBM_20240619T112653.SAFE,2022-05-12,NDBI,min,-0.612827,79.7725,S17C24_MANIFEST_0003_A,true,true,true,false,false
S17C24_SINDEX_0036,S17C6_CANARY_REC_00001,S2B_MSIL1C_20220512T124319_N0510_R009_T25MBM_20240619T112653.SAFE,2022-05-12,NDBI,max,0.438267,79.7725,S17C24_MANIFEST_0003_A,true,true,true,false,false
S17C24_SINDEX_0037,S17C6_CANARY_REC_00002,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,2022-04-27,NDVI,mean,-0.013726,60.5460,S17C24_MANIFEST_0004_A,true,true,true,false,false
S17C24_SINDEX_0038,S17C6_CANARY_REC_00002,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,2022-04-27,NDVI,min,-0.383725,60.5460,S17C24_MANIFEST_0004_A,true,true,true,false,false
S17C24_SINDEX_0039,S17C6_CANARY_REC_00002,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,2022-04-27,NDVI,max,0.465487,60.5460,S17C24_MANIFEST_0004_A,true,true,true,false,false
S17C24_SINDEX_0040,S17C6_CANARY_REC_00002,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,2022-04-27,NDWI,mean,0.032069,60.5460,S17C24_MANIFEST_0004_A,true,true,true,false,false
S17C24_SINDEX_0041,S17C6_CANARY_REC_00002,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,2022-04-27,NDWI,min,-0.397468,60.5460,S17C24_MANIFEST_0004_A,true,true,true,false,false
S17C24_SINDEX_0042,S17C6_CANARY_REC_00002,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,2022-04-27,NDWI,max,0.134255,60.5460,S17C24_MANIFEST_0004_A,true,true,true,false,false
S17C24_SINDEX_0043,S17C6_CANARY_REC_00002,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,2022-04-27,MNDWI,mean,0.260032,60.5460,S17C24_MANIFEST_0004_A,true,true,true,false,false
S17C24_SINDEX_0044,S17C6_CANARY_REC_00002,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,2022-04-27,MNDWI,min,-0.494627,60.5460,S17C24_MANIFEST_0004_A,true,true,true,false,false
S17C24_SINDEX_0045,S17C6_CANARY_REC_00002,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,2022-04-27,MNDWI,max,0.489971,60.5460,S17C24_MANIFEST_0004_A,true,true,true,false,false
S17C24_SINDEX_0046,S17C6_CANARY_REC_00002,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,2022-04-27,NDBI,mean,-0.230879,60.5460,S17C24_MANIFEST_0004_A,true,true,true,false,false
S17C24_SINDEX_0047,S17C6_CANARY_REC_00002,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,2022-04-27,NDBI,min,-0.458078,60.5460,S17C24_MANIFEST_0004_A,true,true,true,false,false
S17C24_SINDEX_0048,S17C6_CANARY_REC_00002,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,2022-04-27,NDBI,max,0.439109,60.5460,S17C24_MANIFEST_0004_A,true,true,true,false,false
S17C24_SINDEX_0049,S17C6_CANARY_REC_00002,S2A_MSIL1C_20220507T124321_N0510_R009_T25MBM_20240616T215545.SAFE,2022-05-07,NDVI,mean,0.134370,75.0099,S17C24_MANIFEST_0005_A,true,true,true,false,false
