deep_source_acquisition_attempt_id,candidate_patch_id,event_id,source_family,attempted_url_or_query,attempt_type,network_enabled,http_status,artifact_acquired,artifact_manifest_id,tls_verification_bypassed,failure_reason,review_only
S17C28_ATT_0029,all_candidate_patches,REC_2022_05_24_30,prefeitura_recife,https://web.archive.org/web/20220601120000/https://www2.recife.pe.gov.br/,wayback_archived_snapshot,true,200,false,not_available,false,not_event_specific_or_duplicate,true
S17C28_ATT_0030,all_candidate_patches,REC_2022_05_24_30,prefeitura_recife,https://www2.recife.pe.gov.br/,direct_official_portal,true,failed_safe,false,not_available,false,ssl_certificate_verify_failed,true
S17C28_ATT_0031,all_candidate_patches,REC_2022_05_24_30,gov_pernambuco,https://web.archive.org/web/20220528120000/https://www.pe.gov.br/,wayback_archived_snapshot,true,200,false,not_available,false,not_event_specific_or_duplicate,true
S17C28_ATT_0032,all_candidate_patches,REC_2022_05_24_30,gov_pernambuco,https://web.archive.org/web/20220529120000/https://www.pe.gov.br/,wayback_archived_snapshot,true,200,false,not_available,false,not_event_specific_or_duplicate,true
S17C28_ATT_0033,all_candidate_patches,REC_2022_05_24_30,gov_pernambuco,https://web.archive.org/web/20220530081923/https://www.pe.gov.br/,wayback_archived_snapshot,true,200,false,not_available,false,not_event_specific_or_duplicate,true
S17C28_ATT_0034,all_candidate_patches,REC_2022_05_24_30,gov_pernambuco,https://web.archive.org/web/20220531120000/https://www.pe.gov.br/,wayback_archived_snapshot,true,200,false,not_available,false,not_event_specific_or_duplicate,true
S17C28_ATT_0035,all_candidate_patches,REC_2022_05_24_30,gov_pernambuco,https://web.archive.org/web/20220601120000/https://www.pe.gov.br/,wayback_archived_snapshot,true,200,false,not_available,false,not_event_specific_or_duplicate,true
S17C28_ATT_0036,all_candidate_patches,REC_2022_05_24_30,gov_pernambuco,https://www.pe.gov.br/,direct_official_portal,true,200,false,not_available,false,not_event_specific_or_duplicate,true
S17C28_ATT_0037,all_candidate_patches,REC_2022_05_24_30,agencia_brasil,https://web.archive.org/web/20220528193348/https://agenciabrasil.ebc.com.br/geral/noticia/2022-05/chegam-33-mortes-confirmadas-devido-chuva-no-grande-recife,wayback_known_event_specific_url,true,200,true,S17C28_ART_0002,false,not_applicable,true
S17C28_ATT_0038,all_candidate_patches,REC_2022_05_24_30,agencia_brasil,https://web.archive.org/web/20220530061851/https://agenciabrasil.ebc.com.br/geral/noticia/2022-05/chegam-33-mortes-confirmadas-devido-chuva-no-grande-recife,wayback_known_event_specific_url,true,200,false,not_available,false,not_event_specific_or_duplicate,true
S17C28_ATT_0039,all_candidate_patches,REC_2022_05_24_30,agencia_brasil,https://web.archive.org/web/20220530070149/https://agenciabrasil.ebc.com.br/geral/noticia/2022-05/chegam-33-mortes-confirmadas-devido-chuva-no-grande-recife,wayback_known_event_specific_url,true,200,false,not_available,false,not_event_specific_or_duplicate,true
S17C28_ATT_0040,all_candidate_patches,REC_2022_05_24_30,agencia_brasil,https://web.archive.org/web/20220530081923/https://agenciabrasil.ebc.com.br/geral/noticia/2022-05/chegam-33-mortes-confirmadas-devido-chuva-no-grande-recife,wayback_known_event_specific_url,true,200,false,not_available,false,not_event_specific_or_duplicate,true
S17C28_ATT_0041,all_candidate_patches,REC_2022_05_24_30,agencia_brasil,https://web.archive.org/web/20220609130341/https://agenciabrasil.ebc.com.br/geral/noticia/2022-05/chegam-33-mortes-confirmadas-devido-chuva-no-grande-recife,wayback_known_event_specific_url,true,200,false,not_available,false,not_event_specific_or_duplicate,true
S17C28_ATT_0042,all_candidate_patches,REC_2022_05_24_30,agencia_brasil,https://web.archive.org/web/20220528193348/https://agenciabrasil.ebc.com.br/geral/noticia/2022-05/governo-de-pernambuco-atualiza-para-56-numero-de-mortos-no-estado,wayback_known_event_specific_url,true,200,true,S17C28_ART_0004,false,not_applicable,true
