metric,value,review_only
occurrences_input_count,4412,true
flood_occurrences_count,4412,true
official_reference_features_count,100000,true
street_segment_reference_count,98225,true
address_point_reference_count,1378,true
neighborhood_polygon_reference_count,45,true
exact_matches_count,0,true
fuzzy_matches_count,5,true
ambiguous_matches_count,67,true
blocked_no_reference_count,146,true
by_georeferencing_status,"{""blocked_ambiguous_address"": 67, ""blocked_no_official_reference"": 146, ""official_address_point_match"": 3, ""official_neighborhood_only"": 4194, ""official_street_segment_match"": 2}",true
by_evidence_level,"{""moderate_official_occurrence_geocoded"": 3, ""moderate_official_street_segment_match"": 2, ""rejected_not_observed_event"": 213, ""weak_official_neighborhood_context"": 4194}",true
allowed_for_training_true,0,true
can_be_ground_truth_true,0,true
