file_path,matched_terms,region_guess,evidence_type_guess,has_date_guess,has_geometry_guess,candidate_status,notes
outputs_public/execution_reports/revp_external_evidence_regional_report_v2cw.md,Curitiba;Petropolis;Recife,multi,unknown,false,true,not_event_evidence,offline keyword scan; review-only; not ground truth
outputs_public/execution_reports/revp_fechamento_downloads_evidencias_externas_mv1.md,ANA;APAC;CEMADEN;CPRM;Curitiba;GeoCuritiba;Petropolis;Petrópolis;Recife;evento;flood;inundacao;protocolo_c,multi,flood,false,true,candidate_evidence_source,offline keyword scan; review-only; not ground truth
outputs_public/execution_reports/revp_fechamento_marco_validacao_label_free_evidencia_estrutural_mv1.md,ANA;Curitiba;Petrópolis;Recife;evento;inundação,multi,flood,false,false,documentary_context,offline keyword scan; review-only; not ground truth
outputs_public/execution_reports/revp_hardening_reprodutibilidade_publica_marco_mv1.md,ANA,recife,unknown,false,false,not_event_evidence,offline keyword scan; review-only; not ground truth
outputs_public/execution_reports/revp_integracao_final_marco_mv1_maturidade_revisao_humana.md,ANA;Curitiba;evento;eventos candidatos;flood,multi,flood,false,true,candidate_evidence_source,offline keyword scan; review-only; not ground truth
outputs_public/execution_reports/revp_integracao_marco_label_free_evidencias_externas_mv1.md,ANA;APAC;CEMADEN;Curitiba;Petropolis;alagamento;emergencia;evento;flood;inundacao;ocorrencia,multi,flood,false,true,candidate_evidence_source,offline keyword scan; review-only; not ground truth
outputs_public/execution_reports/revp_integracao_marco_label_free_evidencias_externas_navegacao_mv1.md,ANA;APAC;CEMADEN;Curitiba;GeoCuritiba;SGB;evento;flood;inundacao,multi,flood,false,true,candidate_evidence_source,offline keyword scan; review-only; not ground truth
outputs_public/execution_reports/revp_inventario_publicacao_github_20260623T213111.csv,ANA;evento,multi,unknown,true,false,candidate_evidence_source,offline keyword scan; review-only; not ground truth
outputs_public/execution_reports/revp_mv2_12_consolidation_report_20260623T213111.md,ANA,recife,unknown,false,false,not_event_evidence,offline keyword scan; review-only; not ground truth
outputs_public/execution_reports/revp_navegacao_downloads_evidencias_externas_mv1.md,ANA;APAC;CEMADEN;CPRM;Curitiba;GeoCuritiba;Petropolis;Recife;SGB;evento;eventos candidatos;flood;inundacao,multi,flood,true,true,candidate_evidence_source,offline keyword scan; review-only; not ground truth
outputs_public/execution_reports/revp_normalizacao_evidencias_externas_publicas_mv1.md,ANA;APAC;CEMADEN;CPRM;Curitiba;Petrópolis;SGB;evento;flood;ocorrência,multi,flood,true,true,candidate_evidence_source,offline keyword scan; review-only; not ground truth
outputs_public/execution_reports/revp_normalized_temporal_asset_manifest_mv1.md,ANA,curitiba,unknown,false,false,not_event_evidence,offline keyword scan; review-only; not ground truth
outputs_public/execution_reports/revp_patch_event_replay_report_v2cm.md,evento,unknown,unknown,false,true,needs_manual_review,offline keyword scan; review-only; not ground truth
outputs_public/execution_reports/revp_plano_branches_commits_ptbr_20260623T213111.md,ANA,recife,unknown,false,false,not_event_evidence,offline keyword scan; review-only; not ground truth
outputs_public/execution_reports/revp_plano_operacional_pos_pre_unificacao_20260623T213111.md,ANA;Curitiba;inundação,multi,flood,false,true,candidate_evidence_source,offline keyword scan; review-only; not ground truth
outputs_public/execution_reports/revp_plano_organizacao_estado_git.md,ANA;protocolo_c,multi,unknown,true,false,not_event_evidence,offline keyword scan; review-only; not ground truth
outputs_public/execution_reports/revp_plano_stage_seletivo_marco_mv1.md,ANA;Curitiba;evento;flood,multi,flood,false,false,documentary_context,offline keyword scan; review-only; not ground truth
outputs_public/execution_reports/revp_pre_unification_file_inventory_20260623T213111.csv,ANA;Curitiba;Petropolis;Recife;protocolo_c,multi,unknown,true,false,not_event_evidence,offline keyword scan; review-only; not ground truth
outputs_public/execution_reports/revp_pre_unification_initial_audit_20260623T213111.md,ANA;evento,multi,unknown,false,false,documentary_context,offline keyword scan; review-only; not ground truth
outputs_public/execution_reports/revp_protocolo_ground_truth_fail_closed_mv1.md,ANA;Curitiba;evento;flood;inundação,multi,flood,false,true,candidate_evidence_source,offline keyword scan; review-only; not ground truth
outputs_public/execution_reports/revp_push_readiness_20260623T213111.md,ANA;evento,multi,unknown,false,false,documentary_context,offline keyword scan; review-only; not ground truth
outputs_public/execution_reports/revp_real_external_source_seeding_report_v2cs.md,CPRM;Curitiba;Petropolis;Recife;SGB;flood,multi,flood,false,false,documentary_context,offline keyword scan; review-only; not ground truth
outputs_public/execution_reports/revp_relatorio_extrator_artefatos_diff_patch_v2fa.md,ANA,recife,unknown,false,false,not_event_evidence,offline keyword scan; review-only; not ground truth
outputs_public/execution_reports/revp_relatorio_indice_busca_forense_repositorio_v2ez.md,ANA,recife,unknown,false,false,not_event_evidence,offline keyword scan; review-only; not ground truth
outputs_public/execution_reports/revp_relatorio_inspetor_objetos_git_reflog_v2fb.md,ANA,multi,unknown,false,false,not_event_evidence,offline keyword scan; review-only; not ground truth
outputs_public/execution_reports/revp_relatorio_limpeza_linguagem.md,ANA;Curitiba;Recife;enchente;evento;inundação;ocorrência,multi,flood,true,false,candidate_evidence_source,offline keyword scan; review-only; not ground truth
outputs_public/execution_reports/revp_relatorio_painel_perda_recuperacao_base_original_v2ff.md,ANA,recife,unknown,false,false,not_event_evidence,offline keyword scan; review-only; not ground truth
outputs_public/execution_reports/revp_relatorio_planejador_busca_backups_locais_v2fc.md,ANA,recife,unknown,false,false,not_event_evidence,offline keyword scan; review-only; not ground truth
outputs_public/execution_reports/revp_relatorio_registro_decisao_recuperacao_forense_v2fe.md,ANA,recife,unknown,false,false,not_event_evidence,offline keyword scan; review-only; not ground truth
outputs_public/execution_reports/revp_relatorio_validacao_candidatos_forenses_v2fd.md,ANA,recife,unknown,false,false,not_event_evidence,offline keyword scan; review-only; not ground truth
outputs_public/execution_reports/revp_restauracao_manual_v2dz_v2ef.md,ANA;evento,multi,unknown,true,false,candidate_evidence_source,offline keyword scan; review-only; not ground truth
outputs_public/execution_reports/revp_temporal_acquisition_gap_plan_mv1.md,ANA;evento,unknown,unknown,false,true,needs_manual_review,offline keyword scan; review-only; not ground truth
outputs_public/execution_reports/revp_temporal_asset_backfill_queue_mv1.md,ANA;APAC;CEMADEN;CPRM;Curitiba;Petropolis;Petrópolis;Recife;protocolo_c,multi,unknown,false,false,not_event_evidence,offline keyword scan; review-only; not ground truth
outputs_public/execution_reports/revp_temporal_asset_readiness_mv1.md,ANA;APAC;CEMADEN;Curitiba;Petropolis;Petrópolis;Recife;evento;protocolo_c,multi,unknown,false,false,documentary_context,offline keyword scan; review-only; not ground truth
outputs_public/execution_reports/revp_temporal_backfill_request_manifest_mv1.md,ANA;Curitiba;Petropolis;Recife,multi,unknown,false,false,not_event_evidence,offline keyword scan; review-only; not ground truth
outputs_public/execution_reports/revp_temporal_metadata_repair_candidates_mv1.md,ANA;APAC;CEMADEN;Curitiba;Petropolis;Recife;evento;protocolo_c,multi,unknown,false,false,documentary_context,offline keyword scan; review-only; not ground truth
outputs_public/execution_reports/revp_temporal_sensor_family_resolution_mv1.md,ANA,recife,unknown,false,false,not_event_evidence,offline keyword scan; review-only; not ground truth
outputs_public/execution_reports/revp_temporal_source_sensor_provenance_mv1.md,ANA,recife,unknown,false,false,not_event_evidence,offline keyword scan; review-only; not ground truth
outputs_public/execution_reports/revp_tp2_candidate_inventory_report_v2ci.md,evento,unknown,unknown,false,true,needs_manual_review,offline keyword scan; review-only; not ground truth
outputs_public/execution_reports/revp_v2ez_to_v2ff_checklist_entrega.md,ANA,recife,unknown,false,false,not_event_evidence,offline keyword scan; review-only; not ground truth
outputs_public/execution_reports/revp_v2ez_to_v2ff_resumo_cientifico.md,ANA,recife,unknown,false,false,not_event_evidence,offline keyword scan; review-only; not ground truth
