candidate_discovery_id,unified_patch_id,source_patch_id,patch_family,priority_rank,candidate_reason,similar_to_canary_count,physical_signal_percentile,hydrology_signal_percentile,urban_signal_percentile,spectral_signal_percentile,rainfall_signal_percentile,data_completeness,recommended_next_action,review_only,ground_truth,training_label
S18B_CAND_0041,S18A_PATCH_0152,petropolis_00690,official_population_patch,41,high_physical_hydrology_signal;high_completeness;high_urban_signal,0,99.05,35.56,93.97,16.83,89.84,0.8333,acquire_ground_reference_priority,true,false,false
S18B_CAND_0042,S18A_PATCH_0005,curitiba_00289,official_population_patch,42,high_physical_hydrology_signal;high_completeness;high_urban_signal,0,59.05,89.84,70.16,50.48,15.56,0.8333,review_only_screening,true,false,false
S18B_CAND_0043,S18A_PATCH_0070,curitiba_00972,official_population_patch,43,high_physical_hydrology_signal;high_completeness;high_urban_signal,0,87.62,54.92,71.75,56.51,44.44,0.8333,acquire_ground_reference_priority,true,false,false
S18B_CAND_0044,S18A_PATCH_0172,petropolis_01255,official_population_patch,44,high_physical_hydrology_signal;high_completeness;high_urban_signal,0,95.24,38.73,90.79,17.46,94.6,0.8333,acquire_ground_reference_priority,true,false,false
S18B_CAND_0045,S18A_PATCH_0129,petropolis_00396,official_population_patch,45,high_completeness;high_urban_signal,0,69.21,67.3,87.94,17.78,82.22,0.8333,review_only_screening,true,false,false
S18B_CAND_0046,S18A_PATCH_0191,petropolis_01386,official_population_patch,46,high_physical_hydrology_signal;high_completeness;high_urban_signal,0,96.83,38.1,92.06,3.49,92.7,0.8333,acquire_ground_reference_priority,true,false,false
S18B_CAND_0047,S18A_PATCH_0160,petropolis_00829,official_population_patch,47,high_physical_hydrology_signal;high_completeness;high_urban_signal,0,67.3,70.79,81.27,7.3,88.89,0.8333,review_only_screening,true,false,false
S18B_CAND_0048,S18A_PATCH_0091,curitiba_01068,official_population_patch,48,high_physical_hydrology_signal;high_completeness;high_urban_signal,0,66.35,74.29,92.7,14.92,41.59,0.8333,review_only_screening,true,false,false
S18B_CAND_0049,S18A_PATCH_0006,curitiba_00293,official_population_patch,49,high_physical_hydrology_signal;high_completeness,0,57.14,92.06,54.6,62.86,16.83,0.8333,review_only_screening,true,false,false
S18B_CAND_0050,S18A_PATCH_0116,petropolis_00240,official_population_patch,50,high_physical_hydrology_signal;high_completeness;high_urban_signal,0,76.51,55.56,96.51,4.76,90.48,0.8333,acquire_ground_reference_priority,true,false,false
S18B_CAND_0051,S18A_PATCH_0307,S17C33_EAC_0007,event_anchored_canary_patch,51,high_physical_hydrology_signal;similar_to_canary;high_completeness,2,5.4,73.97,23.81,97.78,72.06,1.0,review_only_screening,true,false,false
S18B_CAND_0052,S18A_PATCH_0277,recife_00483,official_population_patch,52,high_physical_hydrology_signal;high_completeness,0,79.37,64.13,37.14,93.65,50.16,0.8333,acquire_ground_reference_priority,true,false,false
S18B_CAND_0053,S18A_PATCH_0158,petropolis_00824,official_population_patch,53,high_physical_hydrology_signal;high_completeness,0,86.67,52.06,66.35,29.52,84.13,0.8333,acquire_ground_reference_priority,true,false,false
S18B_CAND_0054,S18A_PATCH_0241,recife_00299,official_population_patch,54,high_physical_hydrology_signal;high_completeness,0,45.4,88.57,63.17,94.92,49.52,0.8333,review_only_screening,true,false,false
S18B_CAND_0055,S18A_PATCH_0130,petropolis_00397,official_population_patch,55,high_completeness;high_urban_signal,0,64.13,69.52,88.25,9.52,82.54,0.8333,review_only_screening,true,false,false
S18B_CAND_0056,S18A_PATCH_0025,curitiba_00436,official_population_patch,56,high_physical_hydrology_signal;high_completeness,0,42.54,99.68,57.46,81.9,15.87,0.8333,review_only_screening,true,false,false
S18B_CAND_0057,S18A_PATCH_0096,curitiba_01109,official_population_patch,57,high_physical_hydrology_signal;high_completeness,0,62.22,76.19,62.54,72.7,32.38,0.8333,review_only_screening,true,false,false
