matched_id,occurrence_id,input_status,resolution_action,output_status,name_similarity,neighborhood_match,score_gap,geometry_available,review_only
S14CMATCH_000000,S14AOCC_000000,blocked_no_official_reference,carried_forward,blocked_no_official_reference,0.0,false,0.0,false,true
S14CMATCH_000001,S14AOCC_000001,blocked_no_official_reference,carried_forward,blocked_no_official_reference,0.0,false,0.0,false,true
S14CMATCH_000002,S14AOCC_000002,blocked_no_official_reference,carried_forward,blocked_no_official_reference,0.0,false,0.0,false,true
S14CMATCH_000003,S14AOCC_000003,blocked_no_official_reference,carried_forward,blocked_no_official_reference,0.0,false,0.0,false,true
S14CMATCH_000004,S14AOCC_000004,blocked_no_official_reference,carried_forward,blocked_no_official_reference,0.0,false,0.0,false,true
S14CMATCH_000005,S14AOCC_000005,blocked_no_official_reference,carried_forward,blocked_no_official_reference,0.0,false,0.0,false,true
S14CMATCH_000006,S14AOCC_000006,blocked_no_official_reference,carried_forward,blocked_no_official_reference,0.0,false,0.0,false,true
S14CMATCH_000007,S14AOCC_000007,official_neighborhood_only,carried_forward,official_neighborhood_only,0.5,true,0.5,false,true
S14CMATCH_000008,S14AOCC_000008,official_neighborhood_only,carried_forward,official_neighborhood_only,0.5,true,0.5,false,true
S14CMATCH_000009,S14AOCC_000009,official_neighborhood_only,carried_forward,official_neighborhood_only,0.5,true,0.5,false,true
S14CMATCH_000010,S14AOCC_000010,official_neighborhood_only,carried_forward,official_neighborhood_only,0.5,true,0.5,false,true
S14CMATCH_000011,S14AOCC_000011,official_neighborhood_only,carried_forward,official_neighborhood_only,0.5,true,0.5,false,true
S14CMATCH_000012,S14AOCC_000012,official_neighborhood_only,carried_forward,official_neighborhood_only,0.5,true,0.5,false,true
S14CMATCH_000013,S14AOCC_000013,official_neighborhood_only,carried_forward,official_neighborhood_only,0.5,true,0.5,false,true
S14CMATCH_000014,S14AOCC_000014,official_neighborhood_only,carried_forward,official_neighborhood_only,0.5,true,0.5,false,true
S14CMATCH_000015,S14AOCC_000015,official_neighborhood_only,carried_forward,official_neighborhood_only,0.5,true,0.5,false,true
S14CMATCH_000016,S14AOCC_000016,official_neighborhood_only,carried_forward,official_neighborhood_only,0.5,true,0.5,false,true
S14CMATCH_000017,S14AOCC_000017,official_neighborhood_only,carried_forward,official_neighborhood_only,0.5,true,0.5,false,true
S14CMATCH_000018,S14AOCC_000018,official_neighborhood_only,carried_forward,official_neighborhood_only,0.5,true,0.5,false,true
S14CMATCH_000019,S14AOCC_000019,official_neighborhood_only,carried_forward,official_neighborhood_only,0.5,true,0.5,false,true
S14CMATCH_000020,S14AOCC_000020,official_neighborhood_only,carried_forward,official_neighborhood_only,0.5,true,0.5,false,true
S14CMATCH_000021,S14AOCC_000021,official_neighborhood_only,carried_forward,official_neighborhood_only,0.5,true,0.5,false,true
S14CMATCH_000022,S14AOCC_000022,official_neighborhood_only,carried_forward,official_neighborhood_only,0.5,true,0.5,false,true
S14CMATCH_000023,S14AOCC_000023,official_neighborhood_only,carried_forward,official_neighborhood_only,0.5,true,0.5,false,true
S14CMATCH_000024,S14AOCC_000024,official_neighborhood_only,carried_forward,official_neighborhood_only,0.5,true,0.5,false,true
S14CMATCH_000025,S14AOCC_000025,official_neighborhood_only,carried_forward,official_neighborhood_only,0.5,true,0.5,false,true
S14CMATCH_000026,S14AOCC_000026,official_neighborhood_only,carried_forward,official_neighborhood_only,0.5,true,0.5,false,true
S14CMATCH_000027,S14AOCC_000027,official_neighborhood_only,carried_forward,official_neighborhood_only,0.5,true,0.5,false,true
S14CMATCH_000028,S14AOCC_000028,official_neighborhood_only,carried_forward,official_neighborhood_only,0.5,true,0.5,false,true
S14CMATCH_000029,S14AOCC_000029,official_neighborhood_only,carried_forward,official_neighborhood_only,0.5,true,0.5,false,true
S14CMATCH_000030,S14AOCC_000030,official_neighborhood_only,carried_forward,official_neighborhood_only,0.5,true,0.5,false,true
S14CMATCH_000031,S14AOCC_000031,official_neighborhood_only,carried_forward,official_neighborhood_only,0.5,true,0.5,false,true
S14CMATCH_000032,S14AOCC_000032,official_neighborhood_only,carried_forward,official_neighborhood_only,0.5,true,0.5,false,true
S14CMATCH_000033,S14AOCC_000033,official_neighborhood_only,carried_forward,official_neighborhood_only,0.5,true,0.5,false,true
S14CMATCH_000034,S14AOCC_000034,official_neighborhood_only,carried_forward,official_neighborhood_only,0.5,true,0.5,false,true
S14CMATCH_000035,S14AOCC_000035,official_neighborhood_only,carried_forward,official_neighborhood_only,0.5,true,0.5,false,true
S14CMATCH_000036,S14AOCC_000036,official_neighborhood_only,carried_forward,official_neighborhood_only,0.5,true,0.5,false,true
S14CMATCH_000037,S14AOCC_000037,official_neighborhood_only,carried_forward,official_neighborhood_only,0.5,true,0.5,false,true
S14CMATCH_000038,S14AOCC_000038,official_neighborhood_only,carried_forward,official_neighborhood_only,0.5,true,0.5,false,true
S14CMATCH_000039,S14AOCC_000039,official_neighborhood_only,carried_forward,official_neighborhood_only,0.5,true,0.5,false,true
S14CMATCH_000040,S14AOCC_000040,official_neighborhood_only,carried_forward,official_neighborhood_only,0.5,true,0.5,false,true
S14CMATCH_000041,S14AOCC_000041,official_neighborhood_only,carried_forward,official_neighborhood_only,0.5,true,0.5,false,true
S14CMATCH_000042,S14AOCC_000042,official_neighborhood_only,carried_forward,official_neighborhood_only,0.5,true,0.5,false,true
S14CMATCH_000043,S14AOCC_000043,official_neighborhood_only,carried_forward,official_neighborhood_only,0.5,true,0.5,false,true
S14CMATCH_000044,S14AOCC_000044,official_neighborhood_only,carried_forward,official_neighborhood_only,0.5,true,0.5,false,true
S14CMATCH_000045,S14AOCC_000045,official_neighborhood_only,carried_forward,official_neighborhood_only,0.5,true,0.5,false,true
S14CMATCH_000046,S14AOCC_000046,official_neighborhood_only,carried_forward,official_neighborhood_only,0.5,true,0.5,false,true
S14CMATCH_000047,S14AOCC_000047,official_neighborhood_only,carried_forward,official_neighborhood_only,0.5,true,0.5,false,true
S14CMATCH_000048,S14AOCC_000048,official_neighborhood_only,carried_forward,official_neighborhood_only,0.5,true,0.5,false,true
S14CMATCH_000049,S14AOCC_000049,blocked_ambiguous_address,kept_blocked,blocked_ambiguous_address,0.954,true,0.0,true,true
