local_geometry_id,source_path,region,municipality,source_name,source_type,event_type,event_date,event_period_start,event_period_end,geometry_type,lat,lon,bbox,wkt,geojson_ref,crs,evidence_tier,source_confidence,parse_confidence,is_direct_event_geometry,is_flood_footprint,is_risk_area,is_susceptibility_reference,calibration_eligible_candidate,review_only,notes
S16ALOCG_00076,PROJECT_ROOT/data/external_validation_assets/petropolis_sgb_cprm/processed_v1af/sig_petropolis_rj_suscet/Dados_hidrologicos/Atlas Pluviometrico/Isoietas Anuais Medias/pma.tif.aux.xml,petropolis,petropolis,pma.tif.aux.xml,official_susceptibility_map_only,context,,,,,,,json_parse_failed,,,EPSG:4326_or_source_unknown,T3_local_susceptibility_reference,medium,low,false,false,false,true,false,true,contexto ou geometria insuficiente
S16ALOCG_00077,PROJECT_ROOT/data/external_validation_assets/petropolis_sgb_cprm/processed_v1af/sig_petropolis_rj_suscet/Dados_hidrologicos/Atlas Pluviometrico/Isoietas Anuais Medias/pma/metadata.xml,petropolis,petropolis,metadata.xml,official_susceptibility_map_only,context,,,,,,,json_parse_failed,,,EPSG:4326_or_source_unknown,T3_local_susceptibility_reference,medium,low,false,false,false,true,false,true,contexto ou geometria insuficiente
S16ALOCG_00078,PROJECT_ROOT/data/raw/curitiba/geocuritiba/download_summary.json,curitiba,curitiba,download_summary.json,non_event_context,context,,,,,,,,,,EPSG:4326_or_source_unknown,rejected_non_event,medium,low,false,false,false,false,false,true,contexto ou geometria insuficiente
S16ALOCG_00079,PROJECT_ROOT/data/raw/curitiba/geocuritiba/layer_41_metadata.json,curitiba,curitiba,layer_41_metadata.json,non_event_context,context,,,,Feature Layer,,,,,,EPSG:4326_or_source_unknown,rejected_non_event,medium,low,false,false,false,false,false,true,contexto ou geometria insuficiente
S16ALOCG_00080,PROJECT_ROOT/data/raw/curitiba/geocuritiba/layer_42_metadata.json,curitiba,curitiba,layer_42_metadata.json,non_event_context,context,,,,Feature Layer,,,,,,EPSG:4326_or_source_unknown,rejected_non_event,medium,low,false,false,false,false,false,true,contexto ou geometria insuficiente
S16ALOCG_00081,PROJECT_ROOT/data/raw/curitiba/geocuritiba/layer_42_Vala.geojson,curitiba,curitiba,layer_42_Vala.geojson,non_event_context,context,,,,LineString,,,-49.38875904;-25.64181558;-49.18592624;-25.34730511,,PROJECT_ROOT/data/raw/curitiba/geocuritiba/layer_42_Vala.geojson,EPSG:4326_or_source_unknown,rejected_non_event,medium,low,false,false,false,false,false,true,contexto ou geometria insuficiente
S16ALOCG_00082,PROJECT_ROOT/data/raw/curitiba/geocuritiba/layer_43_Corredeira.geojson,curitiba,curitiba,layer_43_Corredeira.geojson,non_event_context,context,,,,LineString,,,-49.34240111;-25.55444176;-49.18964104;-25.37615462,,PROJECT_ROOT/data/raw/curitiba/geocuritiba/layer_43_Corredeira.geojson,EPSG:4326_or_source_unknown,rejected_non_event,medium,low,false,false,false,false,false,true,contexto ou geometria insuficiente
S16ALOCG_00083,PROJECT_ROOT/data/raw/curitiba/geocuritiba/layer_43_metadata.json,curitiba,curitiba,layer_43_metadata.json,non_event_context,context,,,,Feature Layer,,,,,,EPSG:4326_or_source_unknown,rejected_non_event,medium,low,false,false,false,false,false,true,contexto ou geometria insuficiente
S16ALOCG_00084,PROJECT_ROOT/data/raw/curitiba/geocuritiba/layer_44_Comporta.geojson,curitiba,curitiba,layer_44_Comporta.geojson,non_event_context,context,,,,LineString,,,-49.36811666;-25.51761206;-49.21259167;-25.44275525,,PROJECT_ROOT/data/raw/curitiba/geocuritiba/layer_44_Comporta.geojson,EPSG:4326_or_source_unknown,rejected_non_event,medium,low,false,false,false,false,false,true,contexto ou geometria insuficiente
S16ALOCG_00085,PROJECT_ROOT/data/raw/curitiba/geocuritiba/layer_44_metadata.json,curitiba,curitiba,layer_44_metadata.json,non_event_context,context,,,,Feature Layer,,,,,,EPSG:4326_or_source_unknown,rejected_non_event,medium,low,false,false,false,false,false,true,contexto ou geometria insuficiente
S16ALOCG_00086,PROJECT_ROOT/data/raw/curitiba/geocuritiba/layer_45_Barragem.geojson,curitiba,curitiba,layer_45_Barragem.geojson,non_event_context,context,,,,LineString,,,-49.38469700;-25.63287603;-49.18802803;-25.35368997,,PROJECT_ROOT/data/raw/curitiba/geocuritiba/layer_45_Barragem.geojson,EPSG:4326_or_source_unknown,rejected_non_event,medium,low,false,false,false,false,false,true,contexto ou geometria insuficiente
S16ALOCG_00087,PROJECT_ROOT/data/raw/curitiba/geocuritiba/layer_45_metadata.json,curitiba,curitiba,layer_45_metadata.json,non_event_context,context,,,,Feature Layer,,,,,,EPSG:4326_or_source_unknown,rejected_non_event,medium,low,false,false,false,false,false,true,contexto ou geometria insuficiente
S16ALOCG_00088,PROJECT_ROOT/data/raw/curitiba/geocuritiba/layer_46_Dique.geojson,curitiba,curitiba,layer_46_Dique.geojson,non_event_context,context,,,,LineString,,,-49.28526524;-25.55470936;-49.28283157;-25.53425157,,PROJECT_ROOT/data/raw/curitiba/geocuritiba/layer_46_Dique.geojson,EPSG:4326_or_source_unknown,rejected_non_event,medium,low,false,false,false,false,false,true,contexto ou geometria insuficiente
