reference_feature_id,region,source_id,feature_type,name,normalized_name,neighborhood,normalized_neighborhood,geometry_type,lat,lon,bbox,wkt,geojson_ref,crs,source_confidence,parse_confidence,review_only
S14AFEAT_000234,recife,S14AREF_0012,address_point,2º TRV. RABILO Nº 192,trv rabilo,Ibura,ibura,point,-8.13253,-34.954295,-34.954295;-8.13253;-34.954295;-8.13253,,datasets/suscetibilidade/observed_event_sources_susc13c_live/ckan/coordenadas-geograficas-da-regiao-sul.geojson,EPSG:4326,medium,medium,true
S14AFEAT_000235,recife,S14AREF_0012,address_point,2º TRV. RABILO Nº 406,trv rabilo,Ibura,ibura,point,-8.132476,-34.954286,-34.954286;-8.132476;-34.954286;-8.132476,,datasets/suscetibilidade/observed_event_sources_susc13c_live/ckan/coordenadas-geograficas-da-regiao-sul.geojson,EPSG:4326,medium,medium,true
S14AFEAT_000236,recife,S14AREF_0012,address_point,2º TRV. RABILO Nº 405,trv rabilo,Ibura,ibura,point,-8.132503,-34.954395,-34.954395;-8.132503;-34.954395;-8.132503,,datasets/suscetibilidade/observed_event_sources_susc13c_live/ckan/coordenadas-geograficas-da-regiao-sul.geojson,EPSG:4326,medium,medium,true
S14AFEAT_000237,recife,S14AREF_0012,address_point,2º TRV. RABILO Nº 404,trv rabilo,Ibura,ibura,point,-8.132431,-34.954395,-34.954395;-8.132431;-34.954395;-8.132431,,datasets/suscetibilidade/observed_event_sources_susc13c_live/ckan/coordenadas-geograficas-da-regiao-sul.geojson,EPSG:4326,medium,medium,true
S14AFEAT_000238,recife,S14AREF_0012,address_point,2º TRV. RABILO Nº 384 B,trv rabilo b,Ibura,ibura,point,-8.132476,-34.954422,-34.954422;-8.132476;-34.954422;-8.132476,,datasets/suscetibilidade/observed_event_sources_susc13c_live/ckan/coordenadas-geograficas-da-regiao-sul.geojson,EPSG:4326,medium,medium,true
S14AFEAT_000239,recife,S14AREF_0012,address_point,2º TRV. RABILO Nº 384 A,trv rabilo a,Ibura,ibura,point,-8.132484,-34.954495,-34.954495;-8.132484;-34.954495;-8.132484,,datasets/suscetibilidade/observed_event_sources_susc13c_live/ckan/coordenadas-geograficas-da-regiao-sul.geojson,EPSG:4326,medium,medium,true
S14AFEAT_000240,recife,S14AREF_0012,address_point,2º TRV. RABILO Nº 87 A,trv rabilo a,Ibura,ibura,point,-8.132484,-34.954622,-34.954622;-8.132484;-34.954622;-8.132484,,datasets/suscetibilidade/observed_event_sources_susc13c_live/ckan/coordenadas-geograficas-da-regiao-sul.geojson,EPSG:4326,medium,medium,true
S14AFEAT_000241,recife,S14AREF_0012,address_point,2º TRV. RABILO Nº 87 B,trv rabilo b,Ibura,ibura,point,-8.13257,-34.957271,-34.957271;-8.13257;-34.957271;-8.13257,,datasets/suscetibilidade/observed_event_sources_susc13c_live/ckan/coordenadas-geograficas-da-regiao-sul.geojson,EPSG:4326,medium,medium,true
S14AFEAT_000242,recife,S14AREF_0012,address_point,RABILO Nº 384,rabilo,Ibura,ibura,point,-8.132393,-34.954712,-34.954712;-8.132393;-34.954712;-8.132393,,datasets/suscetibilidade/observed_event_sources_susc13c_live/ckan/coordenadas-geograficas-da-regiao-sul.geojson,EPSG:4326,medium,medium,true
S14AFEAT_000243,recife,S14AREF_0012,address_point,RABILO Nº 382,rabilo,Ibura,ibura,point,-8.132429,-34.954767,-34.954767;-8.132429;-34.954767;-8.132429,,datasets/suscetibilidade/observed_event_sources_susc13c_live/ckan/coordenadas-geograficas-da-regiao-sul.geojson,EPSG:4326,medium,medium,true
