event_id,source_lineage,region,municipality,event_type,event_date,event_period_start,event_period_end,source_institution,source_title,source_url,local_file_path,evidence_level,georeferencing_status,geometry_type,lat,lon,bbox,wkt,geojson_ref,crs,spatial_precision,temporal_precision,is_observed_event,source_confidence,geocoding_confidence,priority_rank,duplicate_group_id,duplicate_candidate,preferred_record,requires_manual_review,can_be_ground_truth,can_be_used_as_ground_truth,allowed_for_training,review_only,consolidation_notes
SUSC14A_00010,susc_14a_geocoded,recife,Recife,urban_flooding,2014-07-13,,,Defesa Civil Recife (atendimentos),"Alagamentos Analise Visual Estrutural Monitoramento Alagado | Avenida Dois Rios, 9<-%",,,weak_official_neighborhood_context,official_neighborhood_only,text_only,,,,,,EPSG:4326,neighborhood,day,false,low,none,20,DUPG14A_00003,true,false,true,false,false,false,true,ocorrencia oficial geocodificada 14A; ref=; bairro=Ibura
SUSC14A_00011,susc_14a_geocoded,recife,Recife,urban_flooding,2014-07-02,,,Defesa Civil Recife (atendimentos),"Imóveis Alagados Imóveis Alagados Monitoramento Alagado | Rua Ecoporanga e Adjacencias, @}>",,,weak_official_neighborhood_context,official_neighborhood_only,text_only,,,,,,EPSG:4326,neighborhood,day,false,low,none,20,DUPG14A_00002,false,true,true,false,false,false,true,ocorrencia oficial geocodificada 14A; ref=; bairro=Ibura
SUSC14A_00012,susc_14a_geocoded,recife,Recife,urban_flooding,2016-04-16,,,Defesa Civil Recife (atendimentos),"Imóveis Alagados Encaminhamentos aos Parceiros Vistoria | Rua Ponte Preta, .<^&",,,weak_official_neighborhood_context,official_neighborhood_only,text_only,,,,,,EPSG:4326,neighborhood,day,false,low,none,20,DUPG14A_00004,false,true,true,false,false,false,true,ocorrencia oficial geocodificada 14A; ref=; bairro=Ibura
SUSC14A_00013,susc_14a_geocoded,recife,Recife,urban_flooding,2017-04-13,,,Defesa Civil Recife (atendimentos),"Imóveis com Danos / Risco Mapeamento de Area de Risco Monitoramento Alagado | Avenida Dois Rios, >#'\",,,weak_official_neighborhood_context,official_neighborhood_only,text_only,,,,,,EPSG:4326,neighborhood,day,false,low,none,20,DUPG14A_00005,true,true,true,false,false,false,true,ocorrencia oficial geocodificada 14A; ref=; bairro=Jordao
SUSC14A_00014,susc_14a_geocoded,recife,Recife,urban_flooding,2017-04-13,,,Defesa Civil Recife (atendimentos),"Imóveis com Danos / Risco Mapeamento de Area de Risco Monitoramento Alagado | Avenida Maria Irene, @}>",,,weak_official_neighborhood_context,official_neighborhood_only,text_only,,,,,,EPSG:4326,neighborhood,day,false,low,none,20,DUPG14A_00005,true,false,true,false,false,false,true,ocorrencia oficial geocodificada 14A; ref=; bairro=Jordao
SUSC14A_00015,susc_14a_geocoded,recife,Recife,urban_flooding,2017-04-19,,,Defesa Civil Recife (atendimentos),"Imóveis com Danos / Risco Mapeamento de Area de Risco Monitoramento Alagado | Rua Moxoto, %$<!",,,weak_official_neighborhood_context,official_neighborhood_only,text_only,,,,,,EPSG:4326,neighborhood,day,false,low,none,20,DUPG14A_00006,true,true,true,false,false,false,true,ocorrencia oficial geocodificada 14A; ref=; bairro=Ibura
SUSC14A_00016,susc_14a_geocoded,recife,Recife,urban_flooding,2017-04-19,,,Defesa Civil Recife (atendimentos),"Imóveis com Danos / Risco Mapeamento de Area de Risco Monitoramento Alagado | Rua Moxoto, ^[{",,,weak_official_neighborhood_context,official_neighborhood_only,text_only,,,,,,EPSG:4326,neighborhood,day,false,low,none,20,DUPG14A_00006,true,false,true,false,false,false,true,ocorrencia oficial geocodificada 14A; ref=; bairro=Ibura
SUSC14A_00017,susc_14a_geocoded,recife,Recife,urban_flooding,2017-04-19,,,Defesa Civil Recife (atendimentos),"Imóveis com Danos / Risco Mapeamento de Area de Risco Monitoramento Alagado | Rua Moxoto, #^>",,,weak_official_neighborhood_context,official_neighborhood_only,text_only,,,,,,EPSG:4326,neighborhood,day,false,low,none,20,DUPG14A_00006,true,false,true,false,false,false,true,ocorrencia oficial geocodificada 14A; ref=; bairro=Ibura
SUSC14A_00018,susc_14a_geocoded,recife,Recife,urban_flooding,2017-04-19,,,Defesa Civil Recife (atendimentos),"Imóveis com Danos / Risco Mapeamento de Area de Risco Monitoramento Alagado | Rua Moxoto, /@9=",,,weak_official_neighborhood_context,official_neighborhood_only,text_only,,,,,,EPSG:4326,neighborhood,day,false,low,none,20,DUPG14A_00006,true,false,true,false,false,false,true,ocorrencia oficial geocodificada 14A; ref=; bairro=Ibura
SUSC14A_00019,susc_14a_geocoded,recife,Recife,urban_flooding,2017-04-19,,,Defesa Civil Recife (atendimentos),"Imóveis com Danos / Risco Mapeamento de Area de Risco Monitoramento Alagado | Rua Moxoto, +?""]",,,weak_official_neighborhood_context,official_neighborhood_only,text_only,,,,,,EPSG:4326,neighborhood,day,false,low,none,20,DUPG14A_00006,true,false,true,false,false,false,true,ocorrencia oficial geocodificada 14A; ref=; bairro=Ibura
