package_id,previous_promotion_decision,previous_blocking_reason,has_patch_overlay_before,has_patch_overlay_after,intersection_ratio,overlay_status,new_promotion_candidate_level,new_promotion_decision,new_allowed_use,remaining_blocking_reason,requires_human_review,can_create_operational_label
PKG_b127c8adbe24,C3_SECONDARY_EVALUATION_HOLD_FOR_OVERLAY,NO_PATCH_EVENT_OVERLAY_GEOMETRY,false,false,0.000,BLOCKED_MISSING_PATCH_GEOMETRY,C3,C3_SECONDARY_EVALUATION_HOLD_FOR_OVERLAY,secondary_evaluation_candidate,NO_PATCH_BOUNDARY_GEOMETRY_AVAILABLE,false,false
PKG_b13e54b00c17,C3_SECONDARY_EVALUATION_HOLD_FOR_OVERLAY,NO_PATCH_EVENT_OVERLAY_GEOMETRY,false,false,0.000,BLOCKED_MISSING_PATCH_GEOMETRY,C3,C3_SECONDARY_EVALUATION_HOLD_FOR_OVERLAY,secondary_evaluation_candidate,NO_PATCH_BOUNDARY_GEOMETRY_AVAILABLE,false,false
PKG_b1887331653e,C3_CANDIDATE_REFERENCE_HOLD_FOR_OVERLAY,NO_PATCH_EVENT_OVERLAY_GEOMETRY,false,false,0.000,BLOCKED_MISSING_PATCH_GEOMETRY,C3,C3_CANDIDATE_REFERENCE_HOLD_FOR_OVERLAY,candidate_reference,NO_PATCH_BOUNDARY_GEOMETRY_AVAILABLE,false,false
PKG_b52a6ec0cbdd,C3_SECONDARY_EVALUATION_HOLD_FOR_OVERLAY,NO_PATCH_EVENT_OVERLAY_GEOMETRY,false,false,0.000,BLOCKED_MISSING_PATCH_GEOMETRY,C3,C3_SECONDARY_EVALUATION_HOLD_FOR_OVERLAY,secondary_evaluation_candidate,NO_PATCH_BOUNDARY_GEOMETRY_AVAILABLE,false,false
PKG_b562d9c56f5b,C3_SECONDARY_EVALUATION_HOLD_FOR_OVERLAY,NO_PATCH_EVENT_OVERLAY_GEOMETRY,false,false,0.000,BLOCKED_MISSING_PATCH_GEOMETRY,C3,C3_SECONDARY_EVALUATION_HOLD_FOR_OVERLAY,secondary_evaluation_candidate,NO_PATCH_BOUNDARY_GEOMETRY_AVAILABLE,false,false
PKG_b8dee4c7fd73,C3_SECONDARY_EVALUATION_HOLD_FOR_OVERLAY,NO_PATCH_EVENT_OVERLAY_GEOMETRY,false,false,0.000,BLOCKED_MISSING_PATCH_GEOMETRY,C3,C3_SECONDARY_EVALUATION_HOLD_FOR_OVERLAY,secondary_evaluation_candidate,NO_PATCH_BOUNDARY_GEOMETRY_AVAILABLE,false,false
PKG_b9f6d100090c,C3_SECONDARY_EVALUATION_HOLD_FOR_OVERLAY,NO_PATCH_EVENT_OVERLAY_GEOMETRY,false,false,0.000,BLOCKED_MISSING_PATCH_GEOMETRY,C3,C3_SECONDARY_EVALUATION_HOLD_FOR_OVERLAY,secondary_evaluation_candidate,NO_PATCH_BOUNDARY_GEOMETRY_AVAILABLE,false,false
PKG_ba336609b04e,C3_SECONDARY_EVALUATION_HOLD_FOR_OVERLAY,NO_PATCH_EVENT_OVERLAY_GEOMETRY,false,false,0.000,BLOCKED_MISSING_PATCH_GEOMETRY,C3,C3_SECONDARY_EVALUATION_HOLD_FOR_OVERLAY,secondary_evaluation_candidate,NO_PATCH_BOUNDARY_GEOMETRY_AVAILABLE,false,false
PKG_baec51d28f7c,C3_SECONDARY_EVALUATION_HOLD_FOR_OVERLAY,NO_PATCH_EVENT_OVERLAY_GEOMETRY,false,false,0.000,BLOCKED_MISSING_PATCH_GEOMETRY,C3,C3_SECONDARY_EVALUATION_HOLD_FOR_OVERLAY,secondary_evaluation_candidate,NO_PATCH_BOUNDARY_GEOMETRY_AVAILABLE,false,false
PKG_bd16d6aee67a,C3_SECONDARY_EVALUATION_HOLD_FOR_OVERLAY,NO_PATCH_EVENT_OVERLAY_GEOMETRY,false,false,0.000,BLOCKED_MISSING_PATCH_GEOMETRY,C3,C3_SECONDARY_EVALUATION_HOLD_FOR_OVERLAY,secondary_evaluation_candidate,NO_PATCH_BOUNDARY_GEOMETRY_AVAILABLE,false,false
