risk_area_id,source_file,feature_index,geometry_type,crs,area_m2,bbox_minx,bbox_miny,bbox_maxx,bbox_maxy,attributes_summary,geometry_hash,allowed_use,blocking_reason,notes
V2BC_RISK_674b9922782e,raw/recife_defesa_civil_risk_areas_geojson.geojson,273,Point,EPSG:4326_INFERRED_FROM_LON_LAT_FIELDS,0,-34.94279458980213,-8.108610254429701,-34.94279458980213,-8.108610254429701,"Bairro=Ibura; Descrição=Área de Risco Nível 3; Endereço=Rua Monsenhor João Olimpio dos Santos, nº 92; Latitude=-8.10861; Localidade=Vila do Sesi; Longitude=-34.942795; Regional=SUL",9e15fc9b63d515c7b9dec4d0fb7dcfeabbd445358158502fdf0dca7b0298b3d6,context_only,POINT_CONTEXT_NOT_OBSERVED_EVENT_POLYGON,"Source calls these risk areas, but supplied geometry is a point location."
V2BC_RISK_1f0010f64a7f,raw/recife_defesa_civil_risk_areas_geojson.geojson,274,Point,EPSG:4326_INFERRED_FROM_LON_LAT_FIELDS,0,-34.942803487828506,-8.108574050083394,-34.942803487828506,-8.108574050083394,"Bairro=Ibura; Descrição=Área de Risco Nível 3; Endereço=Rua Monsenhor João Olimpio dos Santos, nº S/N; Latitude=-8.108574; Localidade=Vila do Sesi; Longitude=-34.942803; Regional=SUL",a527bf7522e1f96531eee528bda362c89c51935c3bc5c32dfcdc5175144d5079,context_only,POINT_CONTEXT_NOT_OBSERVED_EVENT_POLYGON,"Source calls these risk areas, but supplied geometry is a point location."
V2BC_RISK_235d0774ab26,raw/recife_defesa_civil_risk_areas_geojson.geojson,275,Point,EPSG:4326_INFERRED_FROM_LON_LAT_FIELDS,0,-34.94274918817744,-8.108601430425088,-34.94274918817744,-8.108601430425088,"Bairro=Ibura; Descrição=Área de Risco Nível 3; Endereço=Rua Monsenhor João Olimpio dos Santos, nº S/N; Latitude=-8.108601; Localidade=Vila do Sesi; Longitude=-34.942749; Regional=SUL",0f207feec5b2bf788ea2f7d4d4c547275f2ba6ddc3aaf875913c28178d7c0089,context_only,POINT_CONTEXT_NOT_OBSERVED_EVENT_POLYGON,"Source calls these risk areas, but supplied geometry is a point location."
V2BC_RISK_91a58dce5a5d,raw/recife_defesa_civil_risk_areas_geojson.geojson,276,Point,EPSG:4326_INFERRED_FROM_LON_LAT_FIELDS,0,-34.94280405208913,-8.10869157363204,-34.94280405208913,-8.10869157363204,"Bairro=Ibura; Descrição=Área de Risco Nível 3; Endereço=Rua Monsenhor João Olimpio dos Santos, nº 82; Latitude=-8.108692; Localidade=Vila do Sesi; Longitude=-34.942804; Regional=SUL",19d95effdf248624c285288ef36952a07d5f55c058386896e5583872c548157c,context_only,POINT_CONTEXT_NOT_OBSERVED_EVENT_POLYGON,"Source calls these risk areas, but supplied geometry is a point location."
V2BC_RISK_88a53b19ee53,raw/recife_defesa_civil_risk_areas_geojson.geojson,277,Point,EPSG:4326_INFERRED_FROM_LON_LAT_FIELDS,0,-34.94280409549414,-8.108700613904983,-34.94280409549414,-8.108700613904983,"Bairro=Ibura; Descrição=Área de Risco Nível 3; Endereço=Rua Monsenhor João Olimpio dos Santos, nº 82A; Latitude=-8.108701; Localidade=Vila do Sesi; Longitude=-34.942804; Regional=SUL",deb93d21a2cb8805036d2b5c1423f2f47a8d9dec0b4b60e5b316fd599ffe8c48,context_only,POINT_CONTEXT_NOT_OBSERVED_EVENT_POLYGON,"Source calls these risk areas, but supplied geometry is a point location."
V2BC_RISK_66b46a1cffe4,raw/recife_defesa_civil_risk_areas_geojson.geojson,278,Point,EPSG:4326_INFERRED_FROM_LON_LAT_FIELDS,0,-34.942949675911045,-8.108790324521713,-34.942949675911045,-8.108790324521713,"Bairro=Ibura; Descrição=Área de Risco Nível 3; Endereço=Rua Monsenhor João Olimpio dos Santos, nº 83; Latitude=-8.10879; Localidade=Vila do Sesi; Longitude=-34.94295; Regional=SUL",06015295dc4df3acc158a1e27535d7b1d9d3ea0eafc5819e772c83bda0d540c2,context_only,POINT_CONTEXT_NOT_OBSERVED_EVENT_POLYGON,"Source calls these risk areas, but supplied geometry is a point location."
V2BC_RISK_06b0bc3d6324,raw/recife_defesa_civil_risk_areas_geojson.geojson,279,Point,EPSG:4326_INFERRED_FROM_LON_LAT_FIELDS,0,-34.94262222855418,-8.108611076223802,-34.94262222855418,-8.108611076223802,"Bairro=Ibura; Descrição=Não Informado; Endereço=Rua Monsenhor João Olimpio dos Santos, nº S/N; Latitude=-8.108611; Localidade=Vila do Sesi; Longitude=-34.942622; Regional=SUL",17094460fd2dff5fd8731a24e2bad3f229aa9f30d493f20482b2cf51f94feaa9,context_only,POINT_CONTEXT_NOT_OBSERVED_EVENT_POLYGON,"Source calls these risk areas, but supplied geometry is a point location."
V2BC_RISK_fd88223e50dd,raw/recife_defesa_civil_risk_areas_geojson.geojson,280,Point,EPSG:4326_INFERRED_FROM_LON_LAT_FIELDS,0,-34.94259505701854,-8.108620246248218,-34.94259505701854,-8.108620246248218,"Bairro=Ibura; Descrição=Não Informado; Endereço=Rua Monsenhor João Olimpio dos Santos, nº 93; Latitude=-8.10862; Localidade=Vila do Sesi; Longitude=-34.942595; Regional=SUL",4cfd397df1cb9173267267ff8b285fcbbdfeeea7230846d8c24933c1805e89c3,context_only,POINT_CONTEXT_NOT_OBSERVED_EVENT_POLYGON,"Source calls these risk areas, but supplied geometry is a point location."
V2BC_RISK_7d55030f3832,raw/recife_defesa_civil_risk_areas_geojson.geojson,281,Point,EPSG:4326_INFERRED_FROM_LON_LAT_FIELDS,0,-34.94073397914089,-8.136663659265272,-34.94073397914089,-8.136663659265272,"Bairro=Jordão; Descrição=Área de Risco Nível 3; Endereço=Rua 4ª TRAV. IRAKITAN,Nº 533; Latitude=-8.136664; Localidade=Jordão Alto; Longitude=-34.940734; Regional=SUL",53c27483c926ee0dc13cad81c001cd088db445b07454605088d3a86baecdafcd,context_only,POINT_CONTEXT_NOT_OBSERVED_EVENT_POLYGON,"Source calls these risk areas, but supplied geometry is a point location."
V2BC_RISK_d9bc3123abc3,raw/recife_defesa_civil_risk_areas_geojson.geojson,282,Point,EPSG:4326_INFERRED_FROM_LON_LAT_FIELDS,0,-34.94072499387613,-8.136681783165463,-34.94072499387613,-8.136681783165463,"Bairro=Jordão; Descrição=Área de Risco Nível 3; Endereço=Rua 4ª TRAV. IRAKITAN,Nº 531; Latitude=-8.136682; Localidade=Jordão Alto; Longitude=-34.940725; Regional=SUL",10f79b2da924bfef30db72e14df54b4351b44696a2b8323ed02dce0e4c5f1b4b,context_only,POINT_CONTEXT_NOT_OBSERVED_EVENT_POLYGON,"Source calls these risk areas, but supplied geometry is a point location."
V2BC_RISK_0561b32c27f2,raw/recife_defesa_civil_risk_areas_geojson.geojson,283,Point,EPSG:4326_INFERRED_FROM_LON_LAT_FIELDS,0,-34.94074261632307,-8.136573213191646,-34.94074261632307,-8.136573213191646,"Bairro=Jordão; Descrição=Área de Risco Nível 3; Endereço=Rua 4ª TRAV. IRAKITAN,Nº 09; Latitude=-8.136573; Localidade=Jordão Alto; Longitude=-34.940743; Regional=SUL",3004f2f042a55d8e62278211ada0c13499bc5bc79280003a1c01b0c6e1ec3a13,context_only,POINT_CONTEXT_NOT_OBSERVED_EVENT_POLYGON,"Source calls these risk areas, but supplied geometry is a point location."
V2BC_RISK_1bbce5200a51,raw/recife_defesa_civil_risk_areas_geojson.geojson,284,Point,EPSG:4326_INFERRED_FROM_LON_LAT_FIELDS,0,-34.94075173211633,-8.136582210106672,-34.94075173211633,-8.136582210106672,"Bairro=Jordão; Descrição=Área de Risco Nível 3; Endereço=Rua 4ª TRAV. IRAKITAN,Nº 10; Latitude=-8.136582; Localidade=Jordão Alto; Longitude=-34.940752; Regional=SUL",7ff83ef491dbad32139a19206ce498ba6813e47825007d00a5bc285fc66e46d9,context_only,POINT_CONTEXT_NOT_OBSERVED_EVENT_POLYGON,"Source calls these risk areas, but supplied geometry is a point location."
