model,feature,coef_standardized,se,ci_low_95,ci_high_95,p_value,expected_sign,sign_matches_expected
A_physical_only,intercept,0.2204,0.2187,-0.2084,0.6491,0.3137,0,
A_physical_only,rain_decay_index_api_chirps,1.0091,0.306,0.4094,1.6088,0.001,1,True
A_physical_only,twi_dinf,0.3365,0.2227,-0.1,0.7729,0.1308,1,True
A_physical_only,slope_deg,0.1316,0.21,-0.2799,0.5432,0.5307,-1,False
B_physical_plus_dino,intercept,0.228,0.2225,-0.2082,0.6642,0.3056,0,
B_physical_plus_dino,rain_decay_index_api_chirps,1.0317,0.3073,0.4294,1.634,0.0008,1,True
B_physical_plus_dino,twi_dinf,0.3285,0.2391,-0.1401,0.7971,0.1694,1,True
B_physical_plus_dino,slope_deg,0.1574,0.2163,-0.2665,0.5814,0.4667,-1,False
B_physical_plus_dino,dino_pca1,0.3292,0.2151,-0.0923,0.7508,0.1259,0,
B_physical_plus_dino,dino_pca2,-0.3329,0.2484,-0.8198,0.1541,0.1803,0,
