crosswalk_id,event_window_id,event_candidate_id,region,source_name,source_family,evidence_type,context_summary,intake_status,manual_review_required,license_note,review_only,does_not_validate_event,can_create_operational_label,can_train_model,target_created,ground_truth_operational,formal_negative,notes
V1SV_CW1490c8a927,V1SS_W0000,PET2022_CPRM_ANEXOII_19022022,PET,INMET,OFFICIAL_HYDROMETEOROLOGICAL,HYDROMETEOROLOGICAL_CONTEXT,n_stations=9; max_rain_7d=110.2mm; region=PET; date=2022-02-19,HYDROMET_CONTEXT_READY_FOR_MANUAL_INTAKE,true,PUBLIC_OFFICIAL_SOURCE_NEEDS_LICENSE_REVIEW,true,true,false,false,false,false,false,
V1SV_CW72891327dd,V1SS_W0001,PET2022_CPRM_ANEXOIII_20022022,PET,INMET,OFFICIAL_HYDROMETEOROLOGICAL,HYDROMETEOROLOGICAL_CONTEXT,n_stations=9; max_rain_7d=115.6mm; region=PET; date=2022-02-20,HYDROMET_CONTEXT_READY_FOR_MANUAL_INTAKE,true,PUBLIC_OFFICIAL_SOURCE_NEEDS_LICENSE_REVIEW,true,true,false,false,false,false,false,
V1SV_CW7a75b34d76,V1SS_W0002,PET2022_CPRM_ANEXOIV_22022022,PET,INMET,OFFICIAL_HYDROMETEOROLOGICAL,HYDROMETEOROLOGICAL_CONTEXT,n_stations=9; max_rain_7d=119.4mm; region=PET; date=2022-02-22,HYDROMET_CONTEXT_READY_FOR_MANUAL_INTAKE,true,PUBLIC_OFFICIAL_SOURCE_NEEDS_LICENSE_REVIEW,true,true,false,false,false,false,false,
V1SV_CW6e22bd3193,V1SS_W0003,PET2022_CPRM_ANEXOIX_28022022,PET,INMET,OFFICIAL_HYDROMETEOROLOGICAL,HYDROMETEOROLOGICAL_CONTEXT,n_stations=8; max_rain_7d=72.2mm; region=PET; date=2022-02-28,HYDROMET_CONTEXT_READY_FOR_MANUAL_INTAKE,true,PUBLIC_OFFICIAL_SOURCE_NEEDS_LICENSE_REVIEW,true,true,false,false,false,false,false,
V1SV_CWe44e8ac7b9,V1SS_W0004,PET2022_CPRM_ANEXOV_23022022,PET,INMET,OFFICIAL_HYDROMETEOROLOGICAL,HYDROMETEOROLOGICAL_CONTEXT,n_stations=9; max_rain_7d=123.8mm; region=PET; date=2022-02-23,HYDROMET_CONTEXT_READY_FOR_MANUAL_INTAKE,true,PUBLIC_OFFICIAL_SOURCE_NEEDS_LICENSE_REVIEW,true,true,false,false,false,false,false,
V1SV_CWb2688cde2e,V1SS_W0005,PET2022_CPRM_ANEXOVI_24022022,PET,INMET,OFFICIAL_HYDROMETEOROLOGICAL,HYDROMETEOROLOGICAL_CONTEXT,n_stations=9; max_rain_7d=123.2mm; region=PET; date=2022-02-24,HYDROMET_CONTEXT_READY_FOR_MANUAL_INTAKE,true,PUBLIC_OFFICIAL_SOURCE_NEEDS_LICENSE_REVIEW,true,true,false,false,false,false,false,
V1SV_CW317b6be04b,V1SS_W0006,PET2022_CPRM_ANEXOX_01032022,PET,INMET,OFFICIAL_HYDROMETEOROLOGICAL,HYDROMETEOROLOGICAL_CONTEXT,n_stations=8; max_rain_7d=70.4mm; region=PET; date=2022-03-01,HYDROMET_CONTEXT_READY_FOR_MANUAL_INTAKE,true,PUBLIC_OFFICIAL_SOURCE_NEEDS_LICENSE_REVIEW,true,true,false,false,false,false,false,
V1SV_CWf31fdc1cea,V1SS_W0007,PET2022_CPRM_ANEXOXI_02032022,PET,INMET,OFFICIAL_HYDROMETEOROLOGICAL,HYDROMETEOROLOGICAL_CONTEXT,n_stations=8; max_rain_7d=1.8mm; region=PET; date=2022-03-02,HYDROMET_CONTEXT_READY_FOR_MANUAL_INTAKE,true,PUBLIC_OFFICIAL_SOURCE_NEEDS_LICENSE_REVIEW,true,true,false,false,false,false,false,
V1SV_CW0d70080ad4,V1SS_W0008,EVENT_PET2022_CPRM_ANEXOVIII_25022022_260,PET,INMET,OFFICIAL_HYDROMETEOROLOGICAL,HYDROMETEOROLOGICAL_CONTEXT,n_stations=9; max_rain_7d=105.2mm; region=PET; date=2022-02-25,HYDROMET_CONTEXT_READY_FOR_MANUAL_INTAKE,true,PUBLIC_OFFICIAL_SOURCE_NEEDS_LICENSE_REVIEW,true,true,false,false,false,false,false,
