station_id,station_code,station_name,uf,latitude,longitude,region_candidate,source_file,review_only,notes
V1SI_ST_a703,a703,VELOCIDADE HORARIA (m/s);,UF:;,552448.000000,716317.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a704,a704,VELOCIDADE HORARIA (m/s);,UF:;,783333.000000,712222.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a709,a709,VELOCIDADE HORARIA (m/s);,UF:;,30055555.000000,82277777.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a710,a710,VELOCIDADE HORARIA (m/s);,UF:;,695517.000000,181769.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a717,a717,VELOCIDADE HORARIA (m/s);,UF:;,9886111.000000,62277777.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a719,a719,VELOCIDADE HORARIA (m/s);,UF:;,47555554.000000,78388888.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a720,a720,VELOCIDADE HORARIA (m/s);,UF:;,51222222.000000,7361111.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a721,a721,VELOCIDADE HORARIA (m/s);,UF:;,19388888.000000,91138888.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a722,a722,VELOCIDADE HORARIA (m/s);,UF:;,39555555.000000,43166666.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a723,a723,VELOCIDADE HORARIA (m/s);,UF:;,70583333.000000,88666666.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a724,a724,VELOCIDADE HORARIA (m/s);,UF:;,99667.000000,6375.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a730,a730,VELOCIDADE HORARIA (m/s);,UF:;,80222222.000000,6025.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a731,a731,VELOCIDADE HORARIA (m/s);,UF:;,609036.000000,177531.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a732,a732,VELOCIDADE HORARIA (m/s);,UF:;,42027777.000000,55305555.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a742,a742,VELOCIDADE HORARIA (m/s);,UF:;,122471.000000,720732.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a743,a743,VELOCIDADE HORARIA (m/s);,UF:;,774944.000000,528108.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a749,a749,VELOCIDADE HORARIA (m/s);,UF:;,85722222.000000,60555555.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a750,a750,VELOCIDADE HORARIA (m/s);,UF:;,25.000000,32944443.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a751,a751,VELOCIDADE HORARIA (m/s);,UF:;,96694443.000000,2416666.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a752,a752,VELOCIDADE HORARIA (m/s);,UF:;,449501.000000,181858.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a754,a754,VELOCIDADE HORARIA (m/s);,UF:;,98166666.000000,97194443.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a756,a756,VELOCIDADE HORARIA (m/s);,UF:;,44444.000000,87583.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a757,a757,VELOCIDADE HORARIA (m/s);,UF:;,10166666.000000,54083333.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a758,a758,VELOCIDADE HORARIA (m/s);,UF:;,4786111.000000,13777777.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a759,a759,VELOCIDADE HORARIA (m/s);,UF:;,750123.000000,471294.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a760,a760,VELOCIDADE HORARIA (m/s);,UF:;,49277777.000000,17138888.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a761,a761,VELOCIDADE HORARIA (m/s);,UF:;,63527777.000000,76055555.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_s701,s701,VELOCIDADE HORARIA (m/s);,UF:;,148083.000000,763736.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_s702,s702,VELOCIDADE HORARIA (m/s);,UF:;,955028.000000,626.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_s703,s703,VELOCIDADE HORARIA (m/s);,UF:;,945539.000000,368533.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_s704,s704,VELOCIDADE HORARIA (m/s);,UF:;,246756.000000,450442.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_s705,s705,VELOCIDADE HORARIA (m/s);,UF:;,298278.000000,68917.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_s706,s706,VELOCIDADE HORARIA (m/s);,UF:;,657056.000000,819306.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_s707,s707,VELOCIDADE HORARIA (m/s);,UF:;,587528.000000,30083.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_s708,s708,VELOCIDADE HORARIA (m/s);,UF:;,308694.000000,325833.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_s709,s709,VELOCIDADE HORARIA (m/s);,UF:;,644481.000000,570289.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_s710,s710,VELOCIDADE HORARIA (m/s);,UF:;,92833.000000,798833.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_s711,s711,VELOCIDADE HORARIA (m/s);,UF:;,575389.000000,160333.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_s712,s712,VELOCIDADE HORARIA (m/s);,UF:;,450972.000000,341972.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_s713,s713,VELOCIDADE HORARIA (m/s);,UF:;,78528.000000,465889.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_s714,s714,VELOCIDADE HORARIA (m/s);,UF:;,7277777.000000,54888888.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_s715,s715,VELOCIDADE HORARIA (m/s);,UF:;,466694.000000,763028.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_s716,s716,VELOCIDADE HORARIA (m/s);,UF:;,305889.000000,820375.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_s717,s717,VELOCIDADE HORARIA (m/s);,UF:;,351444.000000,430222.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a901,a901,VELOCIDADE HORARIA (m/s);,UF:;,559295.000000,62951.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a902,a902,VELOCIDADE HORARIA (m/s);,UF:;,65.000000,43166666.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a903,a903,VELOCIDADE HORARIA (m/s);,UF:;,45388888.000000,67722221.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a904,a904,VELOCIDADE HORARIA (m/s);,UF:;,555107.000000,722863.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a905,a905,VELOCIDADE HORARIA (m/s);,UF:;,78583333.000000,8386111.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a906,a906,VELOCIDADE HORARIA (m/s);,UF:;,9525.000000,89777777.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a907,a907,VELOCIDADE HORARIA (m/s);,UF:;,4625.000000,58027777.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a908,a908,VELOCIDADE HORARIA (m/s);,UF:;,1638888.000000,21166666.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a909,a909,VELOCIDADE HORARIA (m/s);,UF:;,33944444.000000,22444443.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a910,a910,VELOCIDADE HORARIA (m/s);,UF:;,56333333.000000,3936111.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a911,a911,VELOCIDADE HORARIA (m/s);,UF:;,30388888.000000,76333333.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a912,a912,VELOCIDADE HORARIA (m/s);,UF:;,53138888.000000,13555555.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a913,a913,VELOCIDADE HORARIA (m/s);,UF:;,70805555.000000,7625.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a914,a914,VELOCIDADE HORARIA (m/s);,UF:;,280158.000000,526641.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a915,a915,VELOCIDADE HORARIA (m/s);,UF:;,42138888.000000,361111.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a917,a917,VELOCIDADE HORARIA (m/s);,UF:;,98222221.000000,56611111.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a919,a919,VELOCIDADE HORARIA (m/s);,UF:;,906296.000000,572235.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a920,a920,VELOCIDADE HORARIA (m/s);,UF:;,375126.000000,774785.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a921,a921,VELOCIDADE HORARIA (m/s);,UF:;,61888888.000000,72777777.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a922,a922,VELOCIDADE HORARIA (m/s);,UF:;,6277777.000000,87305554.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a923,a923,VELOCIDADE HORARIA (m/s);,UF:;,57999999.000000,3811111.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a924,a924,VELOCIDADE HORARIA (m/s);,UF:;,7722221.000000,17916666.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a926,a926,VELOCIDADE HORARIA (m/s);,UF:;,970586.000000,827543.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a927,a927,VELOCIDADE HORARIA (m/s);,UF:;,52194443.000000,23138888.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a928,a928,VELOCIDADE HORARIA (m/s);,UF:;,38642.000000,92201.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a929,a929,VELOCIDADE HORARIA (m/s);,UF:;,41111111.000000,75222222.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a930,a930,VELOCIDADE HORARIA (m/s);,UF:;,18472221.000000,2575.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a931,a931,VELOCIDADE HORARIA (m/s);,UF:;,92777777.000000,8836111.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a932,a932,VELOCIDADE HORARIA (m/s);,UF:;,34166666.000000,76611111.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a933,a933,VELOCIDADE HORARIA (m/s);,UF:;,175051.000000,50169.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a934,a934,VELOCIDADE HORARIA (m/s);,UF:;,8411111.000000,28944444.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a935,a935,VELOCIDADE HORARIA (m/s);,UF:;,32472221.000000,22583332.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a936,a936,VELOCIDADE HORARIA (m/s);,UF:;,12472221.000000,12722221.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a937,a937,VELOCIDADE HORARIA (m/s);,UF:;,234582.000000,346215.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a941,a941,VELOCIDADE HORARIA (m/s);,UF:;,7472221.000000,69305555.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a942,a942,VELOCIDADE HORARIA (m/s);,UF:;,48416666.000000,37249999.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a943,a943,VELOCIDADE HORARIA (m/s);,UF:;,98777777.000000,4261111.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a944,a944,VELOCIDADE HORARIA (m/s);,UF:;,82888888.000000,44194444.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a102,a102,VELOCIDADE HORARIA (m/s);,UF:;,35833333.000000,92638888.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a104,a104,VELOCIDADE HORARIA (m/s);,UF:;,95777777.000000,16527777.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a108,a108,VELOCIDADE HORARIA (m/s);,UF:;,61083333.000000,68138888.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a136,a136,VELOCIDADE HORARIA (m/s);,UF:;,26722221.000000,74777777.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a137,a137,VELOCIDADE HORARIA (m/s);,UF:;,95.000000,78666666.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a138,a138,VELOCIDADE HORARIA (m/s);,UF:;,142654.000000,343594.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a140,a140,VELOCIDADE HORARIA (m/s);,UF:;,2388888.000000,73527777.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
