candidate_event_id,event_id,event_date_resolved,date_precision,pre_start,pre_end,post_start,post_end,temporal_eligible,temporal_blocking_reason,review_only,trainable,ground_truth,score_v7_allowed
S17C_REF_0001,EVENT_PET2022_CPRM_ANEXOIII_20022022,2022-02-20,exact_day,2022-01-21,2022-02-13,2022-02-20,2022-02-27,true,not_applicable,true,false,false,false
S17C_REF_0002,EVENT_PET2022_CPRM_ANEXOII_19022022,2022-02-19,exact_day,2022-01-20,2022-02-12,2022-02-19,2022-02-26,true,not_applicable,true,false,false,false
S17C_REF_0003,EVENT_PET2022_CPRM_ANEXOIV_22022022,2022-02-22,exact_day,2022-01-23,2022-02-15,2022-02-22,2022-03-01,true,not_applicable,true,false,false,false
S17C_REF_0004,EVENT_PET2022_CPRM_ANEXOIX_28022022,2022-02-28,exact_day,2022-01-29,2022-02-21,2022-02-28,2022-03-07,true,not_applicable,true,false,false,false
S17C_REF_0005,EVENT_PET2022_CPRM_ANEXOVIII_25022022_260,not_available,unknown,not_available,not_available,not_available,not_available,false,unknown_date_blocks_sar,true,false,false,false
S17C_REF_0006,EVENT_PET2022_CPRM_ANEXOVII_24022022,2022-02-24,exact_day,2022-01-25,2022-02-17,2022-02-24,2022-03-03,true,not_applicable,true,false,false,false
S17C_REF_0007,EVENT_PET2022_CPRM_ANEXOV_23022022,2022-02-23,exact_day,2022-01-24,2022-02-16,2022-02-23,2022-03-02,true,not_applicable,true,false,false,false
S17C_REF_0008,EVENT_PET2022_CPRM_ANEXOXI_02032022,2022-03-02,exact_day,2022-01-31,2022-02-23,2022-03-02,2022-03-09,true,not_applicable,true,false,false,false
S17C_REF_0009,EVENT_PET2022_CPRM_ANEXOX_01032022,2022-03-01,exact_day,2022-01-30,2022-02-22,2022-03-01,2022-03-08,true,not_applicable,true,false,false,false
S17C_REF_0010,PET_2022_02_15,2022-02-15,exact_day,2022-01-16,2022-02-08,2022-02-15,2022-02-22,true,not_applicable,true,false,false,false
S17C_REF_0011,REC_2022_05_24_30,2022-05-26,exact_day,2022-04-26,2022-05-19,2022-05-26,2022-06-02,true,not_applicable,true,false,false,false
S17C_REF_0012,CUR_HISTORICAL,not_available,unknown,not_available,not_available,not_available,not_available,false,unknown_date_blocks_sar,true,false,false,false
S17C_REF_0013,PET2022_CPRM_ANEXOII_19022022,2022-02-19,exact_day,2022-01-20,2022-02-12,2022-02-19,2022-02-26,true,not_applicable,true,false,false,false
S17C_REF_0014,PET2022_CPRM_ANEXOIII_20022022,2022-02-20,exact_day,2022-01-21,2022-02-13,2022-02-20,2022-02-27,true,not_applicable,true,false,false,false
S17C_REF_0015,PET2022_CPRM_ANEXOIV_22022022,2022-02-22,exact_day,2022-01-23,2022-02-15,2022-02-22,2022-03-01,true,not_applicable,true,false,false,false
S17C_REF_0016,PET2022_CPRM_ANEXOIX_28022022,2022-02-28,exact_day,2022-01-29,2022-02-21,2022-02-28,2022-03-07,true,not_applicable,true,false,false,false
S17C_REF_0017,PET2022_CPRM_ANEXOV_23022022,2022-02-23,exact_day,2022-01-24,2022-02-16,2022-02-23,2022-03-02,true,not_applicable,true,false,false,false
S17C_REF_0018,PET2022_CPRM_ANEXOVI_24022022,2022-02-24,exact_day,2022-01-25,2022-02-17,2022-02-24,2022-03-03,true,not_applicable,true,false,false,false
S17C_REF_0019,PET2022_CPRM_ANEXOVII_24022022,2022-02-24,exact_day,2022-01-25,2022-02-17,2022-02-24,2022-03-03,true,not_applicable,true,false,false,false
S17C_REF_0020,PET2022_CPRM_ANEXOVIII_25022022-260,not_available,unknown,not_available,not_available,not_available,not_available,false,unknown_date_blocks_sar,true,false,false,false
S17C_REF_0021,PET2022_CPRM_ANEXOX_01032022,2022-03-01,exact_day,2022-01-30,2022-02-22,2022-03-01,2022-03-08,true,not_applicable,true,false,false,false
S17C_REF_0022,PET2022_CPRM_ANEXOXI_02032022,2022-03-02,exact_day,2022-01-31,2022-02-23,2022-03-02,2022-03-09,true,not_applicable,true,false,false,false
S17C_REF_0023,PET2022_CPRM_ANEXOMAIN_NODATE,not_available,unknown,not_available,not_available,not_available,not_available,false,unknown_date_blocks_sar,true,false,false,false
S17C_REF_0024,758,not_available,unknown,not_available,not_available,not_available,not_available,false,unknown_date_blocks_sar,true,false,false,false
S17C_REF_0025,CH758_OLINDA_20220603_UNTITLED,not_available,unknown,not_available,not_available,not_available,not_available,false,unknown_date_blocks_sar,true,false,false,false
S17C_REF_0026,CH758_RECIFE_20220602_001,not_available,unknown,not_available,not_available,not_available,not_available,false,unknown_date_blocks_sar,true,false,false,false
S17C_REF_0027,CH758_REMAINING_PRODUCTS_NOT_INVENTORIED,not_available,unknown,not_available,not_available,not_available,not_available,false,unknown_date_blocks_sar,true,false,false,false
S17C_REF_0028,ARP_v2az_0005,not_available,unknown,not_available,not_available,not_available,not_available,false,unknown_date_blocks_sar,true,false,false,false
S17C_REF_0029,CG_v2ba_0001,not_available,unknown,not_available,not_available,not_available,not_available,false,unknown_date_blocks_sar,true,false,false,false
S17C_REF_0030,CG_v2ba_0002,not_available,unknown,not_available,not_available,not_available,not_available,false,unknown_date_blocks_sar,true,false,false,false
S17C_REF_0031,CG_v2ba_0004,not_available,unknown,not_available,not_available,not_available,not_available,false,unknown_date_blocks_sar,true,false,false,false
S17C_REF_0032,CG_v2ba_0007,not_available,unknown,not_available,not_available,not_available,not_available,false,unknown_date_blocks_sar,true,false,false,false
S17C_REF_0033,CG_v2ba_0008,not_available,unknown,not_available,not_available,not_available,not_available,false,unknown_date_blocks_sar,true,false,false,false
S17C_REF_0034,CG_v2ba_0009,not_available,unknown,not_available,not_available,not_available,not_available,false,unknown_date_blocks_sar,true,false,false,false
S17C_REF_0035,CTB_2022_01_15_16,not_available,unknown,not_available,not_available,not_available,not_available,false,unknown_date_blocks_sar,true,false,false,false
S17C_REF_0036,CTB_2023_10_28_30,not_available,unknown,not_available,not_available,not_available,not_available,false,unknown_date_blocks_sar,true,false,false,false
S17C_REF_0037,CTB_2024_02_18_20,not_available,unknown,not_available,not_available,not_available,not_available,false,unknown_date_blocks_sar,true,false,false,false
S17C_REF_0038,CTB_SEEDS_x3,not_available,unknown,not_available,not_available,not_available,not_available,false,unknown_date_blocks_sar,true,false,false,false
S17C_REF_0039,PET_2022_03_20_21,not_available,unknown,not_available,not_available,not_available,not_available,false,unknown_date_blocks_sar,true,false,false,false
S17C_REF_0040,PET_2024_03_21_28,not_available,unknown,not_available,not_available,not_available,not_available,false,unknown_date_blocks_sar,true,false,false,false
S17C_REF_0041,PET_PACKAGES,not_available,unknown,not_available,not_available,not_available,not_available,false,unknown_date_blocks_sar,true,false,false,false
S17C_REF_0042,PKG_v2at_0001,not_available,unknown,not_available,not_available,not_available,not_available,false,unknown_date_blocks_sar,true,false,false,false
S17C_REF_0043,PKG_v2at_0002,not_available,unknown,not_available,not_available,not_available,not_available,false,unknown_date_blocks_sar,true,false,false,false
S17C_REF_0044,PKG_v2at_0003,not_available,unknown,not_available,not_available,not_available,not_available,false,unknown_date_blocks_sar,true,false,false,false
S17C_REF_0045,PKG_v2at_0004,not_available,unknown,not_available,not_available,not_available,not_available,false,unknown_date_blocks_sar,true,false,false,false
S17C_REF_0046,PKG_v2at_0005,not_available,unknown,not_available,not_available,not_available,not_available,false,unknown_date_blocks_sar,true,false,false,false
S17C_REF_0047,PKG_v2at_0006,not_available,unknown,not_available,not_available,not_available,not_available,false,unknown_date_blocks_sar,true,false,false,false
S17C_REF_0048,PKG_v2at_0007,not_available,unknown,not_available,not_available,not_available,not_available,false,unknown_date_blocks_sar,true,false,false,false
S17C_REF_0049,PKG_v2at_0008,not_available,unknown,not_available,not_available,not_available,not_available,false,unknown_date_blocks_sar,true,false,false,false
S17C_REF_0050,PKG_v2at_0009,not_available,unknown,not_available,not_available,not_available,not_available,false,unknown_date_blocks_sar,true,false,false,false
S17C_REF_0051,REC_2022_05_24_30,not_available,unknown,not_available,not_available,not_available,not_available,false,unknown_date_blocks_sar,true,false,false,false
S17C_REF_0052,REC_2023_02_05_06,not_available,unknown,not_available,not_available,not_available,not_available,false,unknown_date_blocks_sar,true,false,false,false
S17C_REF_0053,REC_2024_06_14_16,not_available,unknown,not_available,not_available,not_available,not_available,false,unknown_date_blocks_sar,true,false,false,false
S17C_REF_0054,REC_2022_05_24_30,2022-05-24..2022-05-30,range,2022-04-24,2022-05-17,2022-05-24,2022-06-06,true,not_applicable,true,false,false,false
