candidate_id,source_id,source_path_or_ref,candidate_type,raw_value,normalized_value,inferred_sensor,inferred_tile,inferred_datetime,inferred_cloud_cover,inferred_asset_id,inferred_patch_id,inferred_region,extraction_method,extraction_confidence,evidence_snippet,notes
MV2_14_CAND_00082,MV2_14_SRC_0028,outputs_public/mv2_sentinel_binding/mv2_13_stac_gate_matrix.csv,scene_id,20220118T130239_20220118T130322_T23KPR,20220118T130239_20220118T130322_T23KPR,S2_MSI,,,,,,,csv_structured_row,MEDIUM,collection=;datetime_status=ABSENT,"candidato; namespace pode ser anchor protocolo-C, nao corpus"
MV2_14_CAND_00083,MV2_14_SRC_0028,outputs_public/mv2_sentinel_binding/mv2_13_stac_gate_matrix.csv,scene_id,20220118T130239_20220118T130322_T23KPR,20220118T130239_20220118T130322_T23KPR,S2_MSI,,,,,,,csv_structured_row,MEDIUM,collection=;datetime_status=ABSENT,"candidato; namespace pode ser anchor protocolo-C, nao corpus"
MV2_14_CAND_00084,MV2_14_SRC_0028,outputs_public/mv2_sentinel_binding/mv2_13_stac_gate_matrix.csv,scene_id,20220118T130239_20220118T130322_T23KPR,20220118T130239_20220118T130322_T23KPR,S2_MSI,,,,,,,csv_structured_row,MEDIUM,collection=;datetime_status=ABSENT,"candidato; namespace pode ser anchor protocolo-C, nao corpus"
MV2_14_CAND_00085,MV2_14_SRC_0028,outputs_public/mv2_sentinel_binding/mv2_13_stac_gate_matrix.csv,scene_id,20220202T130251_20220202T130247_T23KPR,20220202T130251_20220202T130247_T23KPR,S2_MSI,,,,,,,csv_structured_row,MEDIUM,collection=;datetime_status=ABSENT,"candidato; namespace pode ser anchor protocolo-C, nao corpus"
MV2_14_CAND_00086,MV2_14_SRC_0028,outputs_public/mv2_sentinel_binding/mv2_13_stac_gate_matrix.csv,scene_id,20220202T130251_20220202T130247_T23KPR,20220202T130251_20220202T130247_T23KPR,S2_MSI,,,,,,,csv_structured_row,MEDIUM,collection=;datetime_status=ABSENT,"candidato; namespace pode ser anchor protocolo-C, nao corpus"
MV2_14_CAND_00087,MV2_14_SRC_0029,outputs_public/mv2_sentinel_binding/mv2_13_temporal_scene_lineage_matrix.csv,scene_id,20220118T130239_20220118T130322_T23KPR,20220118T130239_20220118T130322_T23KPR,S2_MSI,,,,,,,csv_structured_row,MEDIUM,collection=;datetime_status=ABSENT,"candidato; namespace pode ser anchor protocolo-C, nao corpus"
MV2_14_CAND_00088,MV2_14_SRC_0029,outputs_public/mv2_sentinel_binding/mv2_13_temporal_scene_lineage_matrix.csv,scene_id,20220202T130251_20220202T130247_T23KPR,20220202T130251_20220202T130247_T23KPR,S2_MSI,,,,,,,csv_structured_row,MEDIUM,collection=;datetime_status=ABSENT,"candidato; namespace pode ser anchor protocolo-C, nao corpus"
MV2_14_CAND_00089,MV2_14_SRC_0029,outputs_public/mv2_sentinel_binding/mv2_13_temporal_scene_lineage_matrix.csv,scene_id,20220202T130251_20220202T130247_T23KPR,20220202T130251_20220202T130247_T23KPR,S2_MSI,,,,,,,csv_structured_row,MEDIUM,collection=;datetime_status=ABSENT,"candidato; namespace pode ser anchor protocolo-C, nao corpus"
MV2_14_CAND_00090,MV2_14_SRC_0029,outputs_public/mv2_sentinel_binding/mv2_13_temporal_scene_lineage_matrix.csv,scene_id,20220118T130239_20220118T130322_T23KPR,20220118T130239_20220118T130322_T23KPR,S2_MSI,,,,,,,csv_structured_row,MEDIUM,collection=;datetime_status=ABSENT,"candidato; namespace pode ser anchor protocolo-C, nao corpus"
MV2_14_CAND_00091,MV2_14_SRC_0029,outputs_public/mv2_sentinel_binding/mv2_13_temporal_scene_lineage_matrix.csv,scene_id,20220118T130239_20220118T130322_T23KPR,20220118T130239_20220118T130322_T23KPR,S2_MSI,T23KPR,2026-06-18,,,,,csv_structured_row,MEDIUM,collection=;datetime_status=INVALID_FUTURE,"candidato; namespace pode ser anchor protocolo-C, nao corpus"
MV2_14_CAND_00092,MV2_14_SRC_0029,outputs_public/mv2_sentinel_binding/mv2_13_temporal_scene_lineage_matrix.csv,scene_id,20220118T130239_20220118T130322_T23KPR,20220118T130239_20220118T130322_T23KPR,S2_MSI,T23KPR,2026-06-18,,,,,csv_structured_row,MEDIUM,collection=;datetime_status=INVALID_FUTURE,"candidato; namespace pode ser anchor protocolo-C, nao corpus"
MV2_14_CAND_00093,MV2_14_SRC_0029,outputs_public/mv2_sentinel_binding/mv2_13_temporal_scene_lineage_matrix.csv,scene_id,20220118T130239_20220118T130322_T23KPR,20220118T130239_20220118T130322_T23KPR,S2_MSI,,,,,,,csv_structured_row,MEDIUM,collection=;datetime_status=ABSENT,"candidato; namespace pode ser anchor protocolo-C, nao corpus"
MV2_14_CAND_00094,MV2_14_SRC_0029,outputs_public/mv2_sentinel_binding/mv2_13_temporal_scene_lineage_matrix.csv,scene_id,20220118T130239_20220118T130322_T23KPR,20220118T130239_20220118T130322_T23KPR,S2_MSI,,2022-01-18,,,,,csv_structured_row,HIGH,collection=;datetime_status=VALID_SINGLE,"candidato; namespace pode ser anchor protocolo-C, nao corpus"
MV2_14_CAND_00095,MV2_14_SRC_0029,outputs_public/mv2_sentinel_binding/mv2_13_temporal_scene_lineage_matrix.csv,scene_id,20220202T130251_20220202T130247_T23KPR,20220202T130251_20220202T130247_T23KPR,S2_MSI,,2022-02-02,,,,,csv_structured_row,HIGH,collection=;datetime_status=VALID_SINGLE,"candidato; namespace pode ser anchor protocolo-C, nao corpus"
MV2_14_CAND_00096,MV2_14_SRC_0029,outputs_public/mv2_sentinel_binding/mv2_13_temporal_scene_lineage_matrix.csv,scene_id,20220202T130251_20220202T130247_T23KPR,20220202T130251_20220202T130247_T23KPR,S2_MSI,,2022-02-19,,,,,csv_structured_row,HIGH,collection=;datetime_status=VALID_SINGLE,"candidato; namespace pode ser anchor protocolo-C, nao corpus"
