field,description
suggestion_id,v1qp_manifest_crosswalk_repair_suggestions: suggestion_id.
source_stage,v1qp_manifest_crosswalk_repair_suggestions: source_stage.
patch_id,v1qp_manifest_crosswalk_repair_suggestions: patch_id.
alias,v1qp_manifest_crosswalk_repair_suggestions: alias.
region,v1qp_manifest_crosswalk_repair_suggestions: region.
issue_type,v1qp_manifest_crosswalk_repair_suggestions: issue_type.
description,v1qp_manifest_crosswalk_repair_suggestions: description.
suggested_action,v1qp_manifest_crosswalk_repair_suggestions: suggested_action.
priority,v1qp_manifest_crosswalk_repair_suggestions: priority.
review_only,v1qp_manifest_crosswalk_repair_suggestions: review_only.
can_create_label,v1qp_manifest_crosswalk_repair_suggestions: can_create_label.
can_train_model,v1qp_manifest_crosswalk_repair_suggestions: can_train_model.
notes,v1qp_manifest_crosswalk_repair_suggestions: notes.
