field,description
patch_id,v1r7_dino_recife_evidence_refinement_scores: patch_id.
provenance,v1r7_dino_recife_evidence_refinement_scores: provenance.
n_v12_points,v1r7_dino_recife_evidence_refinement_scores: n_v12_points.
n_pos,v1r7_dino_recife_evidence_refinement_scores: n_pos.
n_neg,v1r7_dino_recife_evidence_refinement_scores: n_neg.
frac_positive,v1r7_dino_recife_evidence_refinement_scores: frac_positive.
seed_role,v1r7_dino_recife_evidence_refinement_scores: seed_role.
mean_cos_to_positive_seeds,v1r7_dino_recife_evidence_refinement_scores: mean_cos_to_positive_seeds.
mean_cos_to_negative_seeds,v1r7_dino_recife_evidence_refinement_scores: mean_cos_to_negative_seeds.
refinement_score,v1r7_dino_recife_evidence_refinement_scores: refinement_score.
refinement_rank_among_targets,v1r7_dino_recife_evidence_refinement_scores: refinement_rank_among_targets.
nearest_positive_seed,v1r7_dino_recife_evidence_refinement_scores: nearest_positive_seed.
nearest_positive_seed_cos,v1r7_dino_recife_evidence_refinement_scores: nearest_positive_seed_cos.
candidate_class,v1r7_dino_recife_evidence_refinement_scores: candidate_class.
refinement_can_create_label,v1r7_dino_recife_evidence_refinement_scores: refinement_can_create_label.
refinement_can_train_classifier,v1r7_dino_recife_evidence_refinement_scores: refinement_can_train_classifier.
