field,description
probe_id,REV-P v1jb multimodal change probe field: probe_id.
anchor_id,REV-P v1jb multimodal change probe field: anchor_id.
pre_scene_date,REV-P v1jb multimodal change probe field: pre_scene_date.
post_scene_date,REV-P v1jb multimodal change probe field: post_scene_date.
sentinel_pair_status,REV-P v1jb multimodal change probe field: sentinel_pair_status.
dino_embedding_status,REV-P v1jb multimodal change probe field: dino_embedding_status.
dino_cosine_similarity,REV-P v1jb multimodal change probe field: dino_cosine_similarity.
dino_euclidean_distance,REV-P v1jb multimodal change probe field: dino_euclidean_distance.
ndwi_pre_mean,REV-P v1jb multimodal change probe field: ndwi_pre_mean.
ndwi_post_mean,REV-P v1jb multimodal change probe field: ndwi_post_mean.
ndwi_delta,REV-P v1jb multimodal change probe field: ndwi_delta.
ndbi_pre_mean,REV-P v1jb multimodal change probe field: ndbi_pre_mean.
ndbi_post_mean,REV-P v1jb multimodal change probe field: ndbi_post_mean.
ndbi_delta,REV-P v1jb multimodal change probe field: ndbi_delta.
spectral_change_status,REV-P v1jb multimodal change probe field: spectral_change_status.
structural_change_status,REV-P v1jb multimodal change probe field: structural_change_status.
reference_distribution_status,REV-P v1jb multimodal change probe field: reference_distribution_status.
training_boundary_status,REV-P v1jb multimodal change probe field: training_boundary_status.
unfrozen_sandbox_status,REV-P v1jb multimodal change probe field: unfrozen_sandbox_status.
can_be_multimodal_reference_candidate,REV-P v1jb multimodal change probe field: can_be_multimodal_reference_candidate.
can_be_operational_ground_truth,REV-P v1jb multimodal change probe field: can_be_operational_ground_truth.
can_create_training_label,REV-P v1jb multimodal change probe field: can_create_training_label.
can_train_model,REV-P v1jb multimodal change probe field: can_train_model.
can_unfreeze_model_for_scientific_claim,REV-P v1jb multimodal change probe field: can_unfreeze_model_for_scientific_claim.
can_reopen_protocol_b,REV-P v1jb multimodal change probe field: can_reopen_protocol_b.
primary_blocker,REV-P v1jb multimodal change probe field: primary_blocker.
minimum_evidence_needed,REV-P v1jb multimodal change probe field: minimum_evidence_needed.
notes,REV-P v1jb multimodal change probe field: notes.
