field,description
quality_id,REV-P v1iy Sentinel patch local quality registry field: quality_id.
reference_patch_id,REV-P v1iy Sentinel patch local quality registry field: reference_patch_id.
anchor_id,REV-P v1iy Sentinel patch local quality registry field: anchor_id.
temporal_relation_to_event,REV-P v1iy Sentinel patch local quality registry field: temporal_relation_to_event.
scene_id_sanitized,REV-P v1iy Sentinel patch local quality registry field: scene_id_sanitized.
scene_date,REV-P v1iy Sentinel patch local quality registry field: scene_date.
bands_available,REV-P v1iy Sentinel patch local quality registry field: bands_available.
shape_px,REV-P v1iy Sentinel patch local quality registry field: shape_px.
crs,REV-P v1iy Sentinel patch local quality registry field: crs.
resolution_m,REV-P v1iy Sentinel patch local quality registry field: resolution_m.
valid_pixel_fraction,REV-P v1iy Sentinel patch local quality registry field: valid_pixel_fraction.
nodata_fraction,REV-P v1iy Sentinel patch local quality registry field: nodata_fraction.
nan_inf_status,REV-P v1iy Sentinel patch local quality registry field: nan_inf_status.
band_range_status,REV-P v1iy Sentinel patch local quality registry field: band_range_status.
band_variance_status,REV-P v1iy Sentinel patch local quality registry field: band_variance_status.
cloud_metadata_global,REV-P v1iy Sentinel patch local quality registry field: cloud_metadata_global.
cloud_mask_available,REV-P v1iy Sentinel patch local quality registry field: cloud_mask_available.
local_cloud_fraction,REV-P v1iy Sentinel patch local quality registry field: local_cloud_fraction.
spectral_index_status,REV-P v1iy Sentinel patch local quality registry field: spectral_index_status.
local_quality_status,REV-P v1iy Sentinel patch local quality registry field: local_quality_status.
pair_quality_status,REV-P v1iy Sentinel patch local quality registry field: pair_quality_status.
can_be_reference_patch_candidate,REV-P v1iy Sentinel patch local quality registry field: can_be_reference_patch_candidate.
can_be_multimodal_reference_candidate,REV-P v1iy Sentinel patch local quality registry field: can_be_multimodal_reference_candidate.
can_be_operational_ground_truth,REV-P v1iy Sentinel patch local quality registry field: can_be_operational_ground_truth.
can_create_training_label,REV-P v1iy Sentinel patch local quality registry field: can_create_training_label.
can_train_model,REV-P v1iy Sentinel patch local quality registry field: can_train_model.
can_reopen_protocol_b,REV-P v1iy Sentinel patch local quality registry field: can_reopen_protocol_b.
primary_blocker,REV-P v1iy Sentinel patch local quality registry field: primary_blocker.
minimum_evidence_needed,REV-P v1iy Sentinel patch local quality registry field: minimum_evidence_needed.
notes,REV-P v1iy Sentinel patch local quality registry field: notes.
