field,description
anchor_id,ID do spatial anchor oficial
official_documented_event_available,Evento documentado em relatório oficial disponível
explicit_coordinate_available,Coordenada GPS explicitamente documentada
sentinel_patch_coverage_confirmed,Cobertura de patch Sentinel confirmada para o anchor
dino_embedding_available,Embedding DINO disponível para patch coberto
gis_context_available,"Contexto GIS disponível (PET_CPRM_DESLIZAMENTO_AREA_FOTOINTERPRETADA, etc.)"
documentary_evidence_available,Evidência documental disponível (relatórios CPRM)
temporal_precision,Precisão temporal do evento (EXACT_DATE / EVENT_WINDOW)
spatial_precision,Precisão espacial do anchor
multimodal_reference_status,Status de prontidão multimodal
primary_blocker,Bloqueio principal para análise multimodal
can_create_training_label,INVARIANTE: sempre NO
can_train_model,INVARIANTE: sempre NO
notes,Notas sobre estado de prontidão
