field,description
corpus_row_id,dinov2_governance_corpus_v2fg: corpus_row_id.
patch_id,dinov2_governance_corpus_v2fg: patch_id.
region,dinov2_governance_corpus_v2fg: region.
source_file,dinov2_governance_corpus_v2fg: source_file.
source_row_index,dinov2_governance_corpus_v2fg: source_row_index.
embedding_id,dinov2_governance_corpus_v2fg: embedding_id.
model_name,dinov2_governance_corpus_v2fg: model_name.
declared_embedding_dim,dinov2_governance_corpus_v2fg: declared_embedding_dim.
declared_l2_normalized,dinov2_governance_corpus_v2fg: declared_l2_normalized.
observed_dim,dinov2_governance_corpus_v2fg: observed_dim.
observed_l2_norm,dinov2_governance_corpus_v2fg: observed_l2_norm.
status,dinov2_governance_corpus_v2fg: status.
blocking_reason,dinov2_governance_corpus_v2fg: blocking_reason.
is_region_medoid,dinov2_governance_corpus_v2fg: is_region_medoid.
cosine_to_region_medoid,dinov2_governance_corpus_v2fg: cosine_to_region_medoid.
nearest_medoid_region,dinov2_governance_corpus_v2fg: nearest_medoid_region.
cosine_to_nearest_medoid,dinov2_governance_corpus_v2fg: cosine_to_nearest_medoid.
nearest_medoid_matches_own_region,dinov2_governance_corpus_v2fg: nearest_medoid_matches_own_region.
methodological_note,dinov2_governance_corpus_v2fg: methodological_note.
