field,description
embedding_id,v1ph_dino_embedding_feature_store: embedding_id.
patch_id,v1ph_dino_embedding_feature_store: patch_id.
alias,v1ph_dino_embedding_feature_store: alias.
region,v1ph_dino_embedding_feature_store: region.
source_artifact_id,v1ph_dino_embedding_feature_store: source_artifact_id.
source_path_hash,v1ph_dino_embedding_feature_store: source_path_hash.
vector_dim,v1ph_dino_embedding_feature_store: vector_dim.
vector_sha256_16,v1ph_dino_embedding_feature_store: vector_sha256_16.
vector_norm_l2,v1ph_dino_embedding_feature_store: vector_norm_l2.
vector_mean,v1ph_dino_embedding_feature_store: vector_mean.
vector_std,v1ph_dino_embedding_feature_store: vector_std.
has_nan,v1ph_dino_embedding_feature_store: has_nan.
has_inf,v1ph_dino_embedding_feature_store: has_inf.
is_zero_vector,v1ph_dino_embedding_feature_store: is_zero_vector.
is_duplicate_vector,v1ph_dino_embedding_feature_store: is_duplicate_vector.
embedding_status,v1ph_dino_embedding_feature_store: embedding_status.
dino_allowed_use,v1ph_dino_embedding_feature_store: dino_allowed_use.
dino_can_create_label,v1ph_dino_embedding_feature_store: dino_can_create_label.
dino_can_train_model,v1ph_dino_embedding_feature_store: dino_can_train_model.
dino_target_field_created,v1ph_dino_embedding_feature_store: dino_target_field_created.
blocked_reason,v1ph_dino_embedding_feature_store: blocked_reason.
notes,v1ph_dino_embedding_feature_store: notes.
