field,description
embedding_id,v1r8_dino_recife_coverage_expansion_embeddings: embedding_id.
patch_id,v1r8_dino_recife_coverage_expansion_embeddings: patch_id.
alias,v1r8_dino_recife_coverage_expansion_embeddings: alias.
region,v1r8_dino_recife_coverage_expansion_embeddings: region.
relative_path,v1r8_dino_recife_coverage_expansion_embeddings: relative_path.
path_hash,v1r8_dino_recife_coverage_expansion_embeddings: path_hash.
asset_sha256_short,v1r8_dino_recife_coverage_expansion_embeddings: asset_sha256_short.
image_width,v1r8_dino_recife_coverage_expansion_embeddings: image_width.
image_height,v1r8_dino_recife_coverage_expansion_embeddings: image_height.
model_name,v1r8_dino_recife_coverage_expansion_embeddings: model_name.
model_path_hash,v1r8_dino_recife_coverage_expansion_embeddings: model_path_hash.
embedding_dim,v1r8_dino_recife_coverage_expansion_embeddings: embedding_dim.
l2_normalized,v1r8_dino_recife_coverage_expansion_embeddings: l2_normalized.
vector_norm,v1r8_dino_recife_coverage_expansion_embeddings: vector_norm.
dino_allowed_use,v1r8_dino_recife_coverage_expansion_embeddings: dino_allowed_use.
review_only,v1r8_dino_recife_coverage_expansion_embeddings: review_only.
can_create_label,v1r8_dino_recife_coverage_expansion_embeddings: can_create_label.
can_train_model,v1r8_dino_recife_coverage_expansion_embeddings: can_train_model.
target_created,v1r8_dino_recife_coverage_expansion_embeddings: target_created.
source_stage,v1r8_dino_recife_coverage_expansion_embeddings: source_stage.
new_imagery_downloaded,v1r8_dino_recife_coverage_expansion_embeddings: new_imagery_downloaded.
preview_regenerated,v1r8_dino_recife_coverage_expansion_embeddings: preview_regenerated.
