field,description
queue_id,v1oz_dino_review_only_representation_queue: queue_id.
event_id,v1oz_dino_review_only_representation_queue: event_id.
patch_id,v1oz_dino_review_only_representation_queue: patch_id.
alias,v1oz_dino_review_only_representation_queue: alias.
region,v1oz_dino_review_only_representation_queue: region.
representation_reason,v1oz_dino_review_only_representation_queue: representation_reason.
evidence_tier,v1oz_dino_review_only_representation_queue: evidence_tier.
linkage_status,v1oz_dino_review_only_representation_queue: linkage_status.
dino_allowed_use,v1oz_dino_review_only_representation_queue: dino_allowed_use.
dino_can_create_label,v1oz_dino_review_only_representation_queue: dino_can_create_label.
dino_can_train_model,v1oz_dino_review_only_representation_queue: dino_can_train_model.
dino_target_field_created,v1oz_dino_review_only_representation_queue: dino_target_field_created.
blocked_reason,v1oz_dino_review_only_representation_queue: blocked_reason.
notes,v1oz_dino_review_only_representation_queue: notes.
