field,description
queue_id,v1pw_dino_review_only_queue_expanded: queue_id.
visual_asset_id,v1pw_dino_review_only_queue_expanded: visual_asset_id.
patch_id,v1pw_dino_review_only_queue_expanded: patch_id.
alias,v1pw_dino_review_only_queue_expanded: alias.
region,v1pw_dino_review_only_queue_expanded: region.
visual_type,v1pw_dino_review_only_queue_expanded: visual_type.
queue_priority,v1pw_dino_review_only_queue_expanded: queue_priority.
queue_reason,v1pw_dino_review_only_queue_expanded: queue_reason.
linkage_confidence,v1pw_dino_review_only_queue_expanded: linkage_confidence.
manual_check_required,v1pw_dino_review_only_queue_expanded: manual_check_required.
dino_allowed_use,v1pw_dino_review_only_queue_expanded: dino_allowed_use.
can_create_label,v1pw_dino_review_only_queue_expanded: can_create_label.
can_train_model,v1pw_dino_review_only_queue_expanded: can_train_model.
target_created,v1pw_dino_review_only_queue_expanded: target_created.
execution_status,v1pw_dino_review_only_queue_expanded: execution_status.
blocked_reason,v1pw_dino_review_only_queue_expanded: blocked_reason.
notes,v1pw_dino_review_only_queue_expanded: notes.
