field,description
evidence_id,v1ow_evidence_strength_precision_scoring: evidence_id.
event_id,v1ow_evidence_strength_precision_scoring: event_id.
source_candidate_id,v1ow_evidence_strength_precision_scoring: source_candidate_id.
temporal_precision_score,v1ow_evidence_strength_precision_scoring: temporal_precision_score.
spatial_precision_score,v1ow_evidence_strength_precision_scoring: spatial_precision_score.
source_reliability_score,v1ow_evidence_strength_precision_scoring: source_reliability_score.
event_specificity_score,v1ow_evidence_strength_precision_scoring: event_specificity_score.
independence_score,v1ow_evidence_strength_precision_scoring: independence_score.
total_review_score,v1ow_evidence_strength_precision_scoring: total_review_score.
evidence_tier,v1ow_evidence_strength_precision_scoring: evidence_tier.
allowed_use,v1ow_evidence_strength_precision_scoring: allowed_use.
can_promote_to_label,v1ow_evidence_strength_precision_scoring: can_promote_to_label.
can_train_model,v1ow_evidence_strength_precision_scoring: can_train_model.
blocked_reason,v1ow_evidence_strength_precision_scoring: blocked_reason.
reason_codes,v1ow_evidence_strength_precision_scoring: reason_codes.
notes,v1ow_evidence_strength_precision_scoring: notes.
