field,description
step_id,v1pb_orchestration: step_id.
version,v1pb_orchestration: version.
script_path,v1pb_orchestration: script_path.
stage_group,v1pb_orchestration: stage_group.
mode,v1pb_orchestration: mode.
executed,v1pb_orchestration: executed.
exit_code,v1pb_orchestration: exit_code.
status,v1pb_orchestration: status.
expected_outputs_present,v1pb_orchestration: expected_outputs_present.
stdout_tail,v1pb_orchestration: stdout_tail.
stderr_tail,v1pb_orchestration: stderr_tail.
notes,v1pb_orchestration: notes.
