field,description
feature,v1r4_dino_sedec_extended_univariate: feature.
n_pos,v1r4_dino_sedec_extended_univariate: n_pos.
n_neg,v1r4_dino_sedec_extended_univariate: n_neg.
mean_pos,v1r4_dino_sedec_extended_univariate: mean_pos.
mean_neg,v1r4_dino_sedec_extended_univariate: mean_neg.
mannwhitney_U,v1r4_dino_sedec_extended_univariate: mannwhitney_U.
p_value,v1r4_dino_sedec_extended_univariate: p_value.
rank_biserial_r,v1r4_dino_sedec_extended_univariate: rank_biserial_r.
expected_sign,v1r4_dino_sedec_extended_univariate: expected_sign.
direction_observed,v1r4_dino_sedec_extended_univariate: direction_observed.
significant_p05,v1r4_dino_sedec_extended_univariate: significant_p05.
is_dino_feature,v1r4_dino_sedec_extended_univariate: is_dino_feature.
