field,description
case_id,v1tx_dossier: case_id.
region,v1tx_dossier: region.
hazard_type,v1tx_dossier: hazard_type.
event_window,v1tx_dossier: event_window.
identificacao,v1tx_dossier: identificacao.
evidencia_externa,v1tx_dossier: evidencia_externa.
contexto_hidromet,v1tx_dossier: contexto_hidromet.
papel_dino,v1tx_dossier: papel_dino.
vinculo_patch,v1tx_dossier: vinculo_patch.
revisao_automatizada,v1tx_dossier: revisao_automatizada.
status_prova,v1tx_dossier: status_prova.
seguranca_claim,v1tx_dossier: seguranca_claim.
review_only,v1tx_dossier: review_only.
automated_review,v1tx_dossier: automated_review.
internal_review_automated_for_review_only,v1tx_dossier: internal_review_automated_for_review_only.
requires_external_observational_evidence_for_operational_claim,v1tx_dossier: requires_external_observational_evidence_for_operational_claim.
automatic_c3_promotion,v1tx_dossier: automatic_c3_promotion.
c4_opened,v1tx_dossier: c4_opened.
can_create_operational_label,v1tx_dossier: can_create_operational_label.
can_train_model,v1tx_dossier: can_train_model.
target_created,v1tx_dossier: target_created.
ground_truth_operational,v1tx_dossier: ground_truth_operational.
formal_negative,v1tx_dossier: formal_negative.
dino_validates_event,v1tx_dossier: dino_validates_event.
hydromet_validates_event,v1tx_dossier: hydromet_validates_event.
hydromet_is_negative_evidence,v1tx_dossier: hydromet_is_negative_evidence.
absence_as_negative,v1tx_dossier: absence_as_negative.
notes,v1tx_dossier: notes.
