field,description
embedding_id,v1qj_smoke_embeddings_feature_store: embedding_id.
smoke_id,v1qj_smoke_embeddings_feature_store: smoke_id.
patch_id,v1qj_smoke_embeddings_feature_store: patch_id.
alias,v1qj_smoke_embeddings_feature_store: alias.
region,v1qj_smoke_embeddings_feature_store: region.
visual_asset_id,v1qj_smoke_embeddings_feature_store: visual_asset_id.
relative_path,v1qj_smoke_embeddings_feature_store: relative_path.
path_hash,v1qj_smoke_embeddings_feature_store: path_hash.
model_name,v1qj_smoke_embeddings_feature_store: model_name.
model_path_hash,v1qj_smoke_embeddings_feature_store: model_path_hash.
embedding_dim,v1qj_smoke_embeddings_feature_store: embedding_dim.
l2_normalized,v1qj_smoke_embeddings_feature_store: l2_normalized.
vector_norm,v1qj_smoke_embeddings_feature_store: vector_norm.
dino_allowed_use,v1qj_smoke_embeddings_feature_store: dino_allowed_use.
review_only,v1qj_smoke_embeddings_feature_store: review_only.
can_create_label,v1qj_smoke_embeddings_feature_store: can_create_label.
can_train_model,v1qj_smoke_embeddings_feature_store: can_train_model.
target_created,v1qj_smoke_embeddings_feature_store: target_created.
embedding_000,v1qj_smoke_embeddings_feature_store: embedding_000.
embedding_001,v1qj_smoke_embeddings_feature_store: embedding_001.
embedding_002,v1qj_smoke_embeddings_feature_store: embedding_002.
embedding_003,v1qj_smoke_embeddings_feature_store: embedding_003.
embedding_004,v1qj_smoke_embeddings_feature_store: embedding_004.
embedding_005,v1qj_smoke_embeddings_feature_store: embedding_005.
embedding_006,v1qj_smoke_embeddings_feature_store: embedding_006.
embedding_007,v1qj_smoke_embeddings_feature_store: embedding_007.
embedding_008,v1qj_smoke_embeddings_feature_store: embedding_008.
embedding_009,v1qj_smoke_embeddings_feature_store: embedding_009.
embedding_010,v1qj_smoke_embeddings_feature_store: embedding_010.
embedding_011,v1qj_smoke_embeddings_feature_store: embedding_011.
embedding_012,v1qj_smoke_embeddings_feature_store: embedding_012.
embedding_013,v1qj_smoke_embeddings_feature_store: embedding_013.
embedding_014,v1qj_smoke_embeddings_feature_store: embedding_014.
embedding_015,v1qj_smoke_embeddings_feature_store: embedding_015.
embedding_016,v1qj_smoke_embeddings_feature_store: embedding_016.
embedding_017,v1qj_smoke_embeddings_feature_store: embedding_017.
embedding_018,v1qj_smoke_embeddings_feature_store: embedding_018.
embedding_019,v1qj_smoke_embeddings_feature_store: embedding_019.
embedding_020,v1qj_smoke_embeddings_feature_store: embedding_020.
embedding_021,v1qj_smoke_embeddings_feature_store: embedding_021.
embedding_022,v1qj_smoke_embeddings_feature_store: embedding_022.
embedding_023,v1qj_smoke_embeddings_feature_store: embedding_023.
embedding_024,v1qj_smoke_embeddings_feature_store: embedding_024.
embedding_025,v1qj_smoke_embeddings_feature_store: embedding_025.
embedding_026,v1qj_smoke_embeddings_feature_store: embedding_026.
embedding_027,v1qj_smoke_embeddings_feature_store: embedding_027.
embedding_028,v1qj_smoke_embeddings_feature_store: embedding_028.
embedding_029,v1qj_smoke_embeddings_feature_store: embedding_029.
embedding_030,v1qj_smoke_embeddings_feature_store: embedding_030.
embedding_031,v1qj_smoke_embeddings_feature_store: embedding_031.
embedding_032,v1qj_smoke_embeddings_feature_store: embedding_032.
embedding_033,v1qj_smoke_embeddings_feature_store: embedding_033.
embedding_034,v1qj_smoke_embeddings_feature_store: embedding_034.
embedding_035,v1qj_smoke_embeddings_feature_store: embedding_035.
embedding_036,v1qj_smoke_embeddings_feature_store: embedding_036.
embedding_037,v1qj_smoke_embeddings_feature_store: embedding_037.
embedding_038,v1qj_smoke_embeddings_feature_store: embedding_038.
embedding_039,v1qj_smoke_embeddings_feature_store: embedding_039.
embedding_040,v1qj_smoke_embeddings_feature_store: embedding_040.
embedding_041,v1qj_smoke_embeddings_feature_store: embedding_041.
