field,description
representation_id,v1qk_representation_feature_store_with_smoke: representation_id.
embedding_id,v1qk_representation_feature_store_with_smoke: embedding_id.
patch_id,v1qk_representation_feature_store_with_smoke: patch_id.
alias,v1qk_representation_feature_store_with_smoke: alias.
region,v1qk_representation_feature_store_with_smoke: region.
visual_asset_id,v1qk_representation_feature_store_with_smoke: visual_asset_id.
source_stage,v1qk_representation_feature_store_with_smoke: source_stage.
model_name,v1qk_representation_feature_store_with_smoke: model_name.
embedding_dim,v1qk_representation_feature_store_with_smoke: embedding_dim.
vector_valid,v1qk_representation_feature_store_with_smoke: vector_valid.
duplicate_group_id,v1qk_representation_feature_store_with_smoke: duplicate_group_id.
dino_allowed_use,v1qk_representation_feature_store_with_smoke: dino_allowed_use.
review_only,v1qk_representation_feature_store_with_smoke: review_only.
cluster_is_label,v1qk_representation_feature_store_with_smoke: cluster_is_label.
can_create_label,v1qk_representation_feature_store_with_smoke: can_create_label.
can_train_model,v1qk_representation_feature_store_with_smoke: can_train_model.
target_created,v1qk_representation_feature_store_with_smoke: target_created.
blocked_reason,v1qk_representation_feature_store_with_smoke: blocked_reason.
notes,v1qk_representation_feature_store_with_smoke: notes.
embedding_000,v1qk_representation_feature_store_with_smoke: embedding_000.
embedding_001,v1qk_representation_feature_store_with_smoke: embedding_001.
embedding_002,v1qk_representation_feature_store_with_smoke: embedding_002.
embedding_003,v1qk_representation_feature_store_with_smoke: embedding_003.
embedding_004,v1qk_representation_feature_store_with_smoke: embedding_004.
embedding_005,v1qk_representation_feature_store_with_smoke: embedding_005.
embedding_006,v1qk_representation_feature_store_with_smoke: embedding_006.
embedding_007,v1qk_representation_feature_store_with_smoke: embedding_007.
embedding_008,v1qk_representation_feature_store_with_smoke: embedding_008.
embedding_009,v1qk_representation_feature_store_with_smoke: embedding_009.
embedding_010,v1qk_representation_feature_store_with_smoke: embedding_010.
embedding_011,v1qk_representation_feature_store_with_smoke: embedding_011.
embedding_012,v1qk_representation_feature_store_with_smoke: embedding_012.
embedding_013,v1qk_representation_feature_store_with_smoke: embedding_013.
embedding_014,v1qk_representation_feature_store_with_smoke: embedding_014.
embedding_015,v1qk_representation_feature_store_with_smoke: embedding_015.
embedding_016,v1qk_representation_feature_store_with_smoke: embedding_016.
embedding_017,v1qk_representation_feature_store_with_smoke: embedding_017.
embedding_018,v1qk_representation_feature_store_with_smoke: embedding_018.
embedding_019,v1qk_representation_feature_store_with_smoke: embedding_019.
embedding_020,v1qk_representation_feature_store_with_smoke: embedding_020.
embedding_021,v1qk_representation_feature_store_with_smoke: embedding_021.
embedding_022,v1qk_representation_feature_store_with_smoke: embedding_022.
embedding_023,v1qk_representation_feature_store_with_smoke: embedding_023.
embedding_024,v1qk_representation_feature_store_with_smoke: embedding_024.
embedding_025,v1qk_representation_feature_store_with_smoke: embedding_025.
embedding_026,v1qk_representation_feature_store_with_smoke: embedding_026.
embedding_027,v1qk_representation_feature_store_with_smoke: embedding_027.
embedding_028,v1qk_representation_feature_store_with_smoke: embedding_028.
embedding_029,v1qk_representation_feature_store_with_smoke: embedding_029.
embedding_030,v1qk_representation_feature_store_with_smoke: embedding_030.
embedding_031,v1qk_representation_feature_store_with_smoke: embedding_031.
embedding_032,v1qk_representation_feature_store_with_smoke: embedding_032.
embedding_033,v1qk_representation_feature_store_with_smoke: embedding_033.
embedding_034,v1qk_representation_feature_store_with_smoke: embedding_034.
embedding_035,v1qk_representation_feature_store_with_smoke: embedding_035.
embedding_036,v1qk_representation_feature_store_with_smoke: embedding_036.
embedding_037,v1qk_representation_feature_store_with_smoke: embedding_037.
embedding_038,v1qk_representation_feature_store_with_smoke: embedding_038.
embedding_039,v1qk_representation_feature_store_with_smoke: embedding_039.
embedding_040,v1qk_representation_feature_store_with_smoke: embedding_040.
embedding_041,v1qk_representation_feature_store_with_smoke: embedding_041.
embedding_042,v1qk_representation_feature_store_with_smoke: embedding_042.
embedding_043,v1qk_representation_feature_store_with_smoke: embedding_043.
embedding_044,v1qk_representation_feature_store_with_smoke: embedding_044.
embedding_045,v1qk_representation_feature_store_with_smoke: embedding_045.
embedding_046,v1qk_representation_feature_store_with_smoke: embedding_046.
embedding_047,v1qk_representation_feature_store_with_smoke: embedding_047.
embedding_048,v1qk_representation_feature_store_with_smoke: embedding_048.
embedding_049,v1qk_representation_feature_store_with_smoke: embedding_049.
embedding_050,v1qk_representation_feature_store_with_smoke: embedding_050.
embedding_051,v1qk_representation_feature_store_with_smoke: embedding_051.
embedding_052,v1qk_representation_feature_store_with_smoke: embedding_052.
embedding_053,v1qk_representation_feature_store_with_smoke: embedding_053.
embedding_054,v1qk_representation_feature_store_with_smoke: embedding_054.
embedding_055,v1qk_representation_feature_store_with_smoke: embedding_055.
embedding_056,v1qk_representation_feature_store_with_smoke: embedding_056.
embedding_057,v1qk_representation_feature_store_with_smoke: embedding_057.
embedding_058,v1qk_representation_feature_store_with_smoke: embedding_058.
embedding_059,v1qk_representation_feature_store_with_smoke: embedding_059.
embedding_060,v1qk_representation_feature_store_with_smoke: embedding_060.
embedding_061,v1qk_representation_feature_store_with_smoke: embedding_061.
embedding_062,v1qk_representation_feature_store_with_smoke: embedding_062.
embedding_063,v1qk_representation_feature_store_with_smoke: embedding_063.
embedding_064,v1qk_representation_feature_store_with_smoke: embedding_064.
embedding_065,v1qk_representation_feature_store_with_smoke: embedding_065.
embedding_066,v1qk_representation_feature_store_with_smoke: embedding_066.
embedding_067,v1qk_representation_feature_store_with_smoke: embedding_067.
embedding_068,v1qk_representation_feature_store_with_smoke: embedding_068.
embedding_069,v1qk_representation_feature_store_with_smoke: embedding_069.
embedding_070,v1qk_representation_feature_store_with_smoke: embedding_070.
embedding_071,v1qk_representation_feature_store_with_smoke: embedding_071.
embedding_072,v1qk_representation_feature_store_with_smoke: embedding_072.
embedding_073,v1qk_representation_feature_store_with_smoke: embedding_073.
embedding_074,v1qk_representation_feature_store_with_smoke: embedding_074.
embedding_075,v1qk_representation_feature_store_with_smoke: embedding_075.
embedding_076,v1qk_representation_feature_store_with_smoke: embedding_076.
embedding_077,v1qk_representation_feature_store_with_smoke: embedding_077.
embedding_078,v1qk_representation_feature_store_with_smoke: embedding_078.
embedding_079,v1qk_representation_feature_store_with_smoke: embedding_079.
embedding_080,v1qk_representation_feature_store_with_smoke: embedding_080.
embedding_081,v1qk_representation_feature_store_with_smoke: embedding_081.
embedding_082,v1qk_representation_feature_store_with_smoke: embedding_082.
embedding_083,v1qk_representation_feature_store_with_smoke: embedding_083.
embedding_084,v1qk_representation_feature_store_with_smoke: embedding_084.
embedding_085,v1qk_representation_feature_store_with_smoke: embedding_085.
embedding_086,v1qk_representation_feature_store_with_smoke: embedding_086.
embedding_087,v1qk_representation_feature_store_with_smoke: embedding_087.
embedding_088,v1qk_representation_feature_store_with_smoke: embedding_088.
embedding_089,v1qk_representation_feature_store_with_smoke: embedding_089.
embedding_090,v1qk_representation_feature_store_with_smoke: embedding_090.
embedding_091,v1qk_representation_feature_store_with_smoke: embedding_091.
embedding_092,v1qk_representation_feature_store_with_smoke: embedding_092.
embedding_093,v1qk_representation_feature_store_with_smoke: embedding_093.
embedding_094,v1qk_representation_feature_store_with_smoke: embedding_094.
embedding_095,v1qk_representation_feature_store_with_smoke: embedding_095.
embedding_096,v1qk_representation_feature_store_with_smoke: embedding_096.
embedding_097,v1qk_representation_feature_store_with_smoke: embedding_097.
embedding_098,v1qk_representation_feature_store_with_smoke: embedding_098.
embedding_099,v1qk_representation_feature_store_with_smoke: embedding_099.
embedding_100,v1qk_representation_feature_store_with_smoke: embedding_100.
embedding_101,v1qk_representation_feature_store_with_smoke: embedding_101.
embedding_102,v1qk_representation_feature_store_with_smoke: embedding_102.
