field,description
decision_id,v1jp formal negative candidate decision audit: decision_id.
negative_evidence_id,v1jp formal negative candidate decision audit: negative_evidence_id.
candidate_status,v1jp formal negative candidate decision audit: candidate_status.
gates_passed_count,v1jp formal negative candidate decision audit: gates_passed_count.
gates_failed_count,v1jp formal negative candidate decision audit: gates_failed_count.
failed_gates,v1jp formal negative candidate decision audit: failed_gates.
nearest_positive_anchor_distance_m,v1jp formal negative candidate decision audit: nearest_positive_anchor_distance_m.
same_locality_as_positive,v1jp formal negative candidate decision audit: same_locality_as_positive.
same_temporal_window_as_positive,v1jp formal negative candidate decision audit: same_temporal_window_as_positive.
can_pair_with_positive_c3,v1jp formal negative candidate decision audit: can_pair_with_positive_c3.
can_unlock_c4,v1jp formal negative candidate decision audit: can_unlock_c4.
allowed_use,v1jp formal negative candidate decision audit: allowed_use.
forbidden_use,v1jp formal negative candidate decision audit: forbidden_use.
decision,v1jp formal negative candidate decision audit: decision.
notes,v1jp formal negative candidate decision audit: notes.
