field,description
review_area_candidate_id,REV-P v1jf documented locality review candidate field: review_area_candidate_id.
documented_event_unit_id,REV-P v1jf documented locality review candidate field: documented_event_unit_id.
source_document_name_sanitized,REV-P v1jf documented locality review candidate field: source_document_name_sanitized.
region,REV-P v1jf documented locality review candidate field: region.
municipality,REV-P v1jf documented locality review candidate field: municipality.
locality_text_sanitized,REV-P v1jf documented locality review candidate field: locality_text_sanitized.
event_or_survey_date,REV-P v1jf documented locality review candidate field: event_or_survey_date.
phenomenon_group,REV-P v1jf documented locality review candidate field: phenomenon_group.
coordinate_status,REV-P v1jf documented locality review candidate field: coordinate_status.
geometry_source_status,REV-P v1jf documented locality review candidate field: geometry_source_status.
review_area_status,REV-P v1jf documented locality review candidate field: review_area_status.
patch_candidate_status,REV-P v1jf documented locality review candidate field: patch_candidate_status.
can_be_spatial_anchor,REV-P v1jf documented locality review candidate field: can_be_spatial_anchor.
can_be_positive_label,REV-P v1jf documented locality review candidate field: can_be_positive_label.
can_create_training_label,REV-P v1jf documented locality review candidate field: can_create_training_label.
can_train_model,REV-P v1jf documented locality review candidate field: can_train_model.
blocking_reason,REV-P v1jf documented locality review candidate field: blocking_reason.
notes,REV-P v1jf documented locality review candidate field: notes.
