field,description
decision_id,v1oy_ground_truth_candidate_decision_audit: decision_id.
event_id,v1oy_ground_truth_candidate_decision_audit: event_id.
patch_id,v1oy_ground_truth_candidate_decision_audit: patch_id.
candidate_level,v1oy_ground_truth_candidate_decision_audit: candidate_level.
decision_status,v1oy_ground_truth_candidate_decision_audit: decision_status.
evidence_tier,v1oy_ground_truth_candidate_decision_audit: evidence_tier.
spatial_status,v1oy_ground_truth_candidate_decision_audit: spatial_status.
temporal_status,v1oy_ground_truth_candidate_decision_audit: temporal_status.
source_reliability_level,v1oy_ground_truth_candidate_decision_audit: source_reliability_level.
can_be_reviewed,v1oy_ground_truth_candidate_decision_audit: can_be_reviewed.
can_be_used_for_training,v1oy_ground_truth_candidate_decision_audit: can_be_used_for_training.
can_create_operational_label,v1oy_ground_truth_candidate_decision_audit: can_create_operational_label.
formal_negative_available,v1oy_ground_truth_candidate_decision_audit: formal_negative_available.
blocked_reason,v1oy_ground_truth_candidate_decision_audit: blocked_reason.
decision_rationale,v1oy_ground_truth_candidate_decision_audit: decision_rationale.
notes,v1oy_ground_truth_candidate_decision_audit: notes.
