field,description
smoke_id,v1qu_smoke_sample_selection_linked: smoke_id.
execution_queue_id,v1qu_smoke_sample_selection_linked: execution_queue_id.
visual_asset_id,v1qu_smoke_sample_selection_linked: visual_asset_id.
patch_id,v1qu_smoke_sample_selection_linked: patch_id.
alias,v1qu_smoke_sample_selection_linked: alias.
region,v1qu_smoke_sample_selection_linked: region.
relative_path,v1qu_smoke_sample_selection_linked: relative_path.
path_hash,v1qu_smoke_sample_selection_linked: path_hash.
visual_type,v1qu_smoke_sample_selection_linked: visual_type.
sample_rank,v1qu_smoke_sample_selection_linked: sample_rank.
selection_reason,v1qu_smoke_sample_selection_linked: selection_reason.
linkage_confidence,v1qu_smoke_sample_selection_linked: linkage_confidence.
dino_allowed_use,v1qu_smoke_sample_selection_linked: dino_allowed_use.
can_create_label,v1qu_smoke_sample_selection_linked: can_create_label.
can_train_model,v1qu_smoke_sample_selection_linked: can_train_model.
target_created,v1qu_smoke_sample_selection_linked: target_created.
selected_for_smoke,v1qu_smoke_sample_selection_linked: selected_for_smoke.
expected_filename,v1qu_smoke_sample_selection_linked: expected_filename.
expected_file_found,v1qu_smoke_sample_selection_linked: expected_file_found.
link_status,v1qu_smoke_sample_selection_linked: link_status.
blocked_reason,v1qu_smoke_sample_selection_linked: blocked_reason.
notes,v1qu_smoke_sample_selection_linked: notes.
