field,description
source_candidate_id,v1ou_external_evidence_source_inventory: source_candidate_id.
region,v1ou_external_evidence_source_inventory: region.
file_path_hash,v1ou_external_evidence_source_inventory: file_path_hash.
relative_path,v1ou_external_evidence_source_inventory: relative_path.
file_type,v1ou_external_evidence_source_inventory: file_type.
evidence_terms_found,v1ou_external_evidence_source_inventory: evidence_terms_found.
candidate_event_id,v1ou_external_evidence_source_inventory: candidate_event_id.
candidate_source_type,v1ou_external_evidence_source_inventory: candidate_source_type.
candidate_source_name,v1ou_external_evidence_source_inventory: candidate_source_name.
candidate_date_raw,v1ou_external_evidence_source_inventory: candidate_date_raw.
candidate_location_raw,v1ou_external_evidence_source_inventory: candidate_location_raw.
confidence_preliminary,v1ou_external_evidence_source_inventory: confidence_preliminary.
is_fixture_or_synthetic,v1ou_external_evidence_source_inventory: is_fixture_or_synthetic.
allowed_for_event_registry,v1ou_external_evidence_source_inventory: allowed_for_event_registry.
blocked_reason,v1ou_external_evidence_source_inventory: blocked_reason.
notes,v1ou_external_evidence_source_inventory: notes.
