field,description
event_id,v1ov_ground_reference_observed_event_registry: event_id.
region,v1ov_ground_reference_observed_event_registry: region.
event_type,v1ov_ground_reference_observed_event_registry: event_type.
event_date_iso,v1ov_ground_reference_observed_event_registry: event_date_iso.
event_date_status,v1ov_ground_reference_observed_event_registry: event_date_status.
event_time_precision,v1ov_ground_reference_observed_event_registry: event_time_precision.
location_text,v1ov_ground_reference_observed_event_registry: location_text.
latitude,v1ov_ground_reference_observed_event_registry: latitude.
longitude,v1ov_ground_reference_observed_event_registry: longitude.
spatial_precision_level,v1ov_ground_reference_observed_event_registry: spatial_precision_level.
source_candidate_id,v1ov_ground_reference_observed_event_registry: source_candidate_id.
source_type,v1ov_ground_reference_observed_event_registry: source_type.
source_name,v1ov_ground_reference_observed_event_registry: source_name.
source_reliability_level,v1ov_ground_reference_observed_event_registry: source_reliability_level.
observed_event_status,v1ov_ground_reference_observed_event_registry: observed_event_status.
can_be_used_as_ground_truth,v1ov_ground_reference_observed_event_registry: can_be_used_as_ground_truth.
can_train_model,v1ov_ground_reference_observed_event_registry: can_train_model.
can_create_operational_label,v1ov_ground_reference_observed_event_registry: can_create_operational_label.
allowed_use,v1ov_ground_reference_observed_event_registry: allowed_use.
blocked_reason,v1ov_ground_reference_observed_event_registry: blocked_reason.
notes,v1ov_ground_reference_observed_event_registry: notes.
