field,description
visual_asset_id,v1pu_visual_asset_eligibility_audit: visual_asset_id.
relative_path,v1pu_visual_asset_eligibility_audit: relative_path.
path_hash,v1pu_visual_asset_eligibility_audit: path_hash.
file_ext,v1pu_visual_asset_eligibility_audit: file_ext.
file_size_bytes,v1pu_visual_asset_eligibility_audit: file_size_bytes.
inferred_patch_id,v1pu_visual_asset_eligibility_audit: inferred_patch_id.
inferred_alias,v1pu_visual_asset_eligibility_audit: inferred_alias.
inferred_region,v1pu_visual_asset_eligibility_audit: inferred_region.
asset_visual_type,v1pu_visual_asset_eligibility_audit: asset_visual_type.
eligibility_status,v1pu_visual_asset_eligibility_audit: eligibility_status.
confidence,v1pu_visual_asset_eligibility_audit: confidence.
eligibility_reason,v1pu_visual_asset_eligibility_audit: eligibility_reason.
blocked_reason,v1pu_visual_asset_eligibility_audit: blocked_reason.
dino_allowed_use,v1pu_visual_asset_eligibility_audit: dino_allowed_use.
can_create_label,v1pu_visual_asset_eligibility_audit: can_create_label.
can_train_model,v1pu_visual_asset_eligibility_audit: can_train_model.
target_created,v1pu_visual_asset_eligibility_audit: target_created.
notes,v1pu_visual_asset_eligibility_audit: notes.
