field,description
negative_evidence_id,v1jp formal negative evidence intake registry: negative_evidence_id.
source_document_sanitized,v1jp formal negative evidence intake registry: source_document_sanitized.
source_registry,v1jp formal negative evidence intake registry: source_registry.
source_institution,v1jp formal negative evidence intake registry: source_institution.
region,v1jp formal negative evidence intake registry: region.
municipality,v1jp formal negative evidence intake registry: municipality.
locality_text_sanitized,v1jp formal negative evidence intake registry: locality_text_sanitized.
coordinate_status,v1jp formal negative evidence intake registry: coordinate_status.
latitude,v1jp formal negative evidence intake registry: latitude.
longitude,v1jp formal negative evidence intake registry: longitude.
temporal_expression,v1jp formal negative evidence intake registry: temporal_expression.
temporal_precision,v1jp formal negative evidence intake registry: temporal_precision.
phenomenon_group,v1jp formal negative evidence intake registry: phenomenon_group.
negative_evidence_phrase_sanitized,v1jp formal negative evidence intake registry: negative_evidence_phrase_sanitized.
absence_or_stability_type,v1jp formal negative evidence intake registry: absence_or_stability_type.
source_confidence,v1jp formal negative evidence intake registry: source_confidence.
spatial_precision,v1jp formal negative evidence intake registry: spatial_precision.
temporal_gate_status,v1jp formal negative evidence intake registry: temporal_gate_status.
spatial_gate_status,v1jp formal negative evidence intake registry: spatial_gate_status.
phenomenon_gate_status,v1jp formal negative evidence intake registry: phenomenon_gate_status.
explicit_absence_gate_status,v1jp formal negative evidence intake registry: explicit_absence_gate_status.
patch_linkage_possible,v1jp formal negative evidence intake registry: patch_linkage_possible.
leakage_risk_status,v1jp formal negative evidence intake registry: leakage_risk_status.
negative_evidence_status,v1jp formal negative evidence intake registry: negative_evidence_status.
can_be_formal_negative,v1jp formal negative evidence intake registry: can_be_formal_negative.
can_create_negative_label,v1jp formal negative evidence intake registry: can_create_negative_label.
can_create_training_label,v1jp formal negative evidence intake registry: can_create_training_label.
can_train_model,v1jp formal negative evidence intake registry: can_train_model.
blocking_reason,v1jp formal negative evidence intake registry: blocking_reason.
minimum_evidence_needed,v1jp formal negative evidence intake registry: minimum_evidence_needed.
notes,v1jp formal negative evidence intake registry: notes.
