field,description
asset_check_id,v1qi_local_asset_preprocessing_audit: asset_check_id.
smoke_id,v1qi_local_asset_preprocessing_audit: smoke_id.
patch_id,v1qi_local_asset_preprocessing_audit: patch_id.
region,v1qi_local_asset_preprocessing_audit: region.
relative_path,v1qi_local_asset_preprocessing_audit: relative_path.
path_hash,v1qi_local_asset_preprocessing_audit: path_hash.
local_path_hash,v1qi_local_asset_preprocessing_audit: local_path_hash.
file_exists,v1qi_local_asset_preprocessing_audit: file_exists.
file_sha256_short,v1qi_local_asset_preprocessing_audit: file_sha256_short.
file_size_bytes,v1qi_local_asset_preprocessing_audit: file_size_bytes.
ext,v1qi_local_asset_preprocessing_audit: ext.
pixel_read_allowed,v1qi_local_asset_preprocessing_audit: pixel_read_allowed.
pixel_read_performed,v1qi_local_asset_preprocessing_audit: pixel_read_performed.
image_width,v1qi_local_asset_preprocessing_audit: image_width.
image_height,v1qi_local_asset_preprocessing_audit: image_height.
image_channels,v1qi_local_asset_preprocessing_audit: image_channels.
raster_bands,v1qi_local_asset_preprocessing_audit: raster_bands.
dtype,v1qi_local_asset_preprocessing_audit: dtype.
preprocessing_ready,v1qi_local_asset_preprocessing_audit: preprocessing_ready.
status,v1qi_local_asset_preprocessing_audit: status.
blocked_reason,v1qi_local_asset_preprocessing_audit: blocked_reason.
notes,v1qi_local_asset_preprocessing_audit: notes.
