field,description
reconciliation_id,v1qo_smoke_asset_local_reconciliation: reconciliation_id.
smoke_id,v1qo_smoke_asset_local_reconciliation: smoke_id.
patch_id,v1qo_smoke_asset_local_reconciliation: patch_id.
alias,v1qo_smoke_asset_local_reconciliation: alias.
region,v1qo_smoke_asset_local_reconciliation: region.
expected_relative_path,v1qo_smoke_asset_local_reconciliation: expected_relative_path.
expected_filename,v1qo_smoke_asset_local_reconciliation: expected_filename.
root_env_name,v1qo_smoke_asset_local_reconciliation: root_env_name.
local_candidate_filename,v1qo_smoke_asset_local_reconciliation: local_candidate_filename.
local_candidate_relative,v1qo_smoke_asset_local_reconciliation: local_candidate_relative.
local_path_hash,v1qo_smoke_asset_local_reconciliation: local_path_hash.
match_type,v1qo_smoke_asset_local_reconciliation: match_type.
match_confidence,v1qo_smoke_asset_local_reconciliation: match_confidence.
file_exists,v1qo_smoke_asset_local_reconciliation: file_exists.
file_size_bytes,v1qo_smoke_asset_local_reconciliation: file_size_bytes.
file_sha256_short,v1qo_smoke_asset_local_reconciliation: file_sha256_short.
ready_for_embedding,v1qo_smoke_asset_local_reconciliation: ready_for_embedding.
review_only,v1qo_smoke_asset_local_reconciliation: review_only.
can_create_label,v1qo_smoke_asset_local_reconciliation: can_create_label.
can_train_model,v1qo_smoke_asset_local_reconciliation: can_train_model.
target_created,v1qo_smoke_asset_local_reconciliation: target_created.
blocked_reason,v1qo_smoke_asset_local_reconciliation: blocked_reason.
notes,v1qo_smoke_asset_local_reconciliation: notes.
