field,description
case_id,v1ty_matrix: case_id.
region,v1ty_matrix: region.
hazard_type,v1ty_matrix: hazard_type.
external_present,v1ty_matrix: external_present.
hydromet_context,v1ty_matrix: hydromet_context.
dino_context,v1ty_matrix: dino_context.
patch_link,v1ty_matrix: patch_link.
temporal_window,v1ty_matrix: temporal_window.
case_readiness_status,v1ty_matrix: case_readiness_status.
supervisor_decision,v1ty_matrix: supervisor_decision.
validated_for_review_only_use,v1ty_matrix: validated_for_review_only_use.
review_only_validation_status,v1ty_matrix: review_only_validation_status.
review_only,v1ty_matrix: review_only.
automated_review,v1ty_matrix: automated_review.
internal_review_automated_for_review_only,v1ty_matrix: internal_review_automated_for_review_only.
requires_external_observational_evidence_for_operational_claim,v1ty_matrix: requires_external_observational_evidence_for_operational_claim.
automatic_c3_promotion,v1ty_matrix: automatic_c3_promotion.
c4_opened,v1ty_matrix: c4_opened.
can_create_operational_label,v1ty_matrix: can_create_operational_label.
can_train_model,v1ty_matrix: can_train_model.
target_created,v1ty_matrix: target_created.
ground_truth_operational,v1ty_matrix: ground_truth_operational.
formal_negative,v1ty_matrix: formal_negative.
dino_validates_event,v1ty_matrix: dino_validates_event.
hydromet_validates_event,v1ty_matrix: hydromet_validates_event.
hydromet_is_negative_evidence,v1ty_matrix: hydromet_is_negative_evidence.
absence_as_negative,v1ty_matrix: absence_as_negative.
notes,v1ty_matrix: notes.
